AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
-1.0, None, None, 176.0,2021-11-12 11:15:00, 84.0, None,46
-1.0, None, None, 176.0,2021-11-12 11:30:00, 84.0, None,46
-1.2, None, None, 176.0,2021-11-12 11:45:00, 84.0, None,46
-1.2, None, None, 176.0,2021-11-12 12:00:00, 84.0, None,46
-1.2, None, None, 176.0,2021-11-12 12:15:00, 84.0, None,46
-1.1, None, None, 176.0,2021-11-12 12:30:00, 84.0, None,46
-1.1, None, None, 176.0,2021-11-12 12:45:00, 84.0, None,46
-1.0, None, None, 176.0,2021-11-12 13:00:00, 84.0, None,46
-1.0, None, None, 176.0,2021-11-12 13:15:00, 84.0, None,46
-1.1, None, None, 176.0,2021-11-12 13:30:00, 84.0, None,46
-1.0, None, None, 176.0,2021-11-12 13:45:00, 84.0, None,46
-1.0, None, None, 176.0,2021-11-12 14:00:00, 84.0, None,46
-0.9, None, None, 176.0,2021-11-12 14:15:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 14:30:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 14:45:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 15:00:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 15:15:00, 85.0, None,46
-0.7, None, None, 176.0,2021-11-12 15:30:00, 85.0, None,46
-0.7, None, None, 176.0,2021-11-12 15:45:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 16:00:00, 85.0, None,46
-0.9, None, None, 176.0,2021-11-12 16:15:00, 85.0, None,46
-0.9, None, None, 176.0,2021-11-12 16:30:00, 85.0, None,46
-0.9, None, None, 176.0,2021-11-12 16:45:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 17:00:00, 85.0, None,46
-0.9, None, None, 176.0,2021-11-12 17:15:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 17:30:00, 85.0, None,46
-0.8, None, None, 176.0,2021-11-12 17:45:00, 85.0, None,46
-0.9, None, None, 176.0,2021-11-12 18:00:00, 85.0, None,46
-0.9, None, None, 176.0,2021-11-12 18:15:00, 85.0, None,46
-1.0, None, None, 176.0,2021-11-12 18:30:00, 86.0, None,46
-1.0, None, None, 176.0,2021-11-12 18:45:00, 85.0, None,46
-1.1, None, None, 176.0,2021-11-12 19:00:00, 86.0, None,46
-1.1, None, None, 176.0,2021-11-12 19:15:00, 86.0, None,46
-1.1, None, None, 176.0,2021-11-12 19:30:00, 86.0, None,46
-1.1, None, None, 176.0,2021-11-12 19:45:00, 86.0, None,46
-1.2, None, None, 176.0,2021-11-12 20:00:00, 86.0, None,46
-1.2, None, None, 176.0,2021-11-12 20:15:00, 85.0, None,46
-1.3, None, None, 176.0,2021-11-12 20:30:00, 85.0, None,46
-1.5, None, None, 176.0,2021-11-12 20:45:00, 85.0, None,46
-1.6, None, None, 176.0,2021-11-12 21:00:00, 86.0, None,46
-1.6, None, None, 176.0,2021-11-12 21:15:00, 85.0, None,46
-1.6, None, None, 177.0,2021-11-12 21:30:00, 85.0, None,46
-1.7, None, None, 177.0,2021-11-12 21:45:00, 86.0, None,46
-1.7, None, None, 177.0,2021-11-12 22:00:00, 85.0, None,46
-1.7, None, None, 177.0,2021-11-12 22:15:00, 85.0, None,46
-1.8, None, None, 177.0,2021-11-12 22:30:00, 85.0, None,46
-1.9, None, None, 178.0,2021-11-12 22:45:00, 85.0, None,46
-1.9, None, None, 178.0,2021-11-12 23:00:00, 85.0, None,46
-2.0, None, None, 179.0,2021-11-12 23:15:00, 85.0, None,46
-2.0, None, None, 179.0,2021-11-12 23:30:00, 85.0, None,46
-2.0, None, None, 180.0,2021-11-12 23:45:00, 85.0, None,46
-2.1, 0.4, -5.2, 180.0,2021-11-13 00:00:00, 85.0, -1.9,46
-2.0, None, None, 180.0,2021-11-13 00:15:00, 85.0, None,46
-2.0, None, None, 180.0,2021-11-13 00:30:00, 85.0, None,46
-2.0, None, None, 180.0,2021-11-13 00:45:00, 85.0, None,46
-2.0, None, None, 180.0,2021-11-13 01:00:00, 85.0, None,46
-1.9, None, None, 180.0,2021-11-13 01:15:00, 84.0, None,46
-1.9, None, None, 180.0,2021-11-13 01:30:00, 84.0, None,46
-2.0, None, None, 180.0,2021-11-13 01:45:00, 84.0, None,46
-2.1, None, None, 180.0,2021-11-13 02:00:00, 85.0, None,46
-2.1, None, None, 180.0,2021-11-13 02:15:00, 84.0, None,46
-2.1, None, None, 180.0,2021-11-13 02:30:00, 84.0, None,46
-2.1, None, None, 180.0,2021-11-13 02:45:00, 84.0, None,46
-2.3, None, None, 180.0,2021-11-13 03:00:00, 84.0, None,46
-2.3, None, None, 180.0,2021-11-13 03:15:00, 84.0, None,46
-2.3, None, None, 180.0,2021-11-13 03:30:00, 84.0, None,46
-2.3, None, None, 180.0,2021-11-13 03:45:00, 84.0, None,46
-2.3, None, None, 180.0,2021-11-13 04:00:00, 84.0, None,46
-2.3, None, None, 180.0,2021-11-13 04:15:00, 83.0, None,46
-2.4, None, None, 180.0,2021-11-13 04:30:00, 83.0, None,46
-2.6, None, None, 180.0,2021-11-13 04:45:00, 83.0, None,46
-2.6, None, None, 180.0,2021-11-13 05:00:00, 83.0, None,46
-2.7, None, None, 180.0,2021-11-13 05:15:00, 83.0, None,46
-2.9, None, None, 180.0,2021-11-13 05:30:00, 83.0, None,46
-3.0, None, None, 180.0,2021-11-13 05:45:00, 83.0, None,46
-3.0, None, None, 180.0,2021-11-13 06:00:00, 83.0, None,46
-3.1, None, None, 180.0,2021-11-13 06:15:00, 83.0, None,46
-3.3, None, None, 180.0,2021-11-13 06:30:00, 83.0, None,46
-3.5, None, None, 180.0,2021-11-13 06:45:00, 83.0, None,46
-3.6, None, None, 180.0,2021-11-13 07:00:00, 83.0, None,46
-3.6, None, None, 180.0,2021-11-13 07:15:00, 83.0, None,46
-3.7, None, None, 180.0,2021-11-13 07:30:00, 83.0, None,46
-4.0, None, None, 179.0,2021-11-13 07:45:00, 83.0, None,46
-4.1, None, None, 179.0,2021-11-13 08:00:00, 83.0, None,46
-4.0, None, None, 179.0,2021-11-13 08:15:00, 83.0, None,46
-3.8, None, None, 179.0,2021-11-13 08:30:00, 83.0, None,46
-2.9, None, None, 179.0,2021-11-13 08:45:00, 83.0, None,46
-2.9, None, None, 179.0,2021-11-13 09:00:00, 83.0, None,46
-3.6, None, None, 179.0,2021-11-13 09:15:00, 83.0, None,46
-3.8, None, None, 179.0,2021-11-13 09:30:00, 83.0, None,46
-3.8, None, None, 179.0,2021-11-13 09:45:00, 83.0, None,46
-3.7, None, None, 179.0,2021-11-13 10:00:00, 83.0, None,46
-3.6, None, None, 179.0,2021-11-13 10:15:00, 83.0, None,46
-3.6, None, None, 179.0,2021-11-13 10:30:00, 83.0, None,46
-3.5, None, None, 179.0,2021-11-13 10:45:00, 83.0, None,46
-3.3, None, None, 179.0,2021-11-13 11:00:00, 83.0, None,46
-3.2, None, None, 179.0,2021-11-13 11:15:00, 83.0, None,46
-3.3, None, None, 179.0,2021-11-13 11:30:00, 83.0, None,46
-3.2, None, None, 179.0,2021-11-13 11:45:00, 83.0, None,46
-3.0, None, None, 179.0,2021-11-13 12:00:00, 83.0, None,46
-2.8, None, None, 179.0,2021-11-13 12:15:00, 83.0, None,46
-2.8, None, None, 179.0,2021-11-13 12:30:00, 83.0, None,46
-2.7, None, None, 179.0,2021-11-13 12:45:00, 83.0, None,46
-2.7, None, None, 179.0,2021-11-13 13:00:00, 83.0, None,46
-2.9, None, None, 179.0,2021-11-13 13:15:00, 84.0, None,46
-2.9, None, None, 179.0,2021-11-13 13:30:00, 84.0, None,46
-2.8, None, None, 179.0,2021-11-13 13:45:00, 84.0, None,46
-2.8, None, None, 179.0,2021-11-13 14:00:00, 84.0, None,46
-3.0, None, None, 179.0,2021-11-13 14:15:00, 84.0, None,46
-3.1, None, None, 179.0,2021-11-13 14:30:00, 84.0, None,46
-3.2, None, None, 179.0,2021-11-13 14:45:00, 84.0, None,46
-3.2, None, None, 179.0,2021-11-13 15:00:00, 84.0, None,46
-3.2, None, None, 179.0,2021-11-13 15:15:00, 84.0, None,46
-3.4, None, None, 179.0,2021-11-13 15:30:00, 84.0, None,46
-3.5, None, None, 179.0,2021-11-13 15:45:00, 84.0, None,46
-3.6, None, None, 179.0,2021-11-13 16:00:00, 84.0, None,46
-3.6, None, None, 179.0,2021-11-13 16:15:00, 84.0, None,46
-3.7, None, None, 179.0,2021-11-13 16:30:00, 84.0, None,46
-3.8, None, None, 179.0,2021-11-13 16:45:00, 84.0, None,46
-3.8, None, None, 179.0,2021-11-13 17:00:00, 84.0, None,46
-3.8, None, None, 179.0,2021-11-13 17:15:00, 84.0, None,46
-3.9, None, None, 179.0,2021-11-13 17:30:00, 84.0, None,46
-4.0, None, None, 179.0,2021-11-13 17:45:00, 84.0, None,46
-4.2, None, None, 179.0,2021-11-13 18:00:00, 84.0, None,46
-4.2, None, None, 179.0,2021-11-13 18:15:00, 84.0, None,46
-4.3, None, None, 179.0,2021-11-13 18:30:00, 84.0, None,46
-4.3, None, None, 179.0,2021-11-13 18:45:00, 84.0, None,46
-4.2, None, None, 179.0,2021-11-13 19:00:00, 84.0, None,46
-4.1, None, None, 179.0,2021-11-13 19:15:00, 84.0, None,46
-4.1, None, None, 179.0,2021-11-13 19:30:00, 84.0, None,46
-4.1, None, None, 179.0,2021-11-13 19:45:00, 84.0, None,46
-4.2, None, None, 179.0,2021-11-13 20:00:00, 84.0, None,46
-4.4, None, None, 179.0,2021-11-13 20:15:00, 84.0, None,46
-4.4, None, None, 179.0,2021-11-13 20:30:00, 84.0, None,46
-4.6, None, None, 179.0,2021-11-13 20:45:00, 84.0, None,46
-4.4, None, None, 179.0,2021-11-13 21:00:00, 84.0, None,46
-4.4, None, None, 179.0,2021-11-13 21:15:00, 84.0, None,46
-4.4, None, None, 179.0,2021-11-13 21:30:00, 84.0, None,46
-4.5, None, None, 179.0,2021-11-13 21:45:00, 84.0, None,46
-4.7, None, None, 179.0,2021-11-13 22:00:00, 84.0, None,46
-5.0, None, None, 178.0,2021-11-13 22:15:00, 84.0, None,46
-5.1, None, None, 178.0,2021-11-13 22:30:00, 84.0, None,46
-5.2, None, None, 178.0,2021-11-13 22:45:00, 84.0, None,46
-5.2, None, None, 178.0,2021-11-13 23:00:00, 84.0, None,46
-5.1, None, None, 178.0,2021-11-13 23:15:00, 85.0, None,46
-5.1, None, None, 178.0,2021-11-13 23:30:00, 84.0, None,46
-5.1, None, None, 178.0,2021-11-13 23:45:00, 84.0, None,46
-5.3, 6.9, -6.7, 178.0,2021-11-14 00:00:00, 84.0, -4.4,46
-5.4, None, None, 178.0,2021-11-14 00:15:00, 85.0, None,46
-5.5, None, None, 178.0,2021-11-14 00:30:00, 85.0, None,46
-5.5, None, None, 178.0,2021-11-14 00:45:00, 85.0, None,46
-5.4, None, None, 178.0,2021-11-14 01:00:00, 85.0, None,46
-5.5, None, None, 178.0,2021-11-14 01:15:00, 85.0, None,46
-5.4, None, None, 178.0,2021-11-14 01:30:00, 85.0, None,46
-5.3, None, None, 178.0,2021-11-14 01:45:00, 85.0, None,46
-5.3, None, None, 178.0,2021-11-14 02:00:00, 85.0, None,46
-5.2, None, None, 178.0,2021-11-14 02:15:00, 85.0, None,46
-5.2, None, None, 178.0,2021-11-14 02:30:00, 85.0, None,46
-5.2, None, None, 178.0,2021-11-14 02:45:00, 85.0, None,46
-5.2, None, None, 178.0,2021-11-14 03:00:00, 85.0, None,46
-5.3, None, None, 178.0,2021-11-14 03:15:00, 84.0, None,46
-5.3, None, None, 178.0,2021-11-14 03:30:00, 84.0, None,46
-5.3, None, None, 178.0,2021-11-14 03:45:00, 84.0, None,46
-5.3, None, None, 178.0,2021-11-14 04:00:00, 84.0, None,46
-5.3, None, None, 179.0,2021-11-14 04:15:00, 84.0, None,46
-5.2, None, None, 179.0,2021-11-14 04:30:00, 84.0, None,46
-5.2, None, None, 179.0,2021-11-14 04:45:00, 84.0, None,46
-5.2, None, None, 179.0,2021-11-14 05:00:00, 84.0, None,46
-5.3, None, None, 179.0,2021-11-14 05:15:00, 84.0, None,46
-5.3, None, None, 179.0,2021-11-14 05:30:00, 84.0, None,46
-5.3, None, None, 179.0,2021-11-14 05:45:00, 84.0, None,46
-5.3, None, None, 179.0,2021-11-14 06:00:00, 84.0, None,46
-5.3, None, None, 179.0,2021-11-14 06:15:00, 84.0, None,46
-5.3, None, None, 179.0,2021-11-14 06:30:00, 84.0, None,46
-5.4, None, None, 179.0,2021-11-14 06:45:00, 84.0, None,46
-5.5, None, None, 179.0,2021-11-14 07:00:00, 84.0, None,46
-5.5, None, None, 179.0,2021-11-14 07:15:00, 84.0, None,46
-5.6, None, None, 179.0,2021-11-14 07:30:00, 84.0, None,46
-5.5, None, None, 179.0,2021-11-14 07:45:00, 84.0, None,46
-5.6, None, None, 179.0,2021-11-14 08:00:00, 84.0, None,46
-5.6, None, None, 179.0,2021-11-14 08:15:00, 83.0, None,46
-5.6, None, None, 179.0,2021-11-14 08:30:00, 83.0, None,46
-5.6, None, None, 179.0,2021-11-14 08:45:00, 83.0, None,46
-5.6, None, None, 179.0,2021-11-14 09:00:00, 83.0, None,46
-5.5, None, None, 179.0,2021-11-14 09:15:00, 83.0, None,46
-5.4, None, None, 179.0,2021-11-14 09:30:00, 83.0, None,46
-5.3, None, None, 179.0,2021-11-14 09:45:00, 83.0, None,46
-5.2, None, None, 179.0,2021-11-14 10:00:00, 83.0, None,46
-5.3, None, None, 179.0,2021-11-14 10:15:00, 83.0, None,46
-5.3, None, None, 179.0,2021-11-14 10:30:00, 83.0, None,46
-5.2, None, None, 180.0,2021-11-14 10:45:00, 83.0, None,46
-5.1, None, None, 180.0,2021-11-14 11:00:00, 83.0, None,46
-5.0, None, None, 180.0,2021-11-14 11:15:00, 84.0, None,46
-4.9, None, None, 180.0,2021-11-14 11:30:00, 84.0, None,46
-4.8, None, None, 180.0,2021-11-14 11:45:00, 84.0, None,46
-4.8, None, None, 180.0,2021-11-14 12:00:00, 84.0, None,46
-4.6, None, None, 180.0,2021-11-14 12:15:00, 83.0, None,46
-4.6, None, None, 180.0,2021-11-14 12:30:00, 83.0, None,46
-4.4, None, None, 180.0,2021-11-14 12:45:00, 83.0, None,46
-4.6, None, None, 180.0,2021-11-14 13:00:00, 83.0, None,46
-5.1, None, None, 180.0,2021-11-14 13:15:00, 83.0, None,46
-5.2, None, None, 180.0,2021-11-14 13:30:00, 83.0, None,46
-5.1, None, None, 180.0,2021-11-14 13:45:00, 83.0, None,46
-5.3, None, None, 180.0,2021-11-14 14:00:00, 83.0, None,46
-5.2, None, None, 181.0,2021-11-14 14:15:00, 83.0, None,46
-5.3, None, None, 181.0,2021-11-14 14:30:00, 83.0, None,46
-5.3, None, None, 181.0,2021-11-14 14:45:00, 83.0, None,46
-5.4, None, None, 181.0,2021-11-14 15:00:00, 83.0, None,46
-5.6, None, None, 181.0,2021-11-14 15:15:00, 84.0, None,46
-5.8, None, None, 181.0,2021-11-14 15:30:00, 84.0, None,46
-6.0, None, None, 182.0,2021-11-14 15:45:00, 84.0, None,46
-6.1, None, None, 182.0,2021-11-14 16:00:00, 84.0, None,46
-6.1, None, None, 182.0,2021-11-14 16:15:00, 84.0, None,46
-6.0, None, None, 182.0,2021-11-14 16:30:00, 84.0, None,46
-6.0, None, None, 182.0,2021-11-14 16:45:00, 84.0, None,46
-6.0, None, None, 182.0,2021-11-14 17:00:00, 84.0, None,46
-6.1, None, None, 182.0,2021-11-14 17:15:00, 84.0, None,46
-6.0, None, None, 182.0,2021-11-14 17:30:00, 84.0, None,46
-6.0, None, None, 183.0,2021-11-14 17:45:00, 84.0, None,46
-5.9, None, None, 183.0,2021-11-14 18:00:00, 84.0, None,46
-5.9, None, None, 183.0,2021-11-14 18:15:00, 85.0, None,46
-5.9, None, None, 183.0,2021-11-14 18:30:00, 84.0, None,46
-5.9, None, None, 183.0,2021-11-14 18:45:00, 85.0, None,46
-5.8, None, None, 183.0,2021-11-14 19:00:00, 84.0, None,46
-5.7, None, None, 183.0,2021-11-14 19:15:00, 85.0, None,46
-5.7, None, None, 183.0,2021-11-14 19:30:00, 84.0, None,46
-5.7, None, None, 183.0,2021-11-14 19:45:00, 85.0, None,46
-5.7, None, None, 183.0,2021-11-14 20:00:00, 85.0, None,46
-5.7, None, None, 183.0,2021-11-14 20:15:00, 85.0, None,46
-5.6, None, None, 183.0,2021-11-14 20:30:00, 85.0, None,46
-5.5, None, None, 183.0,2021-11-14 20:45:00, 85.0, None,46
-5.3, None, None, 183.0,2021-11-14 21:00:00, 85.0, None,46
-5.2, None, None, 183.0,2021-11-14 21:15:00, 85.0, None,46
-5.2, None, None, 183.0,2021-11-14 21:30:00, 85.0, None,46
-5.1, None, None, 183.0,2021-11-14 21:45:00, 85.0, None,46
-5.1, None, None, 183.0,2021-11-14 22:00:00, 85.0, None,46
-5.0, None, None, 183.0,2021-11-14 22:15:00, 86.0, None,46
-4.9, None, None, 183.0,2021-11-14 22:30:00, 86.0, None,46
-4.9, None, None, 183.0,2021-11-14 22:45:00, 85.0, None,46
-4.9, None, None, 183.0,2021-11-14 23:00:00, 86.0, None,46
-5.0, None, None, 183.0,2021-11-14 23:15:00, 86.0, None,46
-5.1, None, None, 183.0,2021-11-14 23:30:00, 86.0, None,46
-4.9, None, None, 183.0,2021-11-14 23:45:00, 86.0, None,46
-4.7, 4.3, -9.6, 183.0,2021-11-15 00:00:00, 86.0, -4.4,46
-4.6, None, None, 183.0,2021-11-15 00:15:00, 86.0, None,46
-4.6, None, None, 183.0,2021-11-15 00:30:00, 86.0, None,46
-4.6, None, None, 183.0,2021-11-15 00:45:00, 86.0, None,46
-4.5, None, None, 183.0,2021-11-15 01:00:00, 86.0, None,46
-4.9, None, None, 183.0,2021-11-15 01:15:00, 86.0, None,46
-4.9, None, None, 183.0,2021-11-15 01:30:00, 86.0, None,46
-5.0, None, None, 183.0,2021-11-15 01:45:00, 85.0, None,46
-5.2, None, None, 183.0,2021-11-15 02:00:00, 85.0, None,46
-5.6, None, None, 183.0,2021-11-15 02:15:00, 86.0, None,46
-5.7, None, None, 183.0,2021-11-15 02:30:00, 85.0, None,46
-5.7, None, None, 183.0,2021-11-15 02:45:00, 86.0, None,46
-5.6, None, None, 183.0,2021-11-15 03:00:00, 86.0, None,46
-5.4, None, None, 183.0,2021-11-15 03:15:00, 86.0, None,46
-5.3, None, None, 183.0,2021-11-15 03:30:00, 86.0, None,46
-5.3, None, None, 183.0,2021-11-15 03:45:00, 86.0, None,46
-5.1, None, None, 183.0,2021-11-15 04:00:00, 86.0, None,46
-5.0, None, None, 183.0,2021-11-15 04:15:00, 86.0, None,46
-5.0, None, None, 183.0,2021-11-15 04:30:00, 86.0, None,46
-4.9, None, None, 183.0,2021-11-15 04:45:00, 86.0, None,46
-4.9, None, None, 184.0,2021-11-15 05:00:00, 86.0, None,46
-4.9, None, None, 184.0,2021-11-15 05:15:00, 87.0, None,46
-4.9, None, None, 184.0,2021-11-15 05:30:00, 87.0, None,46
-4.9, None, None, 184.0,2021-11-15 05:45:00, 87.0, None,46
-4.9, None, None, 184.0,2021-11-15 06:00:00, 87.0, None,46
-4.9, None, None, 184.0,2021-11-15 06:15:00, 87.0, None,46
-5.0, None, None, 184.0,2021-11-15 06:30:00, 87.0, None,46
-5.0, None, None, 184.0,2021-11-15 06:45:00, 87.0, None,46
-5.0, None, None, 184.0,2021-11-15 07:00:00, 87.0, None,46
-5.0, None, None, 184.0,2021-11-15 07:15:00, 86.0, None,46
-5.0, None, None, 184.0,2021-11-15 07:30:00, 86.0, None,46
-5.1, None, None, 184.0,2021-11-15 07:45:00, 86.0, None,46
-5.1, None, None, 184.0,2021-11-15 08:00:00, 86.0, None,46
-5.1, None, None, 184.0,2021-11-15 08:15:00, 87.0, None,46
-5.1, None, None, 184.0,2021-11-15 08:30:00, 87.0, None,46
-5.1, None, None, 184.0,2021-11-15 08:45:00, 87.0, None,46
-5.1, None, None, 184.0,2021-11-15 09:00:00, 87.0, None,46
None, None, None, 193.2,2021-11-15 09:07:00, None, None,46
-4.9, None, None, 184.0,2021-11-15 09:15:00, 86.0, None,46
-4.7, None, None, 184.0,2021-11-15 09:30:00, 86.0, None,46
-4.6, None, None, 184.0,2021-11-15 09:45:00, 86.0, None,46
-4.4, None, None, 184.0,2021-11-15 10:00:00, 86.0, None,46
-4.5, None, None, 184.0,2021-11-15 10:15:00, 86.0, None,46
-4.6, None, None, 184.0,2021-11-15 10:30:00, 86.0, None,46
-4.7, None, None, 184.0,2021-11-15 10:45:00, 86.0, None,46
-4.7, None, None, 184.0,2021-11-15 11:00:00, 86.0, None,46
-5.0, None, None, 184.0,2021-11-15 11:15:00, 86.0, None,46
-5.1, None, None, 184.0,2021-11-15 11:30:00, 86.0, None,46
-5.3, None, None, 184.0,2021-11-15 11:45:00, 86.0, None,46
-5.2, None, None, 184.0,2021-11-15 12:00:00, 86.0, None,46
-5.2, None, None, 184.0,2021-11-15 12:15:00, 85.0, None,46
-5.3, None, None, 184.0,2021-11-15 12:30:00, 85.0, None,46
-5.4, None, None, 184.0,2021-11-15 12:45:00, 85.0, None,46
-5.6, None, None, 184.0,2021-11-15 13:00:00, 85.0, None,46
-6.0, None, None, 184.0,2021-11-15 13:15:00, 85.0, None,46
-6.1, None, None, 184.0,2021-11-15 13:30:00, 85.0, None,46
-6.1, None, None, 184.0,2021-11-15 13:45:00, 85.0, None,46
-6.2, None, None, 184.0,2021-11-15 14:00:00, 85.0, None,46
-6.3, None, None, 184.0,2021-11-15 14:15:00, 85.0, None,46
-6.4, None, None, 184.0,2021-11-15 14:30:00, 85.0, None,46
-6.5, None, None, 184.0,2021-11-15 14:45:00, 85.0, None,46
-6.6, None, None, 184.0,2021-11-15 15:00:00, 85.0, None,46
-7.1, None, None, 184.0,2021-11-15 15:15:00, 85.0, None,46
-7.5, None, None, 184.0,2021-11-15 15:30:00, 85.0, None,46
-7.6, None, None, 184.0,2021-11-15 15:45:00, 85.0, None,46
-7.9, None, None, 184.0,2021-11-15 16:00:00, 85.0, None,46
-8.0, None, None, 184.0,2021-11-15 16:15:00, 85.0, None,46
-8.0, None, None, 184.0,2021-11-15 16:30:00, 85.0, None,46
-8.1, None, None, 184.0,2021-11-15 16:45:00, 85.0, None,46
-8.2, None, None, 184.0,2021-11-15 17:00:00, 85.0, None,46
-8.2, None, None, 184.0,2021-11-15 17:15:00, 85.0, None,46
-8.3, None, None, 184.0,2021-11-15 17:30:00, 85.0, None,46
-8.3, None, None, 184.0,2021-11-15 17:45:00, 85.0, None,46
-8.4, None, None, 184.0,2021-11-15 18:00:00, 85.0, None,46
-8.5, None, None, 184.0,2021-11-15 18:15:00, 85.0, None,46
-8.6, None, None, 184.0,2021-11-15 18:30:00, 85.0, None,46
-8.7, None, None, 184.0,2021-11-15 18:45:00, 85.0, None,46
-8.8, None, None, 184.0,2021-11-15 19:00:00, 85.0, None,46
-8.8, None, None, 184.0,2021-11-15 19:15:00, 85.0, None,46
-8.7, None, None, 184.0,2021-11-15 19:30:00, 85.0, None,46
-8.7, None, None, 184.0,2021-11-15 19:45:00, 85.0, None,46
-8.8, None, None, 184.0,2021-11-15 20:00:00, 85.0, None,46
-8.8, None, None, 184.0,2021-11-15 20:15:00, 86.0, None,46
-8.8, None, None, 184.0,2021-11-15 20:30:00, 86.0, None,46
-8.9, None, None, 184.0,2021-11-15 20:45:00, 86.0, None,46
-9.0, None, None, 184.0,2021-11-15 21:00:00, 86.0, None,46
-9.0, None, None, 184.0,2021-11-15 21:15:00, 86.0, None,46
-8.9, None, None, 184.0,2021-11-15 21:30:00, 86.0, None,46
-9.0, None, None, 185.0,2021-11-15 21:45:00, 86.0, None,46
-9.0, None, None, 185.0,2021-11-15 22:00:00, 86.0, None,46
-9.2, None, None, 185.0,2021-11-15 22:15:00, 87.0, None,46
-9.3, None, None, 185.0,2021-11-15 22:30:00, 87.0, None,46
-9.3, None, None, 186.0,2021-11-15 22:45:00, 87.0, None,46
-9.3, None, None, 186.0,2021-11-15 23:00:00, 87.0, None,46
None, None, None, 194.8,2021-11-15 23:07:00, None, None,46
-9.4, None, None, 186.0,2021-11-15 23:15:00, 87.0, None,46
