wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
356.0, 58.0, 2.4, 0.0, 2.6, 5.4, 10.5, 10.0, 352.0, 0.0, 0.0, 60.0,2020-08-19 00:00:00,34
4.0, 61.0, 6.0, 0.0, 3.0, 6.1, 10.2, 9.4, 6.0, 0.0, 0.0, 66.0,2020-08-19 01:00:00,34
347.0, 60.0, 5.4, 0.0, 2.6, 4.7, 10.0, 8.8, 356.0, 0.0, 0.0, 67.0,2020-08-19 02:00:00,34
337.0, 66.0, 6.1, 0.0, 3.4, 4.4, 9.4, 8.6, 4.0, 0.0, 0.0, 61.0,2020-08-19 03:00:00,34
349.0, 67.0, 4.7, 0.0, 3.0, 5.2, 8.8, 7.8, 347.0, 0.0, 0.0, 70.0,2020-08-19 04:00:00,34
None, 61.0, 4.4, None, 1.5, None, 8.6, None, 337.0, 0.0, 0.0, None,2020-08-19 05:00:00,34
283.0, 70.0, 5.2, 0.0, 2.7, 4.0, 7.8, 12.0, 349.0, 0.0, 0.0, 58.0,2020-08-19 06:00:00,34
248.0, None, None, 0.0, None, 4.0, None, 18.3, None, None, None, 41.0,2020-08-19 07:00:00,34
155.0, 58.0, 4.0, 0.0, 4.0, 7.3, 12.0, 18.7, 283.0, 0.0, None, 44.0,2020-08-19 08:00:00,34
169.0, 41.0, 4.0, 0.0, 4.8, 8.5, 18.3, 19.9, 248.0, 0.0, None, 35.0,2020-08-19 09:00:00,34
202.0, 44.0, 7.3, 0.0, 6.2, 7.6, 18.7, 20.8, 155.0, 0.0, None, 25.0,2020-08-19 10:00:00,34
189.0, 35.0, 8.5, 0.0, 4.0, 10.2, 19.9, 21.2, 169.0, 0.0, None, 27.0,2020-08-19 11:00:00,34
268.0, 25.0, 7.6, 0.0, 0.1, 7.8, 20.8, 22.5, 202.0, 0.0, None, 29.0,2020-08-19 12:00:00,34
174.0, 27.0, 10.2, 0.0, 1.5, 9.9, 21.2, 21.6, 189.0, 0.0, None, 25.0,2020-08-19 13:00:00,34
198.0, 29.0, 7.8, 0.0, 3.6, 8.9, 22.5, 20.1, 268.0, 0.0, None, 28.0,2020-08-19 14:00:00,34
232.0, 25.0, 9.9, 0.0, 0.7, 5.8, 21.6, 19.1, 174.0, 0.0, None, 32.0,2020-08-19 15:00:00,34
