WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
356.7, 3.6, 2.2253,2020-01-01 00:00:00, 3.63792,1
31.2, 3.3, None,2020-01-01 01:00:00, None,1
87.0, 3.3, None,2020-01-01 02:00:00, None,1
110.5, 3.5, None,2020-01-01 03:00:00, None,1
105.7, 3.7, None,2020-01-01 04:00:00, None,1
94.7, 3.7, None,2020-01-01 05:00:00, None,1
102.7, 3.7, None,2020-01-01 06:00:00, None,1
100.3, 3.9, None,2020-01-01 07:00:00, None,1
104.0, 4.0, None,2020-01-01 08:00:00, None,1
132.4, 4.4, None,2020-01-01 09:00:00, None,1
179.2, 5.0, None,2020-01-01 10:00:00, None,1
181.1, 5.8, None,2020-01-01 11:00:00, None,1
181.8, 5.2, None,2020-01-01 12:00:00, None,1
177.1, 4.5, None,2020-01-01 13:00:00, None,1
172.7, 4.6, None,2020-01-01 14:00:00, None,1
174.1, 4.2, None,2020-01-01 15:00:00, None,1
184.5, 4.1, None,2020-01-01 16:00:00, None,1
190.4, 3.0, None,2020-01-01 17:00:00, None,1
162.9, 2.8, None,2020-01-01 18:00:00, None,1
168.9, 2.8, None,2020-01-01 19:00:00, None,1
179.3, 2.7, None,2020-01-01 20:00:00, None,1
185.7, 2.6, None,2020-01-01 21:00:00, None,1
190.9, 2.2, None,2020-01-01 22:00:00, None,1
185.7, 1.8, None,2020-01-01 23:00:00, None,1
169.7, 2.0, None,2020-01-02 00:00:00, None,1
157.3, 2.1, None,2020-01-02 01:00:00, None,1
174.8, 2.0, None,2020-01-02 02:00:00, None,1
147.3, 1.7, None,2020-01-02 03:00:00, None,1
197.6, 2.1, None,2020-01-02 04:00:00, None,1
172.8, 1.7, None,2020-01-02 05:00:00, None,1
151.8, 1.6, None,2020-01-02 06:00:00, None,1
100.7, 1.0, None,2020-01-02 07:00:00, None,1
87.9, 0.6, None,2020-01-02 08:00:00, None,1
93.7, 0.3, None,2020-01-02 09:00:00, None,1
95.1, 0.1, None,2020-01-02 10:00:00, None,1
82.4, 0.1, None,2020-01-02 11:00:00, None,1
18.5, 0.2, None,2020-01-02 12:00:00, None,1
356.8, 0.2, None,2020-01-02 13:00:00, None,1
359.8, 0.3, None,2020-01-02 14:00:00, None,1
4.8, 0.5, None,2020-01-02 15:00:00, None,1
16.0, 0.7, None,2020-01-02 16:00:00, None,1
17.2, 0.6, None,2020-01-02 17:00:00, None,1
16.4, 0.5, None,2020-01-02 18:00:00, None,1
26.2, 0.7, None,2020-01-02 19:00:00, None,1
19.2, 0.2, None,2020-01-02 20:00:00, None,1
17.6, -0.5, None,2020-01-02 21:00:00, None,1
18.5, -0.7, None,2020-01-02 22:00:00, None,1
15.4, -0.9, None,2020-01-02 23:00:00, None,1
12.3, -0.9, None,2020-01-03 00:00:00, None,1
12.3, -0.8, None,2020-01-03 01:00:00, None,1
12.8, -0.9, None,2020-01-03 02:00:00, None,1
10.8, -1.0, None,2020-01-03 03:00:00, None,1
11.9, -0.9, None,2020-01-03 04:00:00, None,1
21.0, -0.7, None,2020-01-03 05:00:00, None,1
23.6, -0.7, None,2020-01-03 06:00:00, None,1
25.6, -0.7, None,2020-01-03 07:00:00, None,1
29.3, -0.7, None,2020-01-03 08:00:00, None,1
25.9, -0.7, None,2020-01-03 09:00:00, None,1
30.7, -0.8, None,2020-01-03 10:00:00, None,1
37.4, -0.8, None,2020-01-03 11:00:00, None,1
30.6, -0.8, None,2020-01-03 12:00:00, None,1
18.4, -0.8, None,2020-01-03 13:00:00, None,1
340.8, -0.9, None,2020-01-03 14:00:00, None,1
344.7, -0.9, None,2020-01-03 15:00:00, None,1
352.9, -1.0, None,2020-01-03 16:00:00, None,1
14.0, -0.9, None,2020-01-03 17:00:00, None,1
3.6, -0.8, None,2020-01-03 18:00:00, None,1
97.6, -0.5, None,2020-01-03 19:00:00, None,1
166.1, 0.1, None,2020-01-03 20:00:00, None,1
161.8, 1.6, None,2020-01-03 21:00:00, None,1
166.4, 2.3, None,2020-01-03 22:00:00, None,1
164.2, 2.7, None,2020-01-03 23:00:00, None,1
168.8, 2.8, None,2020-01-04 00:00:00, None,1
171.2, 2.9, None,2020-01-04 01:00:00, None,1
173.2, 3.0, None,2020-01-04 02:00:00, None,1
106.9, 2.1, None,2020-01-04 03:00:00, None,1
114.1, 1.4, None,2020-01-04 04:00:00, None,1
96.6, 1.4, None,2020-01-04 05:00:00, None,1
102.8, 1.4, None,2020-01-04 06:00:00, None,1
94.5, 1.4, None,2020-01-04 07:00:00, None,1
97.7, 1.4, None,2020-01-04 08:00:00, None,1
123.6, 1.3, None,2020-01-04 09:00:00, None,1
191.3, 1.5, None,2020-01-04 10:00:00, None,1
158.1, 2.2, None,2020-01-04 11:00:00, None,1
