wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
354.0, None, None,0.0, None,5.2, None,19.9, None, None, None,54.0,2019-07-23 00:00:00,30
318.0, None, None,0.0, None,3.7, None,19.6, None, None, None,54.0,2019-07-23 01:00:00,30
21.0, None, None,0.0, None,2.0, None,18.8, None, None, None,58.0,2019-07-23 02:00:00,30
358.0, None, None,0.0, None,3.0, None,18.1, None, None, None,64.0,2019-07-23 03:00:00,30
256.0, None, None,0.0, None,2.6, None,17.2, None, None, None,65.0,2019-07-23 04:00:00,30
258.0, None, None,0.0, None,0.0, None,17.3, None, None, None,65.0,2019-07-23 05:00:00,30
173.0, None, None,0.0, None,2.2, None,20.9, None, None, None,57.0,2019-07-23 06:00:00,30
126.0, None, None,0.0, None,4.2, None,22.7, None, None, None,58.0,2019-07-23 07:00:00,30
123.0, None, None,0.0, None,3.6, None,23.0, None, None, None,62.0,2019-07-23 08:00:00,30
161.0, None, None,0.0, None,4.8, None,24.3, None, None, None,52.0,2019-07-23 09:00:00,30
231.0, None, None,0.0, None,3.9, None,22.7, None, None, None,59.0,2019-07-23 10:00:00,30
256.0, None, None,0.0, None,4.8, None,21.7, None, None, None,64.0,2019-07-23 11:00:00,30
278.0, None, None,0.0, None,5.4, None,21.3, None, None, None,75.0,2019-07-23 12:00:00,30
164.0, None, None,0.2, None,3.0, None,22.2, None, None, None,71.0,2019-07-23 13:00:00,30
21.0, None, None,0.0, None,8.3, None,22.6, None, None, None,65.0,2019-07-23 14:00:00,30
359.0, None, None,0.0, None,11.5, None,24.3, None, None, None,54.0,2019-07-23 15:00:00,30
17.0, None, None,0.0, None,11.1, None,26.2, None, None, None,50.0,2019-07-23 16:00:00,30
350.0, None, None,0.0, None,9.4, None,23.9, None, None, None,57.0,2019-07-23 17:00:00,30
14.0, None, None,0.0, None,8.8, None,23.6, None, None, None,56.0,2019-07-23 18:00:00,30
307.0, None, None,0.0, None,15.5, None,22.7, None, None, None,52.0,2019-07-23 19:00:00,30
332.0, None, None,0.2, None,12.2, None,19.2, None, None, None,69.0,2019-07-23 20:00:00,30
322.0, None, None,0.2, None,14.1, None,19.9, None, None, None,52.0,2019-07-23 21:00:00,30
350.0, None, None,0.0, None,9.1, None,19.4, None, None, None,58.0,2019-07-23 22:00:00,30
313.0, None, None,0.8, None,7.3, None,15.3, None, None, None,88.0,2019-07-23 23:00:00,30
304.0, None, None,0.0, None,6.2, None,15.8, None, None, None,79.0,2019-07-24 00:00:00,30
351.0, None, None,0.4, None,7.6, None,15.8, None, None, None,86.0,2019-07-24 01:00:00,30
286.0, None, None,0.0, None,2.1, None,16.0, None, None, None,83.0,2019-07-24 02:00:00,30
270.0, None, None,0.0, None,3.9, None,15.4, None, None, None,91.0,2019-07-24 03:00:00,30
275.0, None, None,0.0, None,5.0, None,15.3, None, None, None,85.0,2019-07-24 04:00:00,30
204.0, None, None,0.0, None,10.6, None,15.8, None, None, None,73.0,2019-07-24 05:00:00,30
199.0, None, None,0.0, None,8.5, None,16.2, None, None, None,65.0,2019-07-24 06:00:00,30
251.0, None, None,0.0, None,7.1, None,16.7, None, None, None,57.0,2019-07-24 07:00:00,30
326.0, None, None,0.0, None,9.1, None,16.6, None, None, None,54.0,2019-07-24 08:00:00,30
227.0, None, None,0.0, None,6.3, None,17.7, None, None, None,51.0,2019-07-24 09:00:00,30
185.0, None, None,0.0, None,8.2, None,18.3, None, None, None,51.0,2019-07-24 10:00:00,30
185.0, None, None,0.0, None,9.2, None,18.7, None, None, None,54.0,2019-07-24 11:00:00,30
171.0, None, None,0.0, None,8.3, None,19.4, None, None, None,57.0,2019-07-24 12:00:00,30
191.0, None, None,0.0, None,11.4, None,21.0, None, None, None,45.0,2019-07-24 13:00:00,30
194.0, None, None,0.0, None,10.3, None,20.2, None, None, None,46.0,2019-07-24 14:00:00,30
174.0, None, None,0.0, None,11.4, None,23.2, None, None, None,47.0,2019-07-24 15:00:00,30
165.0, None, None,0.0, None,18.3, None,23.4, None, None, None,44.0,2019-07-24 16:00:00,30
213.0, None, None,0.0, None,10.7, None,24.1, None, None, None,30.0,2019-07-24 17:00:00,30
182.0, None, None,0.0, None,8.1, None,22.3, None, None, None,38.0,2019-07-24 18:00:00,30
283.0, None, None,0.0, None,14.0, None,20.3, None, None, None,37.0,2019-07-24 19:00:00,30
284.0, None, None,0.0, None,15.8, None,19.4, None, None, None,39.0,2019-07-24 20:00:00,30
250.0, None, None,0.0, None,8.1, None,18.4, None, None, None,42.0,2019-07-24 21:00:00,30
296.0, None, None,0.0, None,5.2, None,17.2, None, None, None,44.0,2019-07-24 22:00:00,30
22.0, None, None,0.0, None,4.1, None,15.6, None, None, None,57.0,2019-07-24 23:00:00,30
339.0, None, None,0.0, None,3.5, None,15.1, None, None, None,56.0,2019-07-25 00:00:00,30
233.0, None, None,0.0, None,5.0, None,14.1, None, None, None,58.0,2019-07-25 01:00:00,30
267.0, None, None,0.0, None,5.9, None,13.2, None, None, None,60.0,2019-07-25 02:00:00,30
267.0, None, None,0.0, None,3.4, None,12.6, None, None, None,61.0,2019-07-25 03:00:00,30
352.0, None, None,0.0, None,2.0, None,11.4, None, None, None,69.0,2019-07-25 04:00:00,30
273.0, None, None,0.0, None,1.7, None,11.2, None, None, None,72.0,2019-07-25 05:00:00,30
62.0, None, None,0.0, None,3.6, None,15.1, None, None, None,60.0,2019-07-25 06:00:00,30
101.0, None, None,0.0, None,6.7, None,17.3, None, None, None,57.0,2019-07-25 07:00:00,30
101.0, None, None,0.0, None,6.4, None,18.9, None, None, None,52.0,2019-07-25 08:00:00,30
154.0, None, None,0.0, None,6.6, None,21.1, None, None, None,46.0,2019-07-25 09:00:00,30
147.0, None, None,0.0, None,5.4, None,21.4, None, None, None,38.0,2019-07-25 10:00:00,30
168.0, None, None,0.0, None,4.3, None,20.5, None, None, None,38.0,2019-07-25 11:00:00,30
107.0, None, None,0.0, None,6.7, None,23.5, None, None, None,37.0,2019-07-25 12:00:00,30
138.0, None, None,0.0, None,6.8, None,25.6, None, None, None,35.0,2019-07-25 13:00:00,30
120.0, None, None,0.0, None,6.8, None,25.9, None, None, None,35.0,2019-07-25 14:00:00,30
