ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None,1203.0, None, None, None,2016-08-12 00:00:00,17.3, None, None,33
None,1202.0, None, None, None,2016-08-12 01:00:00,15.8, None, None,33
None,1202.0, None, None, None,2016-08-12 02:00:00,14.5, None, None,33
None,1202.0, None, None, None,2016-08-12 03:00:00,11.8, None, None,33
None,1202.0, None, None, None,2016-08-12 04:00:00,10.5, None, None,33
None,1202.0, None, None, None,2016-08-12 05:00:00,10.4, None, None,33
None,1202.0, None, None, None,2016-08-12 06:00:00,10.2, None, None,33
None,1202.0, None, None, None,2016-08-12 07:00:00,8.8, None, None,33
None,1203.0, None, None, None,2016-08-12 08:00:00,8.3, None, None,33
None,1203.0, None, None, None,2016-08-12 09:00:00,8.3, None, None,33
None,1203.0, None, None, None,2016-08-12 10:00:00,8.1, None, None,33
None,1203.0, None, None, None,2016-08-12 11:00:00,7.8, None, None,33
None,1204.0, None, None, None,2016-08-12 12:00:00,7.6, None, None,33
None,1204.0, None, None, None,2016-08-12 13:00:00,7.4, None, None,33
None,1204.0, None, None, None,2016-08-12 14:00:00,9.1, None, None,33
None,1203.0, None, None, None,2016-08-12 15:00:00,13.7, None, None,33
None,1203.0, None, 0.0, None,2016-08-12 16:00:00,14.1, None, None,33
None,1202.0, None, None, None,2016-08-12 17:00:00,15.2, None, None,33
None,1201.0, None, None, None,2016-08-12 18:00:00,15.7, None, None,33
None,1201.0, None, None, None,2016-08-12 19:00:00,14.5, None, None,33
None,1201.0, None, None, None,2016-08-12 20:00:00,15.4, None, None,33
None,1200.0, None, None, None,2016-08-12 21:00:00,17.5, None, None,33
None,1199.0, None, None, None,2016-08-12 22:00:00,16.4, None, None,33
None,1199.0, None, None, None,2016-08-12 23:00:00,16.4, None, None,33
None,1199.0, None, None, None,2016-08-13 00:00:00,15.0, None, None,33
None,1199.0, None, None, None,2016-08-13 01:00:00,14.3, None, None,33
None,1199.0, None, None, None,2016-08-13 02:00:00,12.7, None, None,33
None,1200.0, None, None, None,2016-08-13 03:00:00,11.2, None, None,33
None,1200.0, None, None, None,2016-08-13 04:00:00,10.1, None, None,33
None,1201.0, None, None, None,2016-08-13 05:00:00,9.8, None, None,33
None,1201.0, None, None, None,2016-08-13 06:00:00,9.6, None, None,33
None,1202.0, None, None, None,2016-08-13 07:00:00,9.3, None, None,33
None,1202.0, None, None, None,2016-08-13 08:00:00,9.1, None, None,33
None,1202.0, None, None, None,2016-08-13 09:00:00,8.8, None, None,33
None,1202.0, None, None, None,2016-08-13 10:00:00,8.7, None, None,33
None,1203.0, None, None, None,2016-08-13 11:00:00,8.6, None, None,33
None,1203.0, None, None, None,2016-08-13 12:00:00,8.2, None, None,33
None,1203.0, None, None, None,2016-08-13 13:00:00,8.1, None, None,33
None,1203.0, None, None, None,2016-08-13 14:00:00,9.7, None, None,33
None,1203.0, None, None, None,2016-08-13 15:00:00,15.0, None, None,33
None,1202.0, None, 0.0, None,2016-08-13 16:00:00,16.9, None, None,33
None,1200.0, None, None, None,2016-08-13 17:00:00,18.2, None, None,33
None,1200.0, None, None, None,2016-08-13 18:00:00,19.0, None, None,33
None,1199.0, None, None, None,2016-08-13 19:00:00,17.3, None, None,33
None,1198.0, None, None, None,2016-08-13 20:00:00,19.6, None, None,33
None,1197.0, None, None, None,2016-08-13 21:00:00,20.4, None, None,33
None,1196.0, None, None, None,2016-08-13 22:00:00,21.4, None, None,33
None,1195.0, None, None, None,2016-08-13 23:00:00,22.3, None, None,33
None,1195.0, None, None, None,2016-08-14 00:00:00,20.4, None, None,33
None,1195.0, None, None, None,2016-08-14 01:00:00,19.0, None, None,33
None,1195.0, None, None, None,2016-08-14 02:00:00,17.1, None, None,33
None,1196.0, None, None, None,2016-08-14 03:00:00,15.1, None, None,33
None,1196.0, None, None, None,2016-08-14 04:00:00,13.1, None, None,33
None,1197.0, None, None, None,2016-08-14 05:00:00,12.3, None, None,33
None,1198.0, None, None, None,2016-08-14 06:00:00,12.2, None, None,33
None,1198.0, None, None, None,2016-08-14 07:00:00,11.7, None, None,33
None,1199.0, None, None, None,2016-08-14 08:00:00,11.4, None, None,33
None,1199.0, None, None, None,2016-08-14 09:00:00,11.0, None, None,33
None,1199.0, None, None, None,2016-08-14 10:00:00,11.0, None, None,33
None,1200.0, None, None, None,2016-08-14 11:00:00,10.5, None, None,33
None,1200.0, None, None, None,2016-08-14 12:00:00,10.2, None, None,33
None,1200.0, None, None, None,2016-08-14 13:00:00,10.0, None, None,33
None,1200.0, None, None, None,2016-08-14 14:00:00,11.2, None, None,33
None,1200.0, None, None, None,2016-08-14 15:00:00,17.0, None, None,33
None,1200.0, None, 0.0, None,2016-08-14 16:00:00,16.6, None, None,33
None,1198.0, None, None, None,2016-08-14 17:00:00,18.3, None, None,33
None,1198.0, None, None, None,2016-08-14 18:00:00,18.4, None, None,33
None,1197.0, None, None, None,2016-08-14 19:00:00,19.7, None, None,33
None,1196.0, None, None, None,2016-08-14 20:00:00,20.3, None, None,33
None,1195.0, None, None, None,2016-08-14 21:00:00,21.4, None, None,33
None,1194.0, None, None, None,2016-08-14 22:00:00,20.9, None, None,33
None,1193.0, None, None, None,2016-08-14 23:00:00,20.9, None, None,33
None,1193.0, None, None, None,2016-08-15 00:00:00,20.8, None, None,33
None,1192.0, 0.0, None, None,2016-08-15 01:00:00,20.7, None, None,33
None,1192.0, None, None, None,2016-08-15 02:00:00,18.9, None, None,33
None,1193.0, None, None, None,2016-08-15 03:00:00,15.0, None, None,33
None,1194.0, None, None, None,2016-08-15 04:00:00,12.5, None, None,33
None,1195.0, None, None, None,2016-08-15 05:00:00,12.2, None, None,33
None,1195.0, None, None, None,2016-08-15 06:00:00,11.9, None, None,33
None,1196.0, None, None, None,2016-08-15 07:00:00,11.6, None, None,33
None,1196.0, None, None, None,2016-08-15 08:00:00,11.0, None, None,33
None,1197.0, None, None, None,2016-08-15 09:00:00,10.9, None, None,33
None,1197.0, None, None, None,2016-08-15 10:00:00,10.7, None, None,33
None,1198.0, None, None, None,2016-08-15 11:00:00,10.5, None, None,33
None,1198.0, None, None, None,2016-08-15 12:00:00,10.2, None, None,33
None,1199.0, None, None, None,2016-08-15 13:00:00,10.1, None, None,33
None,1199.0, None, None, None,2016-08-15 14:00:00,10.8, None, None,33
None,1199.0, None, None, None,2016-08-15 15:00:00,16.1, None, None,33
None,1198.0, None, 0.0, None,2016-08-15 16:00:00,18.5, None, None,33
None,1196.0, None, None, None,2016-08-15 17:00:00,18.8, None, None,33
None,1195.0, None, None, None,2016-08-15 18:00:00,19.3, None, None,33
None,1195.0, None, None, None,2016-08-15 19:00:00,19.4, None, None,33
None,1194.0, None, None, None,2016-08-15 20:00:00,17.8, None, None,33
None,1194.0, None, None, None,2016-08-15 21:00:00,18.6, None, None,33
None,1193.0, None, None, None,2016-08-15 22:00:00,20.8, None, None,33
None,1192.0, None, None, None,2016-08-15 23:00:00,21.3, None, None,33
None,1192.0, None, None, None,2016-08-16 00:00:00,21.1, None, None,33
None,1192.0, None, None, None,2016-08-16 01:00:00,21.2, None, None,33
None,1192.0, None, None, None,2016-08-16 02:00:00,14.4, None, None,33
None,1193.0, None, None, None,2016-08-16 03:00:00,13.5, None, None,33
None,1194.0, None, None, None,2016-08-16 04:00:00,12.6, None, None,33
None,1195.0, None, None, None,2016-08-16 05:00:00,11.9, None, None,33
None,1195.0, None, None, None,2016-08-16 06:00:00,11.9, None, None,33
None,1196.0, None, None, None,2016-08-16 07:00:00,11.5, None, None,33
None,1196.0, None, None, None,2016-08-16 08:00:00,11.2, None, None,33
None,1197.0, None, None, None,2016-08-16 09:00:00,11.1, None, None,33
None,1197.0, None, None, None,2016-08-16 10:00:00,10.8, None, None,33
None,1198.0, None, None, None,2016-08-16 11:00:00,10.6, None, None,33
None,1198.0, None, None, None,2016-08-16 12:00:00,10.3, None, None,33
None,1198.0, None, None, None,2016-08-16 13:00:00,10.2, None, None,33
None,1198.0, None, None, None,2016-08-16 14:00:00,11.0, None, None,33
None,1198.0, None, None, None,2016-08-16 15:00:00,15.4, None, None,33
None,1197.0, None, 0.0, None,2016-08-16 16:00:00,20.2, None, None,33
None,1196.0, None, None, None,2016-08-16 17:00:00,20.4, None, None,33
None,1195.0, None, None, None,2016-08-16 18:00:00,20.5, None, None,33
None,1194.0, None, None, None,2016-08-16 19:00:00,22.0, None, None,33
None,1193.0, None, None, None,2016-08-16 20:00:00,21.3, None, None,33
None,1192.0, None, None, None,2016-08-16 21:00:00,22.4, None, None,33
None,1191.0, None, None, None,2016-08-16 22:00:00,21.6, None, None,33
None,1191.0, None, None, None,2016-08-16 23:00:00,22.2, None, None,33
None,1190.0, 0.0, None, None,2016-08-17 00:00:00,22.2, None, None,33
None,1190.0, 0.0, None, None,2016-08-17 01:00:00,22.3, None, None,33
None,1190.0, 0.0, None, None,2016-08-17 02:00:00,16.9, None, None,33
None,1191.0, None, None, None,2016-08-17 03:00:00,15.6, None, None,33
None,1192.0, None, None, None,2016-08-17 04:00:00,14.3, None, None,33
None,1193.0, None, None, None,2016-08-17 05:00:00,13.6, None, None,33
None,1194.0, None, None, None,2016-08-17 06:00:00,13.1, None, None,33
None,1194.0, None, None, None,2016-08-17 07:00:00,12.7, None, None,33
None,1195.0, None, None, None,2016-08-17 08:00:00,12.2, None, None,33
None,1195.0, None, None, None,2016-08-17 09:00:00,11.7, None, None,33
None,1196.0, None, None, None,2016-08-17 10:00:00,11.0, None, None,33
None,1196.0, None, None, None,2016-08-17 11:00:00,10.7, None, None,33
None,1197.0, None, None, None,2016-08-17 12:00:00,10.4, None, None,33
None,1197.0, None, None, None,2016-08-17 13:00:00,10.2, None, None,33
None,1197.0, None, None, None,2016-08-17 14:00:00,11.7, None, None,33
None,1197.0, None, None, None,2016-08-17 15:00:00,15.9, None, None,33
None,1196.0, None, 0.0, None,2016-08-17 16:00:00,17.5, None, None,33
None,1195.0, None, None, None,2016-08-17 17:00:00,18.1, None, None,33
None,1193.0, None, None, None,2016-08-17 18:00:00,19.0, None, None,33
None,1193.0, None, None, None,2016-08-17 19:00:00,19.5, None, None,33
None,1192.0, None, None, None,2016-08-17 20:00:00,19.6, None, None,33
None,1191.0, None, None, None,2016-08-17 21:00:00,20.7, None, None,33
None,1190.0, None, None, None,2016-08-17 22:00:00,20.5, None, None,33
None,1190.0, None, None, None,2016-08-17 23:00:00,21.1, None, None,33
None,1189.0, None, None, None,2016-08-18 00:00:00,21.0, None, None,33
None,1189.0, 0.0, None, None,2016-08-18 01:00:00,20.1, None, None,33
None,1189.0, 0.0, None, None,2016-08-18 02:00:00,15.3, None, None,33
None,1190.0, None, None, None,2016-08-18 03:00:00,12.5, None, None,33
None,1191.0, None, None, None,2016-08-18 04:00:00,12.1, None, None,33
None,1191.0, None, None, None,2016-08-18 05:00:00,11.3, None, None,33
None,1191.0, None, None, None,2016-08-18 06:00:00,12.0, None, None,33
None,1192.0, None, None, None,2016-08-18 07:00:00,10.7, None, None,33
None,1192.0, None, None, None,2016-08-18 08:00:00,9.9, None, None,33
None,1193.0, None, None, None,2016-08-18 09:00:00,9.3, None, None,33
None,1193.0, None, None, None,2016-08-18 10:00:00,9.0, None, None,33
None,1194.0, None, None, None,2016-08-18 11:00:00,8.7, None, None,33
None,1194.0, None, None, None,2016-08-18 12:00:00,8.3, None, None,33
None,1194.0, None, None, None,2016-08-18 13:00:00,8.0, None, None,33
None,1194.0, None, None, None,2016-08-18 14:00:00,8.8, None, None,33
None,1194.0, None, None, None,2016-08-18 15:00:00,14.2, None, None,33
None,1193.0, None, 0.0, None,2016-08-18 16:00:00,15.8, None, None,33
None,1192.0, None, None, None,2016-08-18 17:00:00,15.5, None, None,33
None,1192.0, None, None, None,2016-08-18 18:00:00,16.9, None, None,33
None,1191.0, None, None, None,2016-08-18 19:00:00,17.7, None, None,33
None,1191.0, None, None, None,2016-08-18 20:00:00,17.9, None, None,33
None,1190.0, None, None, None,2016-08-18 21:00:00,18.0, None, None,33
None,1189.0, None, None, None,2016-08-18 22:00:00,18.4, None, None,33
None,1189.0, None, None, None,2016-08-18 23:00:00,19.2, None, None,33
