RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
100.0, None, None, None, 5.988, 170.4, None, None, 0.0, 987.0, None, None, None, None, None, 52.44, None, None, 0.132, None, None, None, None, 24.23, None, None, None, None, None, None,2019-01-01 00:00:00, None,1
99.9, None, None, None, 0.162, 183.1, None, None, 0.0, 987.0, None, None, None, None, None, 52.39, None, None, 0.134, None, None, None, None, 46.77, None, None, None, None, None, None,2019-01-01 01:00:00, None,1
100.0, None, None, None, 0.001, 175.0, None, None, 0.0, 987.0, None, None, None, None, None, 52.52, None, None, 0.126, None, None, None, None, 69.93, None, None, None, None, None, None,2019-01-01 02:00:00, None,1
100.0, None, None, None, 0.001, 202.0, None, None, 0.0, 986.0, None, None, None, None, None, 52.97, None, None, 0.148, None, None, None, None, 49.16, None, None, None, None, None, None,2019-01-01 03:00:00, None,1
100.0, None, None, None, 0.001, 333.3, None, None, 0.0, 985.0, None, None, None, None, None, 52.94, None, None, 0.21, None, None, None, None, 12.94, None, None, None, None, None, None,2019-01-01 04:00:00, None,1
100.1, None, None, None, 0.001, 313.3, None, None, 0.0, 985.0, None, None, None, None, None, 53.07, None, None, 0.173, None, None, None, None, 68.14, None, None, None, None, None, None,2019-01-01 05:00:00, None,1
100.1, None, None, None, 0.372, 158.4, None, None, 0.0, 984.0, None, None, None, None, None, 53.16, None, None, 0.222, None, None, None, None, 16.13, None, None, None, None, None, None,2019-01-01 06:00:00, None,1
100.1, None, None, None, 2.602, 149.8, None, None, 0.0, 984.0, None, None, None, None, None, 53.0, None, None, 0.208, None, None, None, None, 28.51, None, None, None, None, None, None,2019-01-01 07:00:00, None,1
100.1, None, None, None, 3.011, 154.9, None, None, 0.0, 984.0, None, None, None, None, None, 52.78, None, None, 0.315, None, None, None, None, 29.58, None, None, None, None, None, None,2019-01-01 08:00:00, None,1
100.1, None, None, None, 1.494, 145.0, None, None, 0.0, 984.0, None, None, None, None, None, 52.52, None, None, 0.267, None, None, None, None, 58.57, None, None, None, None, None, None,2019-01-01 09:00:00, None,1
100.1, None, None, None, 0.635, 353.6, None, None, 0.0, 983.0, None, None, None, None, None, 52.34, None, None, 0.404, None, None, None, None, 31.28, None, None, None, None, None, None,2019-01-01 10:00:00, None,1
