TempC,SolarRadiationWm,RH,Wetness,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-20.356,0.6, 86.1,8.24,0.0,925.15, 0.0,0.56,2018-01-01 00:00:00,352.4, -22.1,1
-19.7,0.6, 86.1,8.82,0.0,925.05, 0.0,0.37,2018-01-01 01:00:00,355.2, -21.5,1
-19.012,0.6, 86.1,9.41,0.0,925.35, 0.0,0.56,2018-01-01 02:00:00,14.0, -20.8,1
-18.877,0.6, 86.2,10.0,0.0,925.65, 0.0,0.37,2018-01-01 03:00:00,11.2, -20.6,1
-18.474,0.6, 86.2,10.0,0.0,924.55, 0.0,0.37,2018-01-01 04:00:00,9.8, -20.2,1
-18.164,0.6, 86.2,10.59,0.0,924.55, 0.0,0.56,2018-01-01 05:00:00,339.7, -19.9,1
-18.34,0.6, 86.3,10.59,0.0,924.45, 0.0,0.19,2018-01-01 06:00:00,345.4, -20.1,1
-18.429,0.6, 86.4,10.0,0.0,924.35, 0.0,0.56,2018-01-01 07:00:00,346.8, -20.2,1
-20.595,0.6, 86.1,8.24,0.0,924.25, 0.0,0.37,2018-01-01 08:00:00,348.2, -22.3,1
-20.69,14.4, 85.8,8.24,0.0,924.85, 0.0,0.0,2018-01-01 09:00:00,348.2, -22.5,1
-18.296,23.1, 86.2,10.59,0.0,925.45, 0.0,0.37,2018-01-01 10:00:00,348.2, -20.1,1
-14.628,351.9, 86.4,13.53,0.0,925.55, 0.0,0.93,2018-01-01 11:00:00,348.2, -16.4,1
-11.94,268.1, 82.9,19.41,0.0,925.15, 0.0,0.74,2018-01-01 12:00:00,164.3, -14.3,1
-13.352,54.4, 82.4,18.24,0.0,924.65, 0.0,0.93,2018-01-01 13:00:00,164.3, -15.7,1
-13.466,29.4, 84.5,17.06,0.0,924.45, 0.0,0.37,2018-01-01 14:00:00,164.3, -15.5,1
-14.353,20.6, 85.3,15.88,0.0,925.05, 0.0,1.67,2018-01-01 15:00:00,66.0, -16.3,1
-14.905,0.6, 86.2,14.12,0.0,925.55, 0.0,0.19,2018-01-01 16:00:00,28.1, -16.7,1
-15.628,0.6, 87.0,12.94,0.0,926.15, 0.0,0.0,2018-01-01 17:00:00,19.7, -17.3,1
-15.75,0.6, 87.3,12.94,0.0,926.45, 0.0,0.19,2018-01-01 18:00:00,19.7, -17.4,1
-16.037,0.6, 87.3,12.35,0.0,926.45, 0.0,0.0,2018-01-01 19:00:00,19.7, -17.7,1
-16.326,0.6, 87.4,12.35,0.0,926.55, 0.0,0.0,2018-01-01 20:00:00,19.7, -18.0,1
-16.87,0.6, 87.4,11.18,0.0,926.95, 0.0,0.0,2018-01-01 21:00:00,19.7, -18.5,1
-17.082,0.6, 87.4,11.18,0.0,927.25, 0.0,0.0,2018-01-01 22:00:00,19.7, -18.7,1
-16.367,0.6, 87.5,11.76,0.0,927.55, 0.0,0.0,2018-01-01 23:00:00,19.7, -18.0,1
-16.828,0.6, 87.5,11.76,0.0,927.75, 0.0,0.0,2018-01-02 00:00:00,19.7, -18.4,1
-15.873,0.6, 87.5,12.94,0.0,927.95, 0.0,0.0,2018-01-02 01:00:00,19.7, -17.5,1
-16.451,0.6, 87.5,12.35,0.0,927.95, 0.0,0.0,2018-01-02 02:00:00,19.7, -18.1,1
-16.87,0.6, 87.5,11.76,0.0,928.05, 0.0,0.0,2018-01-02 03:00:00,19.7, -18.5,1
-16.243,0.6, 87.7,11.76,0.0,928.15, 0.0,0.0,2018-01-02 04:00:00,19.7, -17.8,1
-17.253,0.6, 87.6,11.18,0.0,927.95, 0.0,0.0,2018-01-02 05:00:00,19.7, -18.8,1
-17.125,0.6, 87.6,11.18,0.0,927.65, 0.0,0.0,2018-01-02 06:00:00,19.7, -18.7,1
-17.21,0.6, 87.8,10.59,0.0,927.55, 0.0,0.0,2018-01-02 07:00:00,19.7, -18.8,1
-17.295,0.6, 87.6,11.18,0.0,927.55, 0.0,0.0,2018-01-02 08:00:00,19.7, -18.9,1
-17.253,9.4, 87.6,11.18,0.0,927.15, 0.0,0.0,2018-01-02 09:00:00,19.7, -18.8,1
-14.945,41.9, 87.8,14.12,0.0,927.25, 0.0,0.19,2018-01-02 10:00:00,19.7, -16.5,1
-11.326,43.1, 87.6,21.76,0.0,927.05, 0.0,0.93,2018-01-02 11:00:00,8.4, -13.0,1
-10.511,59.4, 86.8,27.06,0.0,925.85, 0.0,0.74,2018-01-02 12:00:00,18.3, -12.3,1
-10.023,43.1, 86.6,28.24,0.0,925.05, 0.0,1.3,2018-01-02 13:00:00,82.8, -11.8,1
-10.792,24.4, 86.9,24.12,0.19,924.95, 0.0,1.48,2018-01-02 14:00:00,18.3, -12.6,1
-11.94,10.6, 87.4,19.41,0.0,924.15, 0.0,0.93,2018-01-02 15:00:00,9.8, -13.6,1
-12.123,1.9, 87.7,18.82,0.0,924.05, 0.0,0.56,2018-01-02 16:00:00,353.8, -13.8,1
-13.088,0.6, 87.9,17.06,0.0,923.55, 0.0,0.19,2018-01-02 17:00:00,0.0, -14.7,1
-13.428,0.6, 87.9,16.47,0.0,923.15, 0.0,0.0,2018-01-02 18:00:00,0.0, -15.0,1
-14.392,0.6, 87.9,14.71,0.0,922.85, 0.0,0.0,2018-01-02 19:00:00,0.0, -16.0,1
-13.734,0.6, 88.0,15.88,0.0,922.35, 0.0,0.0,2018-01-02 20:00:00,0.0, -15.3,1
-13.772,0.6, 87.9,15.88,0.0,922.05, 0.0,0.0,2018-01-02 21:00:00,0.0, -15.4,1
-14.042,0.6, 87.9,15.29,0.0,921.85, 0.0,0.0,2018-01-02 22:00:00,0.0, -15.6,1
-14.236,0.6, 87.9,14.71,0.0,921.95, 0.0,0.0,2018-01-02 23:00:00,0.0, -15.8,1
-12.528,0.6, 88.0,18.24,0.0,921.95, 0.0,0.0,2018-01-03 00:00:00,0.0, -14.1,1
-11.04,0.6, 87.8,21.18,0.0,922.15, 0.0,0.0,2018-01-03 01:00:00,0.0, -12.7,1
-10.511,0.6, 87.7,22.94,0.0,921.75, 0.0,0.0,2018-01-03 02:00:00,0.0, -12.2,1
-11.147,0.6, 87.6,21.18,0.0,921.85, 0.0,0.0,2018-01-03 03:00:00,0.0, -12.8,1
-10.722,0.6, 87.7,22.35,0.0,921.55, 0.0,0.37,2018-01-03 04:00:00,0.0, -12.4,1
-11.076,0.6, 87.7,21.76,0.0,921.15, 0.0,0.0,2018-01-03 05:00:00,0.0, -12.7,1
-11.29,0.6, 87.8,21.18,0.0,920.95, 0.0,0.0,2018-01-03 06:00:00,0.0, -12.9,1
-11.183,0.6, 87.7,21.18,0.0,920.95, 0.0,0.74,2018-01-03 07:00:00,0.0, -12.8,1
-10.934,0.6, 87.8,21.76,0.0,920.85, 0.0,0.37,2018-01-03 08:00:00,0.0, -12.6,1
-10.441,3.1, 87.8,23.53,0.0,920.75, 0.0,0.56,2018-01-03 09:00:00,0.0, -12.1,1
