RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,10.28, None, None, None, None, None, None, None, None, None,2018-08-27 00:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,10.04, None, None, None, None, None, None, None, None, None,2018-08-27 01:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,10.09, None, None, None, None, None, None, None, None, None,2018-08-27 02:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,9.75, None, None, None, None, None, None, None, None, None,2018-08-27 03:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,8.69, None, None, None, None, None, None, None, None, None,2018-08-27 04:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.8, None, None, None, None, None, None, None, None, None,2018-08-27 05:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,8.23, None, None, None, None, None, None, None, None, None,2018-08-27 06:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.99, None, None, None, None, None, None, None, None, None,2018-08-27 07:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,8.44, None, None, None, None, None, None, None, None, None,2018-08-27 08:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,8.8, None, None, None, None, None, None, None, None, None,2018-08-27 09:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,9.38, None, None, None, None, None, None, None, None, None,2018-08-27 10:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,9.9, None, None, None, None, None, None, None, None, None,2018-08-27 11:00:00, None,35
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,9.67, None, None, None, None, None, None, None, None, None,2018-08-27 12:00:00, None,35
