wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
348.0, 89.0, 6.3, 0.0, -11.9, 6.1, -10.4, -11.1, 357.0, 0.0, 0.0, 87.0,2020-12-23 00:00:00,52
355.0, 87.0, 6.1, 0.0, -12.8, 5.7, -11.1, -11.6, 348.0, 0.0, 0.0, 88.0,2020-12-23 01:00:00,52
348.0, 88.0, 5.7, 0.0, -13.2, 6.4, -11.6, -11.7, 355.0, 0.0, 0.0, 87.0,2020-12-23 02:00:00,52
358.0, 87.0, 6.4, 0.0, -13.4, 5.5, -11.7, -11.8, 348.0, 0.0, 0.0, 87.0,2020-12-23 03:00:00,52
5.0, 87.0, 5.5, 0.0, -13.5, 6.7, -11.8, -11.6, 358.0, 0.0, 0.0, 87.0,2020-12-23 04:00:00,52
11.0, 87.0, 6.7, 0.0, -13.3, 8.6, -11.6, -10.5, 5.0, 0.0, 0.0, 89.0,2020-12-23 05:00:00,52
17.0, 89.0, 8.6, 0.0, -12.0, 7.4, -10.5, -8.9, 11.0, 0.0, 0.0, 89.0,2020-12-23 06:00:00,52
13.0, 89.0, 7.4, 0.0, -10.4, 5.6, -8.9, -8.7, 17.0, 0.0, 0.0, 89.0,2020-12-23 07:00:00,52
20.0, 89.0, 5.6, 0.0, -10.2, 6.9, -8.7, -7.8, 13.0, 0.0, 0.0, 87.0,2020-12-23 08:00:00,52
34.0, 87.0, 6.9, 0.0, -9.6, 7.9, -7.8, -6.9, 20.0, 0.0, 0.0, 84.0,2020-12-23 09:00:00,52
137.0, 84.0, 7.9, 0.0, -9.1, 4.9, -6.9, -6.2, 34.0, 0.0, 0.0, 83.0,2020-12-23 10:00:00,52
145.0, 83.0, 4.9, 0.0, -8.6, 4.8, -6.2, -4.9, 137.0, 0.0, 0.0, 81.0,2020-12-23 11:00:00,52
72.0, 81.0, 4.8, 0.0, -7.7, 4.9, -4.9, -5.6, 145.0, 0.0, 0.0, 81.0,2020-12-23 12:00:00,52
45.0, 81.0, 4.9, 0.0, -8.3, 5.1, -5.6, -5.5, 72.0, 0.0, 0.0, 78.0,2020-12-23 13:00:00,52
31.0, 78.0, 5.1, 0.0, -8.7, 7.8, -5.5, -5.9, 45.0, 0.0, 0.0, 80.0,2020-12-23 14:00:00,52
32.0, 80.0, 7.8, 0.0, -8.8, 6.4, -5.9, -6.6, 31.0, 0.0, 0.0, 85.0,2020-12-23 15:00:00,52
33.0, 85.0, 6.4, 0.0, -8.7, 6.9, -6.6, -7.2, 32.0, 0.0, 0.0, 85.0,2020-12-23 16:00:00,52
18.0, 85.0, 6.9, 0.0, -9.3, 5.5, -7.2, -8.1, 33.0, 0.0, 0.0, 89.0,2020-12-23 17:00:00,52
7.0, 89.0, 5.5, 0.0, -9.6, 5.6, -8.1, -8.7, 18.0, 0.0, 0.0, 89.0,2020-12-23 18:00:00,52
19.0, 89.0, 5.6, 0.0, -10.2, 6.8, -8.7, -8.5, 7.0, 0.0, 0.0, 89.0,2020-12-23 19:00:00,52
20.0, 89.0, 6.8, 0.0, -10.0, 8.7, -8.5, -8.1, 19.0, 0.0, 0.0, 87.0,2020-12-23 20:00:00,52
25.0, 87.0, 8.7, 0.0, -9.9, 5.2, -8.1, -8.5, 20.0, 0.0, 0.0, 87.0,2020-12-23 21:00:00,52
114.0, 87.0, 5.2, 0.0, -10.3, 4.6, -8.5, -7.7, 25.0, 0.0, 0.0, 88.0,2020-12-23 22:00:00,52
39.0, 88.0, 4.6, 0.0, -9.3, 8.0, -7.7, -7.9, 114.0, 0.0, 0.0, 90.0,2020-12-23 23:00:00,52
39.0, 90.0, 8.0, 0.0, -9.3, 4.5, -7.9, -8.2, 39.0, 0.0, 0.0, 90.0,2020-12-24 00:00:00,52
48.0, 90.0, 4.5, 0.0, -9.5, 5.4, -8.2, -8.0, 39.0, 0.0, 0.0, 87.0,2020-12-24 01:00:00,52
25.0, 87.0, 5.4, 0.0, -9.8, 8.8, -8.0, -8.2, 48.0, 0.0, 0.0, 87.0,2020-12-24 02:00:00,52
3.0, 87.0, 8.8, 0.0, -10.0, 8.6, -8.2, -8.9, 25.0, 0.0, 0.0, 87.0,2020-12-24 03:00:00,52
