RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.652, None, None, None, None, None, None, None, None, None,2018-10-22 00:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.441, None, None, None, None, None, None, None, None, None,2018-10-22 01:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.346, None, None, None, None, None, None, None, None, None,2018-10-22 02:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.659, None, None, None, None, None, None, None, None, None,2018-10-22 03:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.278, None, None, None, None, None, None, None, None, None,2018-10-22 04:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.478, None, None, None, None, None, None, None, None, None,2018-10-22 05:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.383, None, None, None, None, None, None, None, None, None,2018-10-22 06:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,1.832, None, None, None, None, None, None, None, None, None,2018-10-22 07:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2.26, None, None, None, None, None, None, None, None, None,2018-10-22 08:00:00, None,43
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,1.975, None, None, None, None, None, None, None, None, None,2018-10-22 09:00:00, None,43
