pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
None, None, 416.0, 7.0, None, None, None,2019-11-12 00:00:00,-4.8, None, 20.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 01:00:00,-4.8, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 02:00:00,-4.8, None, 24.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 03:00:00,-4.6, None, 21.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 04:00:00,-3.8, None, 17.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 05:00:00,-4.5, None, 14.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 06:00:00,-5.3, None, 21.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 07:00:00,-4.6, None, 20.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 08:00:00,-4.6, None, 20.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 09:00:00,-3.6, None, 21.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 10:00:00,-2.6, None, 10.0, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 11:00:00,-2.4, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 12:00:00,-2.1, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 13:00:00,-1.7, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 14:00:00,-0.9, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 15:00:00,-0.8, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 16:00:00,-0.5, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 17:00:00,-0.4, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 18:00:00,0.3, None, None, None,46
None, None, 416.0, 7.0, None, None, None,2019-11-12 19:00:00,0.3, None, None, None,46
None, None, 416.0, 8.0, None, None, None,2019-11-12 20:00:00,0.7, None, 16.0, None,46
None, None, 415.0, 8.0, None, None, None,2019-11-12 21:00:00,0.8, None, 19.0, None,46
None, None, 416.0, 8.0, None, None, None,2019-11-12 22:00:00,0.6, None, 11.0, None,46
None, None, 416.0, 8.0, None, None, None,2019-11-12 23:00:00,0.7, None, 18.0, None,46
None, None, 416.0, 8.0, None, None, None,2019-11-13 00:00:00,0.7, None, 17.0, None,46
None, None, 417.0, 9.0, None, None, None,2019-11-13 01:00:00,0.4, None, 18.0, None,46
None, None, 418.0, 9.0, None, None, None,2019-11-13 02:00:00,0.8, None, 18.0, None,46
None, None, 418.0, 9.0, None, None, None,2019-11-13 03:00:00,0.3, None, None, None,46
None, None, 418.0, 9.0, None, None, None,2019-11-13 04:00:00,0.3, None, 15.0, None,46
None, None, 419.0, 9.0, None, None, None,2019-11-13 05:00:00,0.7, None, 13.0, None,46
None, None, 419.0, 9.0, None, None, None,2019-11-13 06:00:00,0.8, None, 15.0, None,46
None, None, 420.0, 9.0, None, None, None,2019-11-13 07:00:00,0.5, None, 15.0, None,46
None, None, 420.0, 9.0, None, None, None,2019-11-13 08:00:00,0.8, None, 18.0, None,46
None, None, 420.0, 9.0, None, None, None,2019-11-13 09:00:00,1.0, None, 17.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 10:00:00,0.7, None, 17.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 11:00:00,0.9, None, 16.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 12:00:00,0.8, None, None, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 13:00:00,0.8, None, 11.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 14:00:00,1.0, None, 12.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 15:00:00,0.6, None, 14.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 16:00:00,0.9, None, 14.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 17:00:00,0.9, None, 13.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 18:00:00,1.5, None, 12.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 19:00:00,1.8, None, 7.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 20:00:00,2.0, None, 17.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 21:00:00,2.1, None, None, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 22:00:00,2.6, None, 15.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-13 23:00:00,2.5, None, 15.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-14 00:00:00,1.9, None, 9.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-14 01:00:00,1.4, None, 11.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-14 02:00:00,1.0, None, 9.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-14 03:00:00,1.7, None, 9.0, None,46
None, None, 421.0, 9.0, None, None, None,2019-11-14 04:00:00,2.4, None, 7.0, None,46
None, None, 422.0, 9.0, None, None, None,2019-11-14 05:00:00,2.3, None, 10.0, None,46
None, None, 423.0, 9.0, None, None, None,2019-11-14 06:00:00,1.6, None, 10.0, None,46
None, None, 423.0, 9.0, None, None, None,2019-11-14 07:00:00,1.5, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 08:00:00,1.9, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 09:00:00,1.7, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 10:00:00,1.9, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 11:00:00,1.7, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 12:00:00,1.6, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 13:00:00,2.0, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 14:00:00,1.7, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 15:00:00,1.7, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 16:00:00,1.9, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 17:00:00,1.7, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 18:00:00,2.0, None, None, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 19:00:00,2.5, None, 9.0, None,46
None, None, 424.0, 9.0, None, None, None,2019-11-14 20:00:00,2.5, None, None, None,46
None, None, 424.0, 8.0, None, None, None,2019-11-14 21:00:00,2.7, None, 4.0, None,46
None, None, 424.0, 8.0, None, None, None,2019-11-14 22:00:00,2.8, None, 9.0, None,46
None, None, 424.0, 7.0, None, None, None,2019-11-14 23:00:00,2.8, None, 14.0, None,46
None, None, 424.0, 7.0, None, None, None,2019-11-15 00:00:00,2.7, None, 8.0, None,46
None, None, 424.0, 7.0, None, None, None,2019-11-15 01:00:00,2.7, None, 5.0, None,46
None, None, 425.0, 7.0, None, None, None,2019-11-15 02:00:00,2.7, None, 5.0, None,46
None, None, 425.0, 7.0, None, None, None,2019-11-15 03:00:00,2.5, None, 2.0, None,46
None, None, 425.0, 7.0, None, None, None,2019-11-15 04:00:00,2.7, None, 3.0, None,46
None, None, 427.0, 7.0, None, None, None,2019-11-15 05:00:00,2.0, None, 3.0, None,46
None, None, 429.0, 7.0, None, None, None,2019-11-15 06:00:00,1.4, None, 8.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 07:00:00,1.0, None, 8.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 08:00:00,1.0, None, 7.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 09:00:00,1.3, None, 8.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 10:00:00,1.9, None, 8.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 11:00:00,1.9, None, 7.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 12:00:00,1.8, None, 7.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 13:00:00,1.6, None, 6.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 14:00:00,1.5, None, 7.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 15:00:00,1.4, None, 4.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 16:00:00,1.2, None, 5.0, None,46
None, None, 431.0, 7.0, None, None, None,2019-11-15 17:00:00,1.4, None, 4.0, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-15 18:00:00,1.6, None, 5.0, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-15 19:00:00,2.1, None, 8.0, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-15 20:00:00,1.9, None, None, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-15 21:00:00,1.7, None, 13.0, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-15 22:00:00,1.7, None, 8.0, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-15 23:00:00,1.8, None, 10.0, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-16 00:00:00,2.1, None, 10.0, None,46
None, None, 431.0, 6.0, None, None, None,2019-11-16 01:00:00,2.2, None, 6.0, None,46
