ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 294.0, 594.0, None, None,2018-03-14 15:00:00, 3.5, None, None,11
None, 294.0, 593.0, None, None,2018-03-14 16:00:00, 5.8, None, None,11
None, 294.0, 593.0, None, None,2018-03-14 17:00:00, 8.2, None, None,11
None, 294.0, 594.0, None, None,2018-03-14 18:00:00, 5.8, None, None,11
None, 294.0, 594.0, None, None,2018-03-14 19:00:00, 6.0, None, None,11
None, 294.0, 594.0, None, None,2018-03-14 20:00:00, 2.6, None, None,11
None, 294.0, 594.0, None, None,2018-03-14 21:00:00, 1.5, None, None,11
None, 294.0, 594.0, None, None,2018-03-14 22:00:00, 0.7, None, None,11
None, 294.0, 594.0, None, None,2018-03-14 23:00:00, 0.4, None, None,11
None, 294.0, 594.0, None, None,2018-03-15 00:00:00, -0.9, None, None,11
None, 294.0, 594.0, None, None,2018-03-15 01:00:00, -0.8, None, None,11
None, 294.0, 594.0, None, None,2018-03-15 02:00:00, -1.0, None, None,11
None, 294.0, 594.0, None, None,2018-03-15 03:00:00, -1.1, None, None,11
None, 294.0, 594.0, None, None,2018-03-15 04:00:00, -1.2, None, None,11
None, 294.0, 593.0, None, None,2018-03-15 05:00:00, -1.3, None, None,11
None, 294.0, 593.0, None, None,2018-03-15 06:00:00, -1.4, None, None,11
None, 294.0, 593.0, None, None,2018-03-15 07:00:00, -1.9, None, None,11
None, 294.0, 593.0, None, None,2018-03-15 08:00:00, -1.9, None, None,11
None, 294.0, 593.0, None, None,2018-03-15 09:00:00, -2.0, None, None,11
None, 295.0, 593.0, None, None,2018-03-15 10:00:00, -1.9, None, None,11
None, 295.0, 593.0, None, None,2018-03-15 11:00:00, -2.2, None, None,11
None, 295.0, 593.0, None, None,2018-03-15 12:00:00, -2.2, None, None,11
None, 295.0, 593.0, None, None,2018-03-15 13:00:00, -2.2, None, None,11
None, 295.0, 593.0, None, None,2018-03-15 14:00:00, -2.4, None, None,11
None, 296.0, 593.0, None, None,2018-03-15 15:00:00, -2.2, None, None,11
None, 297.0, 593.0, None, None,2018-03-15 16:00:00, -2.0, None, None,11
None, 298.0, 594.0, None, None,2018-03-15 17:00:00, -1.8, None, None,11
None, 299.0, 594.0, None, None,2018-03-15 18:00:00, -2.0, None, None,11
None, 300.0, 596.0, None, None,2018-03-15 19:00:00, -1.5, None, None,11
None, 300.0, 596.0, None, None,2018-03-15 20:00:00, -1.7, None, None,11
None, 301.0, 596.0, None, None,2018-03-15 21:00:00, -1.2, None, None,11
None, 301.0, 596.0, None, None,2018-03-15 22:00:00, -1.5, None, None,11
None, 301.0, 597.0, None, None,2018-03-15 23:00:00, -1.6, None, None,11
None, 301.0, 597.0, None, None,2018-03-16 00:00:00, -1.6, None, None,11
None, 301.0, 597.0, None, None,2018-03-16 01:00:00, -2.0, None, None,11
None, 301.0, 597.0, None, None,2018-03-16 02:00:00, -2.2, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 03:00:00, -2.3, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 04:00:00, -2.4, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 05:00:00, -2.6, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 06:00:00, -2.8, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 07:00:00, -3.0, None, None,11
None, 303.0, 597.0, None, None,2018-03-16 08:00:00, -3.1, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 09:00:00, -3.4, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 10:00:00, -3.6, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 11:00:00, -3.6, None, None,11
None, 303.0, 597.0, None, None,2018-03-16 12:00:00, -3.8, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 13:00:00, -4.2, None, None,11
None, 302.0, 597.0, None, None,2018-03-16 14:00:00, -4.5, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 15:00:00, -0.9, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 16:00:00, -1.7, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 17:00:00, -0.3, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 18:00:00, -0.7, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 19:00:00, 0.3, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 20:00:00, 3.7, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 21:00:00, 2.5, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 22:00:00, 2.4, None, None,11
None, 302.0, 598.0, None, None,2018-03-16 23:00:00, 2.2, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 00:00:00, 1.3, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 01:00:00, 0.3, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 02:00:00, -2.2, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 03:00:00, -3.0, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 04:00:00, -3.2, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 05:00:00, -3.5, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 06:00:00, -3.4, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 07:00:00, -3.7, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 08:00:00, -3.5, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 09:00:00, -4.3, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 10:00:00, -4.5, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 11:00:00, -5.0, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 12:00:00, -4.9, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 13:00:00, -5.4, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 14:00:00, -5.9, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 15:00:00, -0.6, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 16:00:00, -0.5, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 17:00:00, 1.4, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 18:00:00, 2.4, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 19:00:00, 3.3, None, None,11
None, 302.0, 598.0, None, None,2018-03-17 20:00:00, 2.0, None, None,11
None, 302.0, 599.0, None, None,2018-03-17 21:00:00, 3.0, None, None,11
None, 302.0, 599.0, None, None,2018-03-17 22:00:00, 2.9, None, None,11
None, 302.0, 599.0, None, None,2018-03-17 23:00:00, 1.5, None, None,11
None, 302.0, 599.0, None, None,2018-03-18 00:00:00, 2.0, None, None,11
None, 302.0, 600.0, None, None,2018-03-18 01:00:00, -1.1, None, None,11
None, 302.0, 602.0, None, None,2018-03-18 02:00:00, -2.6, None, None,11
None, 302.0, 602.0, None, None,2018-03-18 03:00:00, -3.2, None, None,11
None, 302.0, 602.0, None, None,2018-03-18 04:00:00, -3.6, None, None,11
None, 302.0, 601.0, None, None,2018-03-18 05:00:00, -4.0, None, None,11
None, 302.0, 601.0, None, None,2018-03-18 06:00:00, -5.0, None, None,11
None, 302.0, 601.0, None, None,2018-03-18 07:00:00, -5.0, None, None,11
None, 302.0, 601.0, None, None,2018-03-18 08:00:00, -6.3, None, None,11
None, 302.0, 601.0, None, None,2018-03-18 09:00:00, -6.3, None, None,11
None, 302.0, 601.0, None, None,2018-03-18 10:00:00, -7.0, None, None,11
None, 302.0, 601.0, None, None,2018-03-18 11:00:00, -7.1, None, None,11
None, 302.0, 600.0, None, None,2018-03-18 12:00:00, -6.3, None, None,11
None, 302.0, 599.0, None, None,2018-03-18 13:00:00, -7.0, None, None,11
None, 302.0, 599.0, None, None,2018-03-18 14:00:00, -7.1, None, None,11
None, 302.0, 599.0, None, None,2018-03-18 15:00:00, -3.7, None, None,11
None, 302.0, 598.0, 8.0, None,2018-03-18 16:00:00, -3.1, None, None,11
None, 302.0, 597.0, None, None,2018-03-18 17:00:00, -2.6, None, None,11
None, 302.0, 597.0, None, None,2018-03-18 18:00:00, -0.7, None, None,11
None, 302.0, 598.0, None, None,2018-03-18 19:00:00, -0.3, None, None,11
None, 302.0, 598.0, None, None,2018-03-18 20:00:00, -0.5, None, None,11
None, 302.0, 598.0, None, None,2018-03-18 21:00:00, -0.6, None, None,11
None, 302.0, 598.0, None, None,2018-03-18 22:00:00, -0.5, None, None,11
None, 302.0, 599.0, None, None,2018-03-18 23:00:00, -0.5, None, None,11
