wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
111.0, 89.0, 3.9, 0.0, -10.4, 2.9, -8.9, -8.8, 110.0, 0.0, 0.0, 89.0,2021-02-19 00:00:00,8
66.0, 89.0, 2.9, 0.0, -10.3, 3.4, -8.8, -8.9, 111.0, 0.0, 0.0, 88.0,2021-02-19 01:00:00,8
123.0, 88.0, 3.4, 0.0, -10.5, 2.4, -8.9, -8.8, 66.0, 0.0, 0.0, 89.0,2021-02-19 02:00:00,8
102.0, 89.0, 2.4, 0.0, -10.3, 2.0, -8.8, -8.8, 123.0, 0.0, 0.0, 89.0,2021-02-19 03:00:00,8
48.0, 89.0, 2.0, 0.0, -10.3, 2.4, -8.8, -8.9, 102.0, 0.0, 0.0, 89.0,2021-02-19 04:00:00,8
62.0, 89.0, 2.4, 0.0, -10.4, 3.0, -8.9, -9.1, 48.0, 0.0, 0.0, 88.0,2021-02-19 05:00:00,8
14.0, 88.0, 3.0, 0.0, -10.7, 5.2, -9.1, -10.1, 62.0, 0.0, 0.0, 88.0,2021-02-19 06:00:00,8
358.0, 88.0, 5.2, 0.0, -11.7, 5.2, -10.1, -9.9, 14.0, 0.0, 0.0, 87.0,2021-02-19 07:00:00,8
259.0, 87.0, 5.2, 0.0, -11.7, 3.8, -9.9, -6.7, 358.0, 0.0, 0.0, 87.0,2021-02-19 08:00:00,8
137.0, 87.0, 3.8, 0.0, -8.5, 2.6, -6.7, -3.5, 259.0, 0.0, 0.0, 84.0,2021-02-19 09:00:00,8
146.0, 84.0, 2.6, 0.0, -5.8, 4.9, -3.5, -4.5, 137.0, 0.0, 0.0, 85.0,2021-02-19 10:00:00,8
216.0, 85.0, 4.9, 0.0, -6.6, 8.0, -4.5, -2.1, 146.0, 0.0, 0.0, 84.0,2021-02-19 11:00:00,8
228.0, 84.0, 8.0, 1.4, -4.4, 12.3, -2.1, -0.2, 216.0, 0.0, 0.0, 66.0,2021-02-19 12:00:00,8
251.0, 66.0, 12.3, 0.2, -5.8, 12.6, -0.2, -0.7, 228.0, 1.4, 1.4, 61.0,2021-02-19 13:00:00,8
230.0, 61.0, 12.6, 0.0, -7.3, 10.8, -0.7, -0.9, 251.0, 0.2, 1.6, 60.0,2021-02-19 14:00:00,8
221.0, 60.0, 10.8, 0.2, -7.7, 7.6, -0.9, -1.6, 230.0, 0.0, 1.6, 64.0,2021-02-19 15:00:00,8
304.0, 64.0, 7.6, 0.0, -7.5, 7.8, -1.6, -3.1, 221.0, 0.2, 1.8, 64.0,2021-02-19 16:00:00,8
164.0, 64.0, 7.8, 0.0, -8.9, 3.8, -3.1, -6.2, 304.0, 0.0, 1.8, 84.0,2021-02-19 17:00:00,8
139.0, 84.0, 3.8, 0.0, -8.5, 3.2, -6.2, -8.0, 164.0, 0.0, 1.8, 93.0,2021-02-19 18:00:00,8
336.0, 93.0, 3.2, 0.0, -8.9, 3.3, -8.0, -8.1, 139.0, 0.0, 1.8, 90.0,2021-02-19 19:00:00,8
247.0, 90.0, 3.3, 0.0, -9.4, 3.8, -8.1, -7.6, 336.0, 0.0, 1.8, 86.0,2021-02-19 20:00:00,8
318.0, 86.0, 3.8, 0.0, -9.5, 6.9, -7.6, -6.2, 247.0, 0.0, 1.8, 77.0,2021-02-19 21:00:00,8
242.0, 77.0, 6.9, 0.0, -9.6, 4.0, -6.2, -6.0, 318.0, 0.0, 1.8, 78.0,2021-02-19 22:00:00,8
315.0, 78.0, 4.0, 0.0, -9.2, 6.7, -6.0, -6.1, 242.0, 0.0, 1.8, 78.0,2021-02-19 23:00:00,8
280.0, 78.0, 6.7, 0.0, -9.3, 6.4, -6.1, -6.1, 315.0, 0.0, 1.8, 78.0,2021-02-20 00:00:00,8
298.0, 78.0, 6.4, 0.0, -9.3, 6.1, -6.1, -6.3, 280.0, 0.0, 1.8, 77.0,2021-02-20 01:00:00,8
8.0, None, None, 0.0, None, 2.5, None, -9.2, None, None, None, 92.0,2021-02-20 02:00:00,8
128.0, 92.0, 2.5, 0.0, -10.3, 3.2, -9.2, -7.5, 8.0, 0.0, 1.8, 87.0,2021-02-20 03:00:00,8
63.0, 87.0, 3.2, 0.0, -9.3, 4.4, -7.5, -9.5, 128.0, 0.0, 1.8, 92.0,2021-02-20 04:00:00,8
311.0, 92.0, 4.4, 0.0, -10.6, 7.0, -9.5, -6.2, 63.0, 0.0, 1.8, 77.0,2021-02-20 05:00:00,8
310.0, 77.0, 7.0, 0.0, -9.6, 9.6, -6.2, -6.0, 311.0, 0.0, 1.8, 77.0,2021-02-20 06:00:00,8
301.0, 77.0, 9.6, 0.0, -9.4, 6.7, -6.0, -6.4, 310.0, 0.0, 1.8, 85.0,2021-02-20 07:00:00,8
273.0, 85.0, 6.7, 0.0, -8.5, 11.5, -6.4, -3.3, 301.0, 0.0, 1.8, 70.0,2021-02-20 08:00:00,8
271.0, 70.0, 11.5, 0.0, -8.0, 11.7, -3.3, -2.5, 273.0, 0.0, 1.8, 67.0,2021-02-20 09:00:00,8
232.0, 67.0, 11.7, 0.0, -7.8, 16.7, -2.5, -2.5, 271.0, 0.0, 1.8, 66.0,2021-02-20 10:00:00,8
272.0, 66.0, 16.7, 0.0, -8.0, 13.5, -2.5, -0.6, 232.0, 0.0, 1.8, 54.0,2021-02-20 11:00:00,8
276.0, 54.0, 13.5, 1.0, -8.8, 13.2, -0.6, -0.6, 272.0, 0.0, 1.8, 54.0,2021-02-20 12:00:00,8
278.0, 54.0, 13.2, 0.0, -8.8, 9.3, -0.6, -1.0, 276.0, 1.0, 1.4, 56.0,2021-02-20 13:00:00,8
241.0, 56.0, 9.3, 0.0, -8.7, 10.6, -1.0, -1.3, 278.0, 0.0, 1.2, 58.0,2021-02-20 14:00:00,8
