wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
327.0, 56.0, 3.8, 0.0, 5.0, 7.1, 13.6, 14.3, 340.0, 0.0, 0.0, 53.0,2021-08-13 00:00:00,33
58.0, None, None, 0.0, None, 2.0, None, 13.5, None, None, None, 57.0,2021-08-13 01:00:00,33
338.0, 53.0, 7.1, 0.0, 4.9, 2.9, 14.3, 12.9, 327.0, 0.0, 0.0, 60.0,2021-08-13 02:00:00,33
342.0, 57.0, 2.0, 0.0, 5.2, 2.9, 13.5, 11.7, 58.0, 0.0, 0.0, 65.0,2021-08-13 03:00:00,33
17.0, 60.0, 2.9, 0.0, 5.3, 3.3, 12.9, 11.5, 338.0, 0.0, 0.0, 66.0,2021-08-13 04:00:00,33
3.0, 65.0, 2.9, 0.0, 5.3, 1.4, 11.7, 12.0, 342.0, 0.0, 0.0, 69.0,2021-08-13 05:00:00,33
165.0, 66.0, 3.3, 0.0, 5.4, 3.1, 11.5, 18.5, 17.0, 0.0, 0.0, 41.0,2021-08-13 06:00:00,33
200.0, None, None, 0.0, None, 3.1, None, 22.8, None, None, None, 37.0,2021-08-13 07:00:00,33
243.0, None, None, 0.0, None, 5.1, None, 24.2, None, None, None, 33.0,2021-08-13 08:00:00,33
244.0, 37.0, 3.1, 0.0, 7.4, 5.9, 22.8, 25.6, 200.0, 0.0, 0.0, 28.0,2021-08-13 09:00:00,33
222.0, 33.0, 5.1, 0.0, 6.9, 5.6, 24.2, 27.6, 243.0, 0.0, 0.0, 26.0,2021-08-13 10:00:00,33
157.0, 28.0, 5.9, 0.0, 5.8, 9.0, 25.6, 27.5, 244.0, 0.0, 0.0, 26.0,2021-08-13 11:00:00,33
151.0, 26.0, 5.6, 0.0, 6.4, 8.8, 27.6, 28.1, 222.0, 0.0, 0.0, 23.0,2021-08-13 12:00:00,33
139.0, 26.0, 9.0, 0.0, 6.3, 7.9, 27.5, 28.2, 157.0, 0.0, 0.0, 19.0,2021-08-13 13:00:00,33
141.0, 23.0, 8.8, 0.0, 5.0, 4.9, 28.1, 26.5, 151.0, 0.0, 0.0, 24.0,2021-08-13 14:00:00,33
158.0, None, None, 0.0, None, 6.5, None, 28.0, None, None, None, 19.0,2021-08-13 15:00:00,33
180.0, 24.0, 4.9, 0.0, 4.3, 3.9, 26.5, 25.7, 141.0, 0.0, 0.0, 21.0,2021-08-13 16:00:00,33
344.0, None, None, 0.0, None, 2.9, None, 21.7, None, None, None, 32.0,2021-08-13 17:00:00,33
51.0, 21.0, 3.9, 0.0, 1.8, 2.4, 25.7, 18.1, 180.0, 0.0, 0.0, 33.0,2021-08-13 18:00:00,33
38.0, 32.0, 2.9, 0.0, 4.3, 3.2, 21.7, 16.3, 344.0, 0.0, 0.0, 38.0,2021-08-13 19:00:00,33
24.0, None, None, 0.0, None, 3.7, None, 15.5, None, None, None, 44.0,2021-08-13 20:00:00,33
356.0, None, None, 0.0, None, 4.5, None, 15.6, None, None, None, 40.0,2021-08-13 21:00:00,33
303.0, 44.0, 3.7, 0.0, 3.3, 5.1, 15.5, 17.5, 24.0, 0.0, 0.0, 30.0,2021-08-13 22:00:00,33
297.0, 40.0, 4.5, 0.0, 2.1, 4.0, 15.6, 17.6, 356.0, 0.0, 0.0, 33.0,2021-08-13 23:00:00,33
288.0, None, None, 0.0, None, 3.2, None, 17.1, None, None, None, 35.0,2021-08-14 00:00:00,33
295.0, 33.0, 4.0, 0.0, 1.1, 3.9, 17.6, 16.9, 297.0, 0.0, 0.0, 40.0,2021-08-14 01:00:00,33
318.0, None, None, 0.0, None, 3.1, None, 15.1, None, None, None, 48.0,2021-08-14 02:00:00,33
233.0, 40.0, 3.9, 0.0, 3.2, 0.6, 16.9, 14.3, 295.0, 0.0, 0.0, 51.0,2021-08-14 03:00:00,33
68.0, 48.0, 3.1, 0.0, 4.2, 3.3, 15.1, 13.6, 318.0, 0.0, 0.0, 50.0,2021-08-14 04:00:00,33
75.0, None, None, 0.0, None, 3.4, None, 13.3, None, None, None, 57.0,2021-08-14 05:00:00,33
244.0, 50.0, 3.3, 0.0, 3.4, 1.9, 13.6, 16.6, 68.0, 0.0, None, 50.0,2021-08-14 06:00:00,33
283.0, None, None, 0.0, None, 4.3, None, 19.7, None, None, None, 47.0,2021-08-14 07:00:00,33
269.0, None, None, 0.0, None, 5.8, None, 23.8, None, None, None, 32.0,2021-08-14 08:00:00,33
259.0, 47.0, 4.3, 0.0, 8.1, 6.1, 19.7, 26.1, 283.0, 0.0, 0.0, 28.0,2021-08-14 09:00:00,33
218.0, None, None, 0.0, None, 6.9, None, 27.5, None, None, None, 27.0,2021-08-14 10:00:00,33
251.0, None, None, 0.0, None, 7.4, None, 27.2, None, None, None, 22.0,2021-08-14 11:00:00,33
271.0, 27.0, 6.9, 0.0, 6.8, 9.5, 27.5, 29.4, 218.0, 0.0, 0.0, 16.0,2021-08-14 12:00:00,33
252.0, 22.0, 7.4, 0.0, 3.7, 8.9, 27.2, 29.4, 251.0, 0.0, 0.0, 17.0,2021-08-14 13:00:00,33
255.0, None, None, 0.0, None, 7.4, None, 27.9, None, None, None, 18.0,2021-08-14 14:00:00,33
245.0, 17.0, 8.9, 0.0, 1.8, 7.8, 29.4, 27.1, 252.0, 0.0, None, 18.0,2021-08-14 15:00:00,33
230.0, 18.0, 7.4, 0.0, 1.4, 5.0, 27.9, 25.9, 255.0, 0.0, None, 22.0,2021-08-14 16:00:00,33
222.0, None, None, 0.0, None, 5.1, None, 23.6, None, None, None, 25.0,2021-08-14 17:00:00,33
266.0, None, None, 0.0, None, 3.4, None, 20.3, None, None, None, 29.0,2021-08-14 18:00:00,33
307.0, None, None, 0.0, None, 4.6, None, 18.3, None, None, None, 36.0,2021-08-14 19:00:00,33
317.0, None, None, 0.0, None, 3.2, None, 17.0, None, None, None, 42.0,2021-08-14 20:00:00,33
