RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.44, None, None, None, None, None, None, None, None, None,2018-06-04 00:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.997, None, None, None, None, None, None, None, None, None,2018-06-04 01:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.775, None, None, None, None, None, None, None, None, None,2018-06-04 02:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.623, None, None, None, None, None, None, None, None, None,2018-06-04 03:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.322, None, None, None, None, None, None, None, None, None,2018-06-04 04:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.199, None, None, None, None, None, None, None, None, None,2018-06-04 05:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,5.96, None, None, None, None, None, None, None, None, None,2018-06-04 06:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.179, None, None, None, None, None, None, None, None, None,2018-06-04 07:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.488, None, None, None, None, None, None, None, None, None,2018-06-04 08:00:00, None,23
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.27, None, None, None, None, None, None, None, None, None,2018-06-04 09:00:00, None,23
