pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,-9.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 22:00:00, None, None, 95.7, None,1
None, None,-8.83, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 23:00:00, None, None, 95.7, None,1
None, None,-8.73, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 00:00:00, None, None, 95.6, None,1
None, None,-8.57, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 01:00:00, None, None, 95.4, None,1
None, None,-8.43, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 02:00:00, None, None, 95.3, None,1
None, None,-8.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 03:00:00, None, None, 95.3, None,1
None, None,-8.38, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 04:00:00, None, None, 95.3, None,1
None, None,-7.83, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 05:00:00, None, None, 95.3, None,1
None, None,-8.39, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 06:00:00, None, None, 95.5, None,1
None, None,-8.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 07:00:00, None, None, 96.1, None,1
None, None,-7.87, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 08:00:00, None, None, 96.3, None,1
None, None,-7.33, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 09:00:00, None, None, 96.5, None,1
None, None,-7.12, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 10:00:00, None, None, 96.7, None,1
None, None,-6.977, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 11:00:00, None, None, 97.0, None,1
None, None,-5.95, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 12:00:00, None, None, 97.2, None,1
None, None,-5.76, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 13:00:00, None, None, 97.3, None,1
None, None,-5.751, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 14:00:00, None, None, 97.3, None,1
None, None,-5.968, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 15:00:00, None, None, 97.3, None,1
None, None,-5.966, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 16:00:00, None, None, 97.4, None,1
None, None,-6.035, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 17:00:00, None, None, 97.3, None,1
None, None,-5.985, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 18:00:00, None, None, 97.4, None,1
None, None,-6.26, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 19:00:00, None, None, 96.6, None,1
None, None,-6.16, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 20:00:00, None, None, 97.3, None,1
None, None,-6.307, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 21:00:00, None, None, 97.5, None,1
None, None,-5.981, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 22:00:00, None, None, 97.5, None,1
None, None,-5.884, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 23:00:00, None, None, 97.2, None,1
None, None,-6.712, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 00:00:00, None, None, 96.8, None,1
None, None,-6.265, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 01:00:00, None, None, 96.8, None,1
None, None,-5.626, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 02:00:00, None, None, 96.8, None,1
None, None,-5.005, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 03:00:00, None, None, 94.9, None,1
None, None,-5.026, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 04:00:00, None, None, 97.7, None,1
None, None,-5.193, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 05:00:00, None, None, 97.8, None,1
None, None,-5.115, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 06:00:00, None, None, 98.4, None,1
None, None,-5.261, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 07:00:00, None, None, 98.8, None,1
None, None,-4.385, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 08:00:00, None, None, 99.6, None,1
None, None,-4.901, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 09:00:00, None, None, 100.4, None,1
None, None,-4.794, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 10:00:00, None, None, 100.8, None,1
None, None,-4.445, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 11:00:00, None, None, 101.3, None,1
None, None,-3.569, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 12:00:00, None, None, 101.1, None,1
None, None,-2.798, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 13:00:00, None, None, 101.1, None,1
None, None,-3.166, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 14:00:00, None, None, 100.7, None,1
None, None,-3.129, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 15:00:00, None, None, 101.3, None,1
None, None,-3.33, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 16:00:00, None, None, 102.5, None,1
None, None,-3.233, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 17:00:00, None, None, 103.1, None,1
None, None,-2.549, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 18:00:00, None, None, 103.5, None,1
None, None,-2.377, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 19:00:00, None, None, 103.6, None,1
None, None,-2.329, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 20:00:00, None, None, 103.7, None,1
None, None,-1.984, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 21:00:00, None, None, 104.2, None,1
None, None,-1.862, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 22:00:00, None, None, 103.3, None,1
None, None,-1.825, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 23:00:00, None, None, 104.8, None,1
None, None,-1.883, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 00:00:00, None, None, 104.2, None,1
None, None,-1.46, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 01:00:00, None, None, 103.4, None,1
None, None,-1.221, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 02:00:00, None, None, 103.6, None,1
None, None,-1.385, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 03:00:00, None, None, 103.4, None,1
None, None,-1.061, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 04:00:00, None, None, 103.2, None,1
None, None,-0.907, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 05:00:00, None, None, 105.7, None,1
None, None,-0.764, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 06:00:00, None, None, 102.0, None,1
None, None,-0.507, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 07:00:00, None, None, 104.1, None,1
None, None,-0.392, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 08:00:00, None, None, 103.6, None,1
None, None,0.631, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 09:00:00, None, None, 104.1, None,1
None, None,0.847, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 10:00:00, None, None, 104.4, None,1
None, None,0.205, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 11:00:00, None, None, 104.6, None,1
None, None,0.378, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 12:00:00, None, None, 104.1, None,1
None, None,0.244, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 13:00:00, None, None, 104.0, None,1
None, None,0.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 14:00:00, None, None, 104.0, None,1
None, None,0.212, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 15:00:00, None, None, 103.8, None,1
None, None,0.129, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 16:00:00, None, None, 103.9, None,1
None, None,0.004, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 17:00:00, None, None, 103.4, None,1
None, None,-0.053, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 18:00:00, None, None, 102.9, None,1
None, None,0.003, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 19:00:00, None, None, 105.2, None,1
None, None,0.091, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 20:00:00, None, None, 105.4, None,1
None, None,0.263, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 21:00:00, None, None, 105.3, None,1
None, None,0.33, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 22:00:00, None, None, 104.9, None,1
None, None,0.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-05 23:00:00, None, None, 104.9, None,1
None, None,-0.119, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 00:00:00, None, None, 104.7, None,1
None, None,-0.445, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 02:00:00, None, None, 104.4, None,1
None, None,-0.566, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 03:00:00, None, None, 104.2, None,1
None, None,-0.747, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 04:00:00, None, None, 104.1, None,1
None, None,-0.957, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 05:00:00, None, None, 103.6, None,1
None, None,-0.993, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 06:00:00, None, None, 104.2, None,1
None, None,-1.302, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 07:00:00, None, None, 104.7, None,1
None, None,-1.53, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 08:00:00, None, None, 103.9, None,1
None, None,-1.655, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 09:00:00, None, None, 105.5, None,1
None, None,-1.541, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 10:00:00, None, None, 106.2, None,1
None, None,-1.176, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 11:00:00, None, None, 106.3, None,1
None, None,-0.785, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 12:00:00, None, None, 106.4, None,1
None, None,-0.587, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 13:00:00, None, None, 107.9, None,1
None, None,-0.807, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 14:00:00, None, None, 110.7, None,1
None, None,-1.085, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 15:00:00, None, None, 112.7, None,1
None, None,-1.19, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 16:00:00, None, None, 113.0, None,1
None, None,-1.495, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 17:00:00, None, None, 113.6, None,1
None, None,-1.656, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 18:00:00, None, None, 113.2, None,1
None, None,-1.818, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 19:00:00, None, None, 111.5, None,1
None, None,-1.808, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 20:00:00, None, None, 112.3, None,1
None, None,-1.923, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 21:00:00, None, None, 113.4, None,1
None, None,-1.933, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 22:00:00, None, None, 113.3, None,1
None, None,-1.846, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-06 23:00:00, None, None, 114.4, None,1
None, None,-1.856, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 00:00:00, None, None, 114.2, None,1
None, None,-1.78, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 01:00:00, None, None, 114.2, None,1
None, None,-1.847, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 02:00:00, None, None, 115.8, None,1
None, None,-1.808, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 03:00:00, None, None, 115.3, None,1
None, None,-1.722, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 04:00:00, None, None, 115.7, None,1
None, None,-1.747, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 05:00:00, None, None, 114.7, None,1
None, None,-1.741, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 06:00:00, None, None, 115.5, None,1
None, None,-1.511, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 07:00:00, None, None, 115.6, None,1
None, None,-1.166, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 08:00:00, None, None, 115.4, None,1
None, None,-0.934, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 09:00:00, None, None, 115.2, None,1
None, None,-1.138, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 10:00:00, None, None, 115.0, None,1
None, None,-0.295, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 11:00:00, None, None, 114.7, None,1
None, None,-0.334, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 12:00:00, None, None, 113.3, None,1
None, None,-0.07, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 13:00:00, None, None, 113.4, None,1
None, None,0.414, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 14:00:00, None, None, 113.3, None,1
None, None,-0.208, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 15:00:00, None, None, 113.1, None,1
None, None,-0.503, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 16:00:00, None, None, 112.9, None,1
None, None,-0.521, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 17:00:00, None, None, 112.8, None,1
None, None,-0.739, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 18:00:00, None, None, 112.6, None,1
None, None,-0.576, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 19:00:00, None, None, 112.4, None,1
None, None,-0.707, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 20:00:00, None, None, 112.4, None,1
None, None,-0.47, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 21:00:00, None, None, 112.5, None,1
None, None,-0.634, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-07 22:00:00, None, None, 112.7, None,1
