pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, None, 16.4, 1.0, None, None, 1105.0, 8.0, None,2017-07-23 00:00:00, None,30
None, None, None, None, None, 15.6, 1.0, None, None, 1105.0, 8.0, None,2017-07-23 01:00:00, None,30
None, None, None, None, None, 14.9, 1.0, None, None, 1105.0, 8.0, None,2017-07-23 02:00:00, None,30
None, None, None, None, None, 13.8, 1.0, None, None, 1105.0, 8.0, None,2017-07-23 03:00:00, None,30
None, None, None, None, None, 13.1, 2.0, None, None, 1105.0, 8.0, None,2017-07-23 04:00:00, None,30
None, None, None, None, None, 12.7, 2.0, None, None, 1105.0, 8.0, None,2017-07-23 05:00:00, None,30
None, None, None, None, None, 12.3, 2.0, None, None, 1105.0, 8.0, None,2017-07-23 06:00:00, None,30
None, None, None, None, None, 12.1, 2.0, None, None, 1105.0, 8.0, None,2017-07-23 07:00:00, None,30
None, None, None, None, None, 11.8, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 08:00:00, None,30
None, None, None, None, None, 11.7, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 09:00:00, None,30
None, None, None, None, None, 11.4, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 10:00:00, None,30
None, None, None, None, None, 11.4, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 11:00:00, None,30
None, None, None, None, None, 11.1, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 12:00:00, None,30
None, None, None, None, None, 11.0, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 13:00:00, None,30
None, None, None, None, None, 11.3, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 14:00:00, None,30
None, None, None, None, None, 12.2, 3.0, None, None, 1105.0, 7.0, None,2017-07-23 15:00:00, None,30
None, 0.0, None, None, None, 12.8, 1.0, None, None, 1105.0, 7.0, None,2017-07-23 16:00:00, None,30
None, None, None, None, None, 13.2, 2.0, None, None, 1105.0, 7.0, None,2017-07-23 17:00:00, None,30
None, None, None, None, None, 15.2, 0.0, None, None, 1104.0, 7.0, None,2017-07-23 18:00:00, None,30
None, None, None, None, None, 15.5, 2.0, None, None, 1104.0, 8.0, None,2017-07-23 19:00:00, None,30
None, None, None, None, None, 16.2, 2.0, None, None, 1104.0, 8.0, None,2017-07-23 20:00:00, None,30
None, None, None, None, None, 16.6, 1.0, None, None, 1103.0, 9.0, None,2017-07-23 21:00:00, None,30
None, None, None, None, None, 17.3, 1.0, None, None, 1104.0, 9.0, None,2017-07-23 22:00:00, None,30
None, None, None, None, None, 16.7, 1.0, None, None, 1103.0, 10.0, None,2017-07-23 23:00:00, None,30
None, None, None, None, None, 15.2, 1.0, None, None, 1103.0, 10.0, None,2017-07-24 00:00:00, None,30
None, None, None, None, None, 15.0, 3.0, None, None, 1103.0, 10.0, None,2017-07-24 01:00:00, None,30
None, None, None, None, None, 17.3, 0.0, None, None, 1103.0, 10.0, None,2017-07-24 02:00:00, None,30
None, None, None, None, None, 15.4, 2.0, None, None, 1103.0, 10.0, None,2017-07-24 03:00:00, None,30
None, None, None, None, None, 9.4, 2.0, None, None, 1103.0, 10.0, None,2017-07-24 04:00:00, None,30
None, None, None, None, None, 7.8, 2.0, None, None, 1103.0, 9.0, None,2017-07-24 05:00:00, None,30
None, None, None, None, None, 7.5, 2.0, None, None, 1103.0, 8.0, None,2017-07-24 06:00:00, None,30
None, None, None, None, None, 6.5, 2.0, None, None, 1102.0, 8.0, None,2017-07-24 07:00:00, None,30
None, None, None, None, None, 6.8, 2.0, None, None, 1102.0, 7.0, None,2017-07-24 08:00:00, None,30
