RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
89.7, None, None, None, 7.65, None, None, None, -10.0, None, None, None, None, None, None, 44.51, None,-9.2, None, None, None, None, None, None, None, None, None,2016-01-01 00:00:00, None,1
86.1, None, None, None, 7.64, None, None, None, -10.0, None, None, None, None, None, None, 44.63, None,-8.3, None, None, None, None, None, None, None, None, None,2016-01-01 02:00:00, None,1
81.4, None, None, None, 7.88, None, None, None, -9.0, None, None, None, None, None, None, 44.67, None,-7.04, None, None, None, None, None, None, None, None, None,2016-01-01 06:00:00, None,1
78.2, None, None, None, 7.81, None, None, None, -9.0, None, None, None, None, None, None, 45.02, None,-6.188, None, None, None, None, None, None, None, None, None,2016-01-01 07:00:00, None,1
75.6, None, None, None, 8.2, None, None, None, -10.0, None, None, None, None, None, None, 44.75, None,-6.33, None, None, None, None, None, None, None, None, None,2016-01-01 08:00:00, None,1
74.1, None, None, None, 6.229, None, None, None, -9.0, None, None, None, None, None, None, 44.99, None,-5.952, None, None, None, None, None, None, None, None, None,2016-01-01 09:00:00, None,1
71.8, None, None, None, 8.1, None, None, None, -10.0, None, None, None, None, None, None, 44.88, None,-5.716, None, None, None, None, None, None, None, None, None,2016-01-01 10:00:00, None,1
60.59, None, None, None, 7.4, None, None, None, -10.0, None, None, None, None, None, None, 45.0, None,-3.92, None, None, None, None, None, None, None, None, None,2016-01-01 12:00:00, None,1
54.96, None, None, None, 7.42, None, None, None, -10.0, None, None, None, None, None, None, 44.95, None,-3.608, None, None, None, None, None, None, None, None, None,2016-01-01 13:00:00, None,1
53.43, None, None, None, 6.338, None, None, None, -11.0, None, None, None, None, None, None, 44.94, None,-3.659, None, None, None, None, None, None, None, None, None,2016-01-01 14:00:00, None,1
51.59, None, None, None, 7.78, None, None, None, -12.0, None, None, None, None, None, None, 44.97, None,-4.031, None, None, None, None, None, None, None, None, None,2016-01-01 15:00:00, None,1
52.46, None, None, None, 7.09, None, None, None, -11.0, None, None, None, None, None, None, 44.97, None,-4.063, None, None, None, None, None, None, None, None, None,2016-01-01 16:00:00, None,1
46.71, None, None, None, 8.48, None, None, None, -12.0, None, None, None, None, None, None, 45.01, None,-3.731, None, None, None, None, None, None, None, None, None,2016-01-01 17:00:00, None,1
45.19, None, None, None, 8.99, None, None, None, -13.0, None, None, None, None, None, None, 45.08, None,-3.447, None, None, None, None, None, None, None, None, None,2016-01-01 18:00:00, None,1
45.79, None, None, None, 7.82, None, None, None, -12.0, None, None, None, None, None, None, 44.94, None,-3.305, None, None, None, None, None, None, None, None, None,2016-01-01 19:00:00, None,1
47.18, None, None, None, 7.37, None, None, None, -12.0, None, None, None, None, None, None, 44.77, None,-3.494, None, None, None, None, None, None, None, None, None,2016-01-01 20:00:00, None,1
43.41, None, None, None, 7.78, None, None, None, -13.0, None, None, None, None, None, None, 44.78, None,-3.589, None, None, None, None, None, None, None, None, None,2016-01-01 21:00:00, None,1
43.61, None, None, None, 8.9, None, None, None, -13.0, None, None, None, None, None, None, 44.74, None,-3.92, None, None, None, None, None, None, None, None, None,2016-01-01 22:00:00, None,1
44.47, None, None, None, 9.71, None, None, None, -14.0, None, None, None, None, None, None, 44.72, None,-4.44, None, None, None, None, None, None, None, None, None,2016-01-01 23:00:00, None,1
40.5, None, None, None, 10.8, None, None, None, -14.0, None, None, None, None, None, None, 44.67, None,-3.967, None, None, None, None, None, None, None, None, None,2016-01-02 01:00:00, None,1
39.78, None, None, None, 9.36, None, None, None, -14.0, None, None, None, None, None, None, 44.67, None,-3.589, None, None, None, None, None, None, None, None, None,2016-01-02 02:00:00, None,1
40.37, None, None, None, 9.95, None, None, None, -14.0, None, None, None, None, None, None, 44.69, None,-3.494, None, None, None, None, None, None, None, None, None,2016-01-02 03:00:00, None,1
37.2, None, None, None, 10.5, None, None, None, -15.0, None, None, None, None, None, None, 44.78, None,-3.589, None, None, None, None, None, None, None, None, None,2016-01-02 04:00:00, None,1
42.62, None, None, None, 8.61, None, None, None, -14.0, None, None, None, None, None, None, 44.62, None,-3.92, None, None, None, None, None, None, None, None, None,2016-01-02 05:00:00, None,1
42.62, None, None, None, 9.36, None, None, None, -14.0, None, None, None, None, None, None, 44.65, None,-4.392, None, None, None, None, None, None, None, None, None,2016-01-02 07:00:00, None,1
44.47, None, None, None, 8.54, None, None, None, -14.0, None, None, None, None, None, None, 44.56, None,-4.629, None, None, None, None, None, None, None, None, None,2016-01-02 09:00:00, None,1
