RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
95.3, None, None, None,0.0,267.8, None, None,-4.0,1017.0, None, None, None, None, None, 3.449, None, None,-3.619, None, None, None, None,16.39, None, None, None, None, None, None,2016-01-01 00:00:00, None,1
94.7, None, None, None,0.0,255.9, None, None,-4.0,1017.0, None, None, None, None, None, 3.373, None, None,-3.388, None, None, None, None,16.78, None, None, None, None, None, None,2016-01-01 01:00:00, None,1
95.2, None, None, None,0.345,249.3, None, None,-4.0,1016.0, None, None, None, None, None, 3.394, None, None,-3.32, None, None, None, None,23.93, None, None, None, None, None, None,2016-01-01 02:00:00, None,1
95.4, None, None, None,0.643,249.3, None, None,-5.0,1016.0, None, None, None, None, None, 3.249, None, None,-4.348, None, None, None, None,19.85, None, None, None, None, None, None,2016-01-01 03:00:00, None,1
95.5, None, None, None,2.698,251.6, None, None,-5.0,1016.0, None, None, None, None, None, 3.137, None, None,-4.83, None, None, None, None,7.669, None, None, None, None, None, None,2016-01-01 04:00:00, None,1
95.4, None, None, None,2.313,257.6, None, None,-6.0,1016.0, None, None, None, None, None, 2.996, None, None,-5.52, None, None, None, None,19.17, None, None, None, None, None, None,2016-01-01 05:00:00, None,1
96.0, None, None, None,1.049,268.2, None, None,-6.0,1015.0, None, None, None, None, None, 3.02, None, None,-5.606, None, None, None, None,11.76, None, None, None, None, None, None,2016-01-01 06:00:00, None,1
95.4, None, None, None,4.918,254.5, None, None,-7.0,1015.0, None, None, None, None, None, 3.226, None, None,-6.386, None, None, None, None,8.87, None, None, None, None, None, None,2016-01-01 07:00:00, None,1
96.1, None, None, None,2.921,275.2, None, None,-5.0,1015.0, None, None, None, None, None, 3.135, None, None,-4.952, None, None, None, None,13.8, None, None, None, None, None, None,2016-01-01 08:00:00, None,1
95.3, None, None, None,0.125,260.4, None, None,-6.0,1015.0, None, None, None, None, None, 3.094, None, None,-5.286, None, None, None, None,20.66, None, None, None, None, None, None,2016-01-01 09:00:00, None,1
94.7, None, None, None,0.0,262.0, None, None,-3.0,1015.0, None, None, None, None, None, 3.352, None, None,-2.218, None, None, None, None,28.38, None, None, None, None, None, None,2016-01-01 10:00:00, None,1
86.0, None, None, None,0.0,344.0, None, None,-1.0,1015.0, None, None, None, None, None, 3.282, None, None,1.063, None, None, None, None,25.33, None, None, None, None, None, None,2016-01-01 11:00:00, None,1
82.8, None, None, None,0.79,340.2, None, None,-1.0,1014.0, None, None, None, None, None, 3.477, None, None,1.64, None, None, None, None,18.11, None, None, None, None, None, None,2016-01-01 12:00:00, None,1
75.37, None, None, None,3.019,70.24, None, None,-1.0,1013.0, None, None, None, None, None, 3.435, None, None,2.531, None, None, None, None,55.61, None, None, None, None, None, None,2016-01-01 13:00:00, None,1
77.21, None, None, None,2.737,73.49, None, None,-1.0,1013.0, None, None, None, None, None, 3.407, None, None,2.617, None, None, None, None,49.85, None, None, None, None, None, None,2016-01-01 14:00:00, None,1
81.9, None, None, None,3.839,13.6, None, None,-1.0,1012.0, None, None, None, None, None, 3.514, None, None,2.11, None, None, None, None,33.99, None, None, None, None, None, None,2016-01-01 15:00:00, None,1
83.9, None, None, None,0.307,327.7, None, None,-1.0,1012.0, None, None, None, None, None, 3.492, None, None,1.484, None, None, None, None,34.43, None, None, None, None, None, None,2016-01-01 16:00:00, None,1
87.7, None, None, None,0.114,242.4, None, None,-1.0,1011.0, None, None, None, None, None, 3.419, None, None,0.503, None, None, None, None,54.32, None, None, None, None, None, None,2016-01-01 17:00:00, None,1
90.3, None, None, None,0.76,225.6, None, None,-1.0,1011.0, None, None, None, None, None, 3.482, None, None,-0.274, None, None, None, None,18.49, None, None, None, None, None, None,2016-01-01 18:00:00, None,1
94.0, None, None, None,1.006,247.7, None, None,-2.0,1011.0, None, None, None, None, None, 3.313, None, None,-1.147, None, None, None, None,28.74, None, None, None, None, None, None,2016-01-01 19:00:00, None,1
95.0, None, None, None,1.947,246.4, None, None,-3.0,1010.0, None, None, None, None, None, 3.343, None, None,-2.058, None, None, None, None,15.35, None, None, None, None, None, None,2016-01-01 20:00:00, None,1
94.9, None, None, None,2.888,242.5, None, None,-3.0,1010.0, None, None, None, None, None, 3.344, None, None,-2.382, None, None, None, None,15.95, None, None, None, None, None, None,2016-01-01 21:00:00, None,1
95.0, None, None, None,1.186,251.4, None, None,-2.0,1009.0, None, None, None, None, None, 3.425, None, None,-1.574, None, None, None, None,24.65, None, None, None, None, None, None,2016-01-01 22:00:00, None,1
94.5, None, None, None,0.588,233.0, None, None,-2.0,1009.0, None, None, None, None, None, 3.501, None, None,-1.575, None, None, None, None,19.39, None, None, None, None, None, None,2016-01-01 23:00:00, None,1
93.9, None, None, None,2.086,261.5, None, None,-4.0,1009.0, None, None, None, None, None, 3.165, None, None,-2.988, None, None, None, None,45.84, None, None, None, None, None, None,2016-01-02 00:00:00, None,1
95.1, None, None, None,3.781,230.2, None, None,-4.0,1009.0, None, None, None, None, None, 3.141, None, None,-3.55, None, None, None, None,17.61, None, None, None, None, None, None,2016-01-02 01:00:00, None,1
95.2, None, None, None,1.478,239.5, None, None,-3.0,1008.0, None, None, None, None, None, 3.411, None, None,-2.538, None, None, None, None,21.38, None, None, None, None, None, None,2016-01-02 02:00:00, None,1
95.1, None, None, None,2.314,260.8, None, None,-3.0,1008.0, None, None, None, None, None, 3.503, None, None,-2.727, None, None, None, None,20.79, None, None, None, None, None, None,2016-01-02 03:00:00, None,1
93.9, None, None, None,3.346,251.0, None, None,-3.0,1008.0, None, None, None, None, None, 3.577, None, None,-2.372, None, None, None, None,15.9, None, None, None, None, None, None,2016-01-02 04:00:00, None,1
91.2, None, None, None,3.258,234.1, None, None,-2.0,1008.0, None, None, None, None, None, 3.565, None, None,-1.332, None, None, None, None,15.46, None, None, None, None, None, None,2016-01-02 05:00:00, None,1
88.6, None, None, None,2.376,250.3, None, None,-2.0,1008.0, None, None, None, None, None, 3.546, None, None,-0.97, None, None, None, None,19.09, None, None, None, None, None, None,2016-01-02 06:00:00, None,1
