ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 171.0, 337.0, None, None,2016-05-08 04:00:00, 7.6, None, None,19
None, 171.0, 335.0, None, None,2016-05-08 05:00:00, 6.6, None, None,19
None, 171.0, 334.0, None, None,2016-05-08 06:00:00, 10.7, None, None,19
None, 171.0, 333.0, None, None,2016-05-08 07:00:00, 10.3, None, None,19
None, 171.0, 332.0, None, None,2016-05-08 08:00:00, 8.3, None, None,19
None, 171.0, 331.0, None, None,2016-05-08 09:00:00, 7.6, None, None,19
None, 171.0, 331.0, None, None,2016-05-08 10:00:00, 6.7, None, None,19
None, 171.0, 329.0, None, None,2016-05-08 11:00:00, 5.2, None, None,19
None, 171.0, 328.0, None, None,2016-05-08 12:00:00, 5.5, None, None,19
None, 171.0, 326.0, None, None,2016-05-08 13:00:00, 7.5, None, None,19
None, 171.0, 326.0, None, None,2016-05-08 14:00:00, 7.5, None, None,19
None, 171.0, 325.0, None, None,2016-05-08 15:00:00, 7.2, None, None,19
None, 172.0, 324.0, 401.0, None,2016-05-08 16:00:00, 8.1, None, None,19
None, 172.0, 323.0, None, None,2016-05-08 17:00:00, 7.8, None, None,19
None, 172.0, 322.0, None, None,2016-05-08 18:00:00, 7.7, None, None,19
None, 172.0, 321.0, None, None,2016-05-08 19:00:00, 7.7, None, None,19
None, 172.0, 318.0, None, None,2016-05-08 20:00:00, 6.9, None, None,19
None, 172.0, 316.0, None, None,2016-05-08 21:00:00, 7.7, None, None,19
None, 172.0, 314.0, None, None,2016-05-08 22:00:00, 6.1, None, None,19
None, 172.0, 312.0, None, None,2016-05-08 23:00:00, 5.1, None, None,19
None, 171.0, 308.0, None, None,2016-05-09 00:00:00, 4.6, None, None,19
None, 171.0, 307.0, None, None,2016-05-09 01:00:00, 3.7, None, None,19
None, 171.0, 305.0, None, None,2016-05-09 02:00:00, 3.0, None, None,19
None, 171.0, 305.0, None, None,2016-05-09 03:00:00, 2.0, None, None,19
None, 171.0, 305.0, None, None,2016-05-09 04:00:00, 1.3, None, None,19
None, 171.0, 307.0, None, None,2016-05-09 05:00:00, 0.7, None, None,19
None, 171.0, 309.0, None, None,2016-05-09 06:00:00, 0.1, None, None,19
None, 171.0, 312.0, None, None,2016-05-09 07:00:00, -0.4, None, None,19
None, 171.0, 314.0, None, None,2016-05-09 08:00:00, -0.5, None, None,19
None, 171.0, 316.0, None, None,2016-05-09 09:00:00, -0.6, None, None,19
None, 171.0, 316.0, None, None,2016-05-09 10:00:00, -0.7, None, None,19
None, 171.0, 316.0, None, None,2016-05-09 11:00:00, -0.9, None, None,19
None, 171.0, 316.0, None, None,2016-05-09 12:00:00, 0.3, None, None,19
None, 171.0, 316.0, None, None,2016-05-09 13:00:00, 1.3, None, None,19
None, 171.0, 316.0, None, None,2016-05-09 14:00:00, 2.5, None, None,19
None, 171.0, 316.0, None, None,2016-05-09 15:00:00, 4.8, None, None,19
None, 171.0, 316.0, 379.0, None,2016-05-09 16:00:00, 7.4, None, None,19
None, 171.0, 312.0, None, None,2016-05-09 17:00:00, 7.9, None, None,19
None, 172.0, 308.0, None, None,2016-05-09 18:00:00, 7.9, None, None,19
None, 172.0, 307.0, None, None,2016-05-09 19:00:00, 7.5, None, None,19
None, 172.0, 305.0, None, None,2016-05-09 20:00:00, 8.5, None, None,19
None, 172.0, 303.0, None, None,2016-05-09 21:00:00, 5.5, None, None,19
None, 172.0, 301.0, None, None,2016-05-09 22:00:00, 7.8, None, None,19
None, 172.0, 300.0, None, None,2016-05-09 23:00:00, 8.3, None, None,19
None, 172.0, 296.0, None, None,2016-05-10 00:00:00, 6.4, None, None,19
None, 171.0, 293.0, None, None,2016-05-10 01:00:00, 3.9, None, None,19
None, 171.0, 291.0, None, None,2016-05-10 02:00:00, 1.3, None, None,19
None, 171.0, 291.0, None, None,2016-05-10 03:00:00, -1.1, None, None,19
None, 171.0, 291.0, None, None,2016-05-10 04:00:00, -0.4, None, None,19
None, 171.0, 292.0, None, None,2016-05-10 05:00:00, -0.3, None, None,19
None, 171.0, 295.0, None, None,2016-05-10 06:00:00, -0.5, None, None,19
None, 171.0, 298.0, None, None,2016-05-10 07:00:00, -0.7, None, None,19
None, 171.0, 301.0, None, None,2016-05-10 08:00:00, -0.9, None, None,19
None, 171.0, 302.0, None, None,2016-05-10 09:00:00, -1.5, None, None,19
None, 171.0, 305.0, None, None,2016-05-10 10:00:00, -2.0, None, None,19
None, 170.0, 305.0, None, None,2016-05-10 11:00:00, -1.7, None, None,19
None, 170.0, 306.0, None, None,2016-05-10 12:00:00, 1.2, None, None,19
None, 171.0, 306.0, None, None,2016-05-10 13:00:00, 3.8, None, None,19
None, 171.0, 306.0, None, None,2016-05-10 14:00:00, 5.6, None, None,19
None, 171.0, 306.0, None, None,2016-05-10 15:00:00, 7.3, None, None,19
None, 171.0, 306.0, 356.0, None,2016-05-10 16:00:00, 7.8, None, None,19
None, 171.0, 305.0, None, None,2016-05-10 17:00:00, 8.8, None, None,19
None, 172.0, 303.0, None, None,2016-05-10 18:00:00, 10.2, None, None,19
None, 172.0, 300.0, None, None,2016-05-10 19:00:00, 12.1, None, None,19
None, 173.0, 298.0, None, None,2016-05-10 20:00:00, 10.5, None, None,19
None, 173.0, 294.0, None, None,2016-05-10 21:00:00, 12.1, None, None,19
None, 172.0, 291.0, None, None,2016-05-10 22:00:00, 10.6, None, None,19
None, 172.0, 288.0, None, None,2016-05-10 23:00:00, 9.9, None, None,19
None, 172.0, 282.0, None, None,2016-05-11 00:00:00, 8.4, None, None,19
None, 171.0, 279.0, None, None,2016-05-11 01:00:00, 4.6, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 02:00:00, 1.9, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 03:00:00, 0.8, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 04:00:00, 1.2, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 05:00:00, 1.5, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 06:00:00, 1.5, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 07:00:00, 1.7, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 08:00:00, 1.3, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 09:00:00, 1.4, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 10:00:00, 1.3, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 11:00:00, 1.8, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 12:00:00, 3.9, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 13:00:00, 5.9, None, None,19
None, 171.0, 277.0, None, None,2016-05-11 14:00:00, 7.1, None, None,19
None, 172.0, 277.0, None, None,2016-05-11 15:00:00, 7.7, None, None,19
None, 172.0, 275.0, 330.0, None,2016-05-11 16:00:00, 7.9, None, None,19
None, 172.0, 273.0, None, None,2016-05-11 17:00:00, 8.2, None, None,19
None, 172.0, 271.0, None, None,2016-05-11 18:00:00, 6.6, None, None,19
None, 173.0, 271.0, None, None,2016-05-11 19:00:00, 5.3, None, None,19
None, 173.0, 269.0, None, None,2016-05-11 20:00:00, 5.2, None, None,19
None, 175.0, 267.0, None, None,2016-05-11 21:00:00, 4.0, None, None,19
None, 177.0, 267.0, None, None,2016-05-11 22:00:00, 3.6, None, None,19
None, 181.0, 267.0, None, None,2016-05-11 23:00:00, 2.9, None, None,19
None, 186.0, 267.0, None, None,2016-05-12 00:00:00, 2.1, None, None,19
None, 193.0, 267.0, None, None,2016-05-12 01:00:00, 0.9, None, None,19
None, 196.0, 268.0, None, None,2016-05-12 02:00:00, 0.3, None, None,19
None, 197.0, 268.0, None, None,2016-05-12 03:00:00, 0.8, None, None,19
None, 197.0, 267.0, None, None,2016-05-12 04:00:00, 0.9, None, None,19
None, 197.0, 266.0, None, None,2016-05-12 05:00:00, 0.7, None, None,19
None, 197.0, 265.0, None, None,2016-05-12 06:00:00, 0.9, None, None,19
None, 197.0, 264.0, None, None,2016-05-12 07:00:00, 0.7, None, None,19
None, 197.0, 264.0, None, None,2016-05-12 08:00:00, 0.0, None, None,19
None, 197.0, 264.0, None, None,2016-05-12 09:00:00, 0.0, None, None,19
None, 197.0, 264.0, None, None,2016-05-12 10:00:00, -0.9, None, None,19
None, 196.0, 266.0, None, None,2016-05-12 11:00:00, -0.5, None, None,19
None, 196.0, 270.0, None, None,2016-05-12 12:00:00, 0.5, None, None,19
None, 197.0, 270.0, None, None,2016-05-12 13:00:00, 3.6, None, None,19
None, 197.0, 270.0, None, None,2016-05-12 14:00:00, 5.3, None, None,19
None, 197.0, 269.0, None, None,2016-05-12 15:00:00, 5.5, None, None,19
None, 197.0, 266.0, 311.0, None,2016-05-12 16:00:00, 6.4, None, None,19
None, 197.0, 262.0, None, None,2016-05-12 17:00:00, 7.4, None, None,19
None, 198.0, 259.0, None, None,2016-05-12 18:00:00, 8.9, None, None,19
None, 198.0, 257.0, None, None,2016-05-12 19:00:00, 10.0, None, None,19
None, 198.0, 254.0, None, None,2016-05-12 20:00:00, 11.3, None, None,19
None, 198.0, 251.0, None, None,2016-05-12 21:00:00, 11.1, None, None,19
None, 198.0, 249.0, None, None,2016-05-12 22:00:00, 9.8, None, None,19
None, 198.0, 246.0, None, None,2016-05-12 23:00:00, 9.1, None, None,19
