wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
187.0, 100.0, 7.1, 0.2, 2.4, 7.6, 2.4, 2.6, 188.0, 0.0, 3.0, 100.0,2020-11-04 00:00:00,45
200.0, 100.0, 7.6, 0.0, 2.6, 5.7, 2.6, 2.7, 187.0, 0.2, 3.2, 100.0,2020-11-04 01:00:00,45
256.0, 100.0, 5.7, 0.0, 2.7, 6.3, 2.7, 2.9, 200.0, 0.0, 3.2, 100.0,2020-11-04 02:00:00,45
284.0, 100.0, 6.3, 0.0, 2.9, 4.8, 2.9, 2.4, 256.0, 0.0, 3.2, 100.0,2020-11-04 03:00:00,45
244.0, 100.0, 4.8, 0.0, 2.4, 2.6, 2.4, 2.9, 284.0, 0.0, 3.2, 100.0,2020-11-04 04:00:00,45
123.0, 100.0, 2.6, 0.0, 2.9, 2.9, 2.9, 2.7, 244.0, 0.0, 3.2, 100.0,2020-11-04 05:00:00,45
62.0, 100.0, 2.9, 0.0, 2.7, 3.5, 2.7, 1.9, 123.0, 0.0, 3.2, 100.0,2020-11-04 06:00:00,45
33.0, 100.0, 3.5, 0.0, 1.9, 4.8, 1.9, 1.3, 62.0, 0.0, 3.2, 100.0,2020-11-04 07:00:00,45
57.0, 100.0, 4.8, 0.6, 1.3, 4.7, 1.3, 1.6, 33.0, 0.0, 3.2, 100.0,2020-11-04 08:00:00,45
112.0, 100.0, 4.7, 0.0, 1.6, 6.1, 1.6, 2.3, 57.0, 0.6, 3.8, 100.0,2020-11-04 09:00:00,45
159.0, 100.0, 6.1, 0.2, 2.3, 4.1, 2.3, 3.1, 112.0, 0.0, 3.4, 100.0,2020-11-04 10:00:00,45
162.0, 100.0, 4.1, 0.0, 3.1, 7.2, 3.1, 4.2, 159.0, 0.2, 3.0, 100.0,2020-11-04 11:00:00,45
166.0, 100.0, 7.2, 0.0, 4.2, 5.1, 4.2, 4.5, 162.0, 0.0, 2.4, 99.0,2020-11-04 12:00:00,45
166.0, 99.0, 5.1, 0.0, 4.4, 3.8, 4.5, 4.6, 166.0, 0.0, 1.6, 98.0,2020-11-04 13:00:00,45
226.0, 98.0, 3.8, 0.2, 4.3, 4.6, 4.6, 5.3, 166.0, 0.0, 1.4, 95.0,2020-11-04 14:00:00,45
191.0, 95.0, 4.6, 0.0, 4.6, 5.0, 5.3, 4.8, 226.0, 0.2, 1.4, 96.0,2020-11-04 15:00:00,45
31.0, 96.0, 5.0, 0.0, 4.2, 3.5, 4.8, 2.6, 191.0, 0.0, 1.4, 99.0,2020-11-04 16:00:00,45
127.0, 99.0, 3.5, 0.0, 2.5, 4.8, 2.6, 3.0, 31.0, 0.0, 1.4, 100.0,2020-11-04 17:00:00,45
140.0, 100.0, 4.8, 0.0, 3.0, 6.9, 3.0, 3.7, 127.0, 0.0, 1.4, 100.0,2020-11-04 18:00:00,45
183.0, 100.0, 6.9, 0.0, 3.7, 9.3, 3.7, 4.4, 140.0, 0.0, 1.4, 98.0,2020-11-04 19:00:00,45
208.0, 98.0, 9.3, 0.0, 4.1, 8.9, 4.4, 4.7, 183.0, 0.0, 1.4, 93.0,2020-11-04 20:00:00,45
216.0, 93.0, 8.9, 0.0, 3.7, 13.5, 4.7, 5.2, 208.0, 0.0, 1.4, 92.0,2020-11-04 21:00:00,45
211.0, 92.0, 13.5, 0.0, 4.0, 17.9, 5.2, 5.4, 216.0, 0.0, 1.4, 88.0,2020-11-04 22:00:00,45
232.0, 88.0, 17.9, 0.0, 3.6, 12.2, 5.4, 4.5, 211.0, 0.0, 1.2, 86.0,2020-11-04 23:00:00,45
219.0, 86.0, 12.2, 0.0, 2.4, 9.8, 4.5, 4.6, 232.0, 0.0, 1.2, 87.0,2020-11-05 00:00:00,45
210.0, 87.0, 9.8, 0.0, 2.6, 14.6, 4.6, 4.5, 219.0, 0.0, 1.0, 85.0,2020-11-05 01:00:00,45
217.0, 85.0, 14.6, 0.0, 2.2, 18.7, 4.5, 4.1, 210.0, 0.0, 1.0, 79.0,2020-11-05 02:00:00,45
214.0, 79.0, 18.7, 0.0, 0.8, 14.9, 4.1, 3.1, 217.0, 0.0, 1.0, 90.0,2020-11-05 03:00:00,45
221.0, 90.0, 14.9, 0.0, 1.6, 12.9, 3.1, 2.4, 214.0, 0.0, 1.0, 88.0,2020-11-05 04:00:00,45
218.0, 88.0, 12.9, 0.0, 0.6, 11.2, 2.4, 2.0, 221.0, 0.0, 1.0, 87.0,2020-11-05 05:00:00,45
215.0, 87.0, 11.2, 0.0, 0.1, 13.3, 2.0, 1.7, 218.0, 0.0, 1.0, 83.0,2020-11-05 06:00:00,45
243.0, 83.0, 13.3, 0.0, -0.9, 11.4, 1.7, 1.4, 215.0, 0.0, 1.0, 85.0,2020-11-05 07:00:00,45
274.0, 85.0, 11.4, 0.0, -0.8, 9.6, 1.4, 1.1, 243.0, 0.0, 1.0, 90.0,2020-11-05 08:00:00,45
231.0, 90.0, 9.6, 0.0, -0.4, 10.9, 1.1, 1.4, 274.0, 0.0, 0.4, 86.0,2020-11-05 09:00:00,45
269.0, 86.0, 10.9, 0.0, -0.7, 10.6, 1.4, 1.1, 231.0, 0.0, 0.4, 89.0,2020-11-05 10:00:00,45
265.0, 89.0, 10.6, 0.0, -0.5, 14.4, 1.1, 1.1, 269.0, 0.0, 0.2, 81.0,2020-11-05 11:00:00,45
284.0, 81.0, 14.4, 0.0, -1.8, 13.8, 1.1, 1.0, 265.0, 0.0, 0.2, 77.0,2020-11-05 12:00:00,45
275.0, 77.0, 13.8, 0.0, -2.6, 11.3, 1.0, 1.4, 284.0, 0.0, 0.2, 73.0,2020-11-05 13:00:00,45
264.0, 73.0, 11.3, 0.0, -2.9, 10.4, 1.4, 1.0, 275.0, 0.0, 0.2, 72.0,2020-11-05 14:00:00,45
