RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
81.7, None, None, None, 2.652, 172.2, -20.0, -18.0, -20.0, 951.0, None, None, None, 86.0, None, 85.8, None, None, -17.58, None, -17.4, None, None, 28.18, None, -17.6, 1022.7, 0.0, -1.0, 82.0,2022-01-01 00:00:00, 951.0,1
85.5, None, None, None, 2.822, 173.0, -19.0, -18.0, -19.0, 952.0, None, None, None, 86.0, None, 85.5, None, None, -17.09, None, -17.1, None, None, 29.56, None, -17.1, 1023.8, 0.1, 0.0, 86.0,2022-01-01 01:00:00, 952.0,1
84.9, None, None, None, 2.497, 164.8, -19.0, -18.0, -19.0, 951.0, None, None, None, 86.0, None, 85.7, None, None, -16.94, None, -16.9, None, None, 26.07, None, -16.9, 1022.6, 0.0, 0.0, 85.0,2022-01-01 02:00:00, 951.0,1
83.2, None, None, None, 2.119, 154.0, -19.0, -18.0, -19.0, 952.0, None, None, None, 86.0, None, 85.6, None, None, -16.92, None, -16.9, None, None, 35.82, None, -16.9, 1023.7, 0.0, 0.0, 83.0,2022-01-01 03:00:00, 952.0,1
82.3, None, None, None, 2.452, 168.2, -19.0, -18.0, -19.0, 952.0, None, None, None, 86.0, None, 85.5, None, None, -16.87, None, -16.9, None, None, 35.18, None, -16.9, 1023.8, -0.5, 0.0, 82.0,2022-01-01 04:00:00, 952.0,1
83.9, None, None, None, 1.608, 147.6, -18.0, -18.0, -18.0, 951.0, None, None, None, 89.0, None, 88.5, None, None, -16.56, None, -16.6, None, None, 40.65, None, -16.6, 1022.7, 0.3, 3.0, 84.0,2022-01-01 05:00:00, 951.0,1
80.2, None, None, None, 2.675, 169.6, -19.0, -18.0, -19.0, 952.0, None, None, None, 89.0, None, 88.7, None, None, -16.47, None, -16.5, None, None, 32.33, None, -16.5, 1023.8, -1.1, 0.0, 80.0,2022-01-01 06:00:00, 952.0,1
81.1, None, None, None, 3.228, 180.9, -18.0, -16.6, -18.0, 952.0, None, None, None, 88.0, None, 88.4, None, None, -16.3, None, -16.3, None, None, 24.51, None, -16.3, 1023.8, 0.2, 0.0, 81.0,2022-01-01 07:00:00, 952.0,1
81.1, None, None, None, 3.588, 167.3, -18.0, -16.6, -18.0, 952.0, None, None, None, 87.0, None, 86.8, None, None, -16.23, None, -16.2, None, None, 31.05, None, -16.2, 1023.8, 1.0, -2.0, 81.0,2022-01-01 08:00:00, 952.0,1
79.75, None, None, None, 3.497, 154.9, -18.0, -16.6, -18.0, 951.0, None, None, None, 87.0, None, 87.1, None, None, -15.79, None, -15.8, None, None, 30.16, None, -15.8, 1022.7, 0.0, 0.0, 80.0,2022-01-01 09:00:00, 951.0,1
