wind_speed,temperature,wind_direction,relative_humidity,time,precipitation,week_of_year
None, None, None,3.0,2020-01-29 00:00:00,0.0,5
None, None, None,3.0,2020-01-29 01:00:00,0.0,5
None, None, None,3.0,2020-01-29 02:00:00,0.0,5
None, None, None,3.0,2020-01-29 03:00:00,0.0,5
None, None, None,3.0,2020-01-29 04:00:00,0.0,5
None, None, None,3.0,2020-01-29 05:00:00,0.0,5
None, None, None,3.0,2020-01-29 06:00:00,0.0,5
None, None, None,3.0,2020-01-29 07:00:00,0.0,5
None, None, None,3.0,2020-01-29 08:00:00,0.0,5
None, None, None,3.0,2020-01-29 09:00:00,0.0,5
None, None, None,3.0,2020-01-29 10:00:00,0.0,5
None, None, None,3.0,2020-01-29 11:00:00,0.0,5
None, None, None,3.0,2020-01-29 12:00:00,0.0,5
None, None, None,3.0,2020-01-29 13:00:00,0.0,5
None, None, None,3.0,2020-01-29 14:00:00,0.0,5
None, None, None,3.0,2020-01-29 15:00:00,0.0,5
None, None, None,3.0,2020-01-29 16:00:00,0.0,5
None, None, None,3.0,2020-01-29 17:00:00,0.0,5
None, None, None,3.0,2020-01-29 18:00:00,0.0,5
None, None, None,3.0,2020-01-29 19:00:00,0.0,5
None, None, None,3.0,2020-01-29 20:00:00,0.0,5
None, None, None,3.0,2020-01-29 21:00:00,0.0,5
None, None, None,3.0,2020-01-29 22:00:00,0.0,5
None, None, None,3.0,2020-01-29 23:00:00,0.0,5
None, None, None,3.0,2020-01-30 00:00:00,0.0,5
None, None, None,3.0,2020-01-30 01:00:00,0.0,5
None, None, None,3.0,2020-01-30 02:00:00,0.0,5
None, None, None,3.0,2020-01-30 03:00:00,0.0,5
None, None, None,3.0,2020-01-30 04:00:00,0.0,5
None, None, None,3.0,2020-01-30 05:00:00,0.0,5
None, None, None,3.0,2020-01-30 06:00:00,0.0,5
None, None, None,3.0,2020-01-30 07:00:00,0.0,5
None, None, None,3.0,2020-01-30 08:00:00,0.0,5
None, None, None,3.0,2020-01-30 09:00:00,0.0,5
None, None, None,3.0,2020-01-30 10:00:00,0.0,5
None, None, None,3.0,2020-01-30 11:00:00,0.0,5
None, None, None,3.0,2020-01-30 12:00:00,0.0,5
None, None, None,3.0,2020-01-30 13:00:00,0.0,5
None, None, None,3.0,2020-01-30 14:00:00,0.0,5
None, None, None,3.0,2020-01-30 15:00:00,0.0,5
None, None, None,3.0,2020-01-30 16:00:00,0.0,5
None, None, None,3.0,2020-01-30 17:00:00,0.0,5
None, None, None,3.0,2020-01-30 18:00:00,0.0,5
None, None, None,3.0,2020-01-30 19:00:00,0.0,5
None, None, None,3.0,2020-01-30 20:00:00,0.0,5
