wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
32.0, 59.0, 2.8, 0.0, 6.3, 3.0, 14.2, 13.6, 26.0, 0.0, None, 60.0,2021-07-30 00:00:00,31
25.0, 57.0, 5.0, 0.0, 5.9, 2.9, 14.3, 13.3, 15.0, 0.0, None, 60.0,2021-07-30 01:00:00,31
37.0, 60.0, 3.0, 0.0, 6.0, 2.9, 13.6, 13.2, 32.0, 0.0, None, 61.0,2021-07-30 02:00:00,31
21.0, 60.0, 2.9, 0.0, 5.7, 2.9, 13.3, 12.9, 25.0, 0.0, None, 62.0,2021-07-30 03:00:00,31
28.0, 61.0, 2.9, 0.0, 5.9, 2.7, 13.2, 12.8, 37.0, 0.0, None, 62.0,2021-07-30 04:00:00,31
30.0, 62.0, 2.9, 0.0, 5.8, 0.5, 12.9, 13.7, 21.0, 0.0, None, 65.0,2021-07-30 05:00:00,31
52.0, None, None, 0.0, None, 1.0, None, 16.2, None, None, None, 61.0,2021-07-30 06:00:00,31
161.0, 65.0, 0.5, 0.0, 7.2, 1.2, 13.7, 20.5, 30.0, 0.0, None, 56.0,2021-07-30 07:00:00,31
145.0, 61.0, 1.0, 0.0, 8.7, 3.1, 16.2, 23.7, 52.0, 0.0, None, 40.0,2021-07-30 08:00:00,31
58.0, 56.0, 1.2, 0.0, 11.4, 4.1, 20.5, 24.4, 161.0, 0.0, None, 33.0,2021-07-30 09:00:00,31
182.0, 40.0, 3.1, 0.0, 9.3, 5.3, 23.7, 26.8, 145.0, 0.0, None, 29.0,2021-07-30 10:00:00,31
126.0, 33.0, 4.1, 0.0, 7.1, 6.6, 24.4, 27.8, 58.0, 0.0, None, 24.0,2021-07-30 11:00:00,31
143.0, 29.0, 5.3, 0.0, 7.3, 6.9, 26.8, 28.7, 182.0, 0.0, None, 24.0,2021-07-30 12:00:00,31
204.0, 24.0, 6.6, 0.0, 5.4, 9.2, 27.8, 29.8, 126.0, 0.0, None, 18.0,2021-07-30 13:00:00,31
160.0, 24.0, 6.9, 0.0, 6.2, 6.4, 28.7, 28.3, 143.0, 0.0, None, 24.0,2021-07-30 14:00:00,31
89.0, None, None, 0.0, None, 6.6, None, 27.2, None, None, None, 24.0,2021-07-30 15:00:00,31
46.0, None, None, 0.0, None, 3.4, None, 26.1, None, None, None, 25.0,2021-07-30 16:00:00,31
29.0, None, None, 0.0, None, 3.1, None, 22.9, None, None, None, 34.0,2021-07-30 17:00:00,31
34.0, 34.0, 3.1, 0.0, 6.2, 4.0, 22.9, 17.7, 29.0, 0.0, None, 40.0,2021-07-30 19:00:00,31
36.0, None, None, 0.0, None, 3.7, None, 16.9, None, None, None, 43.0,2021-07-30 20:00:00,31
None, 40.0, 4.0, None, 3.9, None, 17.7, None, 34.0, 0.0, None, None,2021-07-30 21:00:00,31
27.0, 43.0, 3.7, 0.0, 4.3, 3.6, 16.9, 16.0, 36.0, 0.0, None, 43.0,2021-07-30 22:00:00,31
13.0, None, None, 0.0, None, 5.7, None, 15.4, None, None, None, 43.0,2021-07-30 23:00:00,31
