ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, 217.0, 0.0, None, None,2018-05-15 10:00:00, 1.6, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-15 11:00:00, 1.9, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-15 12:00:00, 1.4, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-15 13:00:00, -0.3, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-15 14:00:00, 1.6, None, None, None,20
None, 217.0, None, None, None,2018-05-15 15:00:00, 5.5, None, None, None,20
None, 217.0, None, 0.0, None,2018-05-15 16:00:00, 9.1, None, None, None,20
None, 217.0, None, None, None,2018-05-15 17:00:00, 11.0, None, None, None,20
None, 217.0, None, None, None,2018-05-15 18:00:00, 12.3, None, None, None,20
None, 217.0, None, None, None,2018-05-15 19:00:00, 14.1, None, None, None,20
None, 217.0, None, None, None,2018-05-15 20:00:00, 16.5, None, None, None,20
None, 217.0, None, None, None,2018-05-15 21:00:00, 16.7, None, None, None,20
None, 217.0, None, None, None,2018-05-15 22:00:00, 16.5, None, None, None,20
None, 217.0, None, None, None,2018-05-15 23:00:00, 16.3, None, None, None,20
None, 217.0, None, None, None,2018-05-16 00:00:00, 16.5, None, None, None,20
None, 217.0, None, None, None,2018-05-16 01:00:00, 15.8, None, None, None,20
None, 217.0, None, None, None,2018-05-16 02:00:00, 15.4, None, None, None,20
None, 217.0, None, None, None,2018-05-16 03:00:00, 14.9, None, None, None,20
None, 217.0, None, None, None,2018-05-16 04:00:00, 12.0, None, None, None,20
None, 217.0, None, None, None,2018-05-16 05:00:00, 8.8, None, None, None,20
None, 217.0, None, None, None,2018-05-16 06:00:00, 8.0, None, None, None,20
None, 217.0, None, None, None,2018-05-16 07:00:00, 6.9, None, None, None,20
None, 217.0, None, None, None,2018-05-16 08:00:00, 5.8, None, None, None,20
None, 217.0, None, None, None,2018-05-16 09:00:00, 5.2, None, None, None,20
None, 217.0, None, None, None,2018-05-16 10:00:00, 4.7, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-16 11:00:00, 3.4, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-16 12:00:00, 2.6, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-16 13:00:00, 2.6, None, None, None,20
None, 217.0, None, None, None,2018-05-16 14:00:00, 3.4, None, None, None,20
None, 217.0, None, None, None,2018-05-16 15:00:00, 5.5, None, None, None,20
None, 217.0, None, 0.0, None,2018-05-16 16:00:00, 8.9, None, None, None,20
None, 217.0, None, None, None,2018-05-16 17:00:00, 11.9, None, None, None,20
None, 217.0, None, None, None,2018-05-16 18:00:00, 15.2, None, None, None,20
None, 217.0, None, None, None,2018-05-16 19:00:00, 15.1, None, None, None,20
None, 217.0, None, None, None,2018-05-16 20:00:00, 18.7, None, None, None,20
None, 217.0, None, None, None,2018-05-16 21:00:00, 18.2, None, None, None,20
None, 217.0, None, None, None,2018-05-16 22:00:00, 17.1, None, None, None,20
None, 217.0, None, None, None,2018-05-16 23:00:00, 17.9, None, None, None,20
None, 217.0, None, None, None,2018-05-17 00:00:00, 19.1, None, None, None,20
None, 217.0, None, None, None,2018-05-17 01:00:00, 19.3, None, None, None,20
None, 217.0, None, None, None,2018-05-17 02:00:00, 18.6, None, None, None,20
None, 217.0, None, None, None,2018-05-17 03:00:00, 17.7, None, None, None,20
None, 217.0, None, None, None,2018-05-17 04:00:00, 15.7, None, None, None,20
None, 217.0, None, None, None,2018-05-17 05:00:00, 12.0, None, None, None,20
None, 217.0, None, None, None,2018-05-17 06:00:00, 9.3, None, None, None,20
None, 217.0, None, None, None,2018-05-17 07:00:00, 7.6, None, None, None,20
None, 217.0, None, None, None,2018-05-17 08:00:00, 7.1, None, None, None,20
None, 217.0, None, None, None,2018-05-17 09:00:00, 5.9, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-17 10:00:00, 4.7, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-17 11:00:00, 3.7, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-17 12:00:00, 2.7, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-17 13:00:00, 2.5, None, None, None,20
None, 217.0, None, None, None,2018-05-17 14:00:00, 4.1, None, None, None,20
None, 217.0, None, None, None,2018-05-17 15:00:00, 6.9, None, None, None,20
None, 217.0, None, 0.0, None,2018-05-17 16:00:00, 11.1, None, None, None,20
None, 217.0, None, None, None,2018-05-17 17:00:00, 13.5, None, None, None,20
None, 217.0, None, None, None,2018-05-17 18:00:00, 16.2, None, None, None,20
None, 217.0, None, None, None,2018-05-17 19:00:00, 16.1, None, None, None,20
None, 217.0, None, None, None,2018-05-17 20:00:00, 20.1, None, None, None,20
None, 217.0, None, None, None,2018-05-17 21:00:00, 17.1, None, None, None,20
None, 217.0, None, None, None,2018-05-17 22:00:00, 18.3, None, None, None,20
None, 217.0, None, None, None,2018-05-17 23:00:00, 19.6, None, None, None,20
None, 217.0, None, None, None,2018-05-18 00:00:00, 19.3, None, None, None,20
None, 217.0, None, None, None,2018-05-18 01:00:00, 18.6, None, None, None,20
None, 217.0, None, None, None,2018-05-18 02:00:00, 18.7, None, None, None,20
None, 217.0, None, None, None,2018-05-18 03:00:00, 17.9, None, None, None,20
None, 217.0, None, None, None,2018-05-18 04:00:00, 15.3, None, None, None,20
None, 217.0, None, None, None,2018-05-18 05:00:00, 12.3, None, None, None,20
None, 217.0, None, None, None,2018-05-18 06:00:00, 9.1, None, None, None,20
None, 217.0, None, None, None,2018-05-18 07:00:00, 7.0, None, None, None,20
None, 217.0, None, None, None,2018-05-18 08:00:00, 6.1, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-18 09:00:00, 4.3, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-18 10:00:00, 3.3, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-18 11:00:00, 3.1, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-18 12:00:00, 1.6, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-18 13:00:00, 1.2, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-18 14:00:00, 3.3, None, None, None,20
None, 217.0, None, None, None,2018-05-18 15:00:00, 6.8, None, None, None,20
None, 217.0, None, 0.0, None,2018-05-18 16:00:00, 10.1, None, None, None,20
None, 217.0, None, None, None,2018-05-18 17:00:00, 14.5, None, None, None,20
None, 217.0, None, None, None,2018-05-18 18:00:00, 17.7, None, None, None,20
None, 217.0, None, None, None,2018-05-18 19:00:00, 20.1, None, None, None,20
None, 217.0, None, None, None,2018-05-18 20:00:00, 22.0, None, None, None,20
None, 217.0, None, None, None,2018-05-18 21:00:00, 23.3, None, None, None,20
None, 217.0, None, None, None,2018-05-18 22:00:00, 21.4, None, None, None,20
None, 217.0, None, None, None,2018-05-18 23:00:00, 22.2, None, None, None,20
None, 217.0, None, None, None,2018-05-19 00:00:00, 22.3, None, None, None,20
None, 216.0, None, None, None,2018-05-19 01:00:00, 22.5, None, None, None,20
None, 216.0, None, None, None,2018-05-19 02:00:00, 21.5, None, None, None,20
None, 216.0, None, None, None,2018-05-19 03:00:00, 20.0, None, None, None,20
None, 216.0, None, None, None,2018-05-19 04:00:00, 17.1, None, None, None,20
None, 216.0, None, None, None,2018-05-19 05:00:00, 12.7, None, None, None,20
None, 217.0, None, None, None,2018-05-19 06:00:00, 11.5, None, None, None,20
None, 217.0, None, None, None,2018-05-19 07:00:00, 9.2, None, None, None,20
None, 217.0, None, None, None,2018-05-19 08:00:00, 7.6, None, None, None,20
None, 217.0, None, None, None,2018-05-19 09:00:00, 5.7, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-19 10:00:00, 5.2, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-19 11:00:00, 3.7, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-19 12:00:00, 2.5, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-19 13:00:00, 2.4, None, None, None,20
None, 217.0, 0.0, None, None,2018-05-19 14:00:00, 4.6, None, None, None,20
None, 217.0, None, None, None,2018-05-19 15:00:00, 7.8, None, None, None,20
None, 217.0, None, 4.0, None,2018-05-19 16:00:00, 11.4, None, None, None,20
None, 217.0, None, None, None,2018-05-19 17:00:00, 15.8, None, None, None,20
None, 217.0, None, None, None,2018-05-19 18:00:00, 19.9, None, None, None,20
None, 217.0, None, None, None,2018-05-19 19:00:00, 21.4, None, None, None,20
None, 217.0, None, None, None,2018-05-19 20:00:00, 21.9, None, None, None,20
None, 217.0, None, None, None,2018-05-19 21:00:00, 23.4, None, None, None,20
None, 217.0, None, None, None,2018-05-19 22:00:00, 22.3, None, None, None,20
None, 217.0, None, None, None,2018-05-19 23:00:00, 22.4, None, None, None,20
None, 216.0, None, None, None,2018-05-20 00:00:00, 23.1, None, None, None,20
None, 216.0, None, None, None,2018-05-20 01:00:00, 23.6, None, None, None,20
None, 216.0, None, None, None,2018-05-20 02:00:00, 23.2, None, None, None,20
None, 216.0, None, None, None,2018-05-20 03:00:00, 21.2, None, None, None,20
None, 216.0, None, None, None,2018-05-20 04:00:00, 18.2, None, None, None,20
None, 216.0, None, None, None,2018-05-20 05:00:00, 14.8, None, None, None,20
None, 216.0, None, None, None,2018-05-20 06:00:00, 14.2, None, None, None,20
None, 216.0, None, None, None,2018-05-20 07:00:00, 11.5, None, None, None,20
None, 216.0, None, None, None,2018-05-20 08:00:00, 9.7, None, None, None,20
None, 217.0, None, None, None,2018-05-20 09:00:00, 8.7, None, None, None,20
None, 217.0, None, None, None,2018-05-20 10:00:00, 8.4, None, None, None,20
None, 217.0, None, None, None,2018-05-20 11:00:00, 7.6, None, None, None,20
None, 217.0, None, None, None,2018-05-20 12:00:00, 7.1, None, None, None,20
None, 217.0, None, None, None,2018-05-20 13:00:00, 7.4, None, None, None,20
None, 217.0, None, None, None,2018-05-20 14:00:00, 8.0, None, None, None,20
None, 217.0, None, None, None,2018-05-20 15:00:00, 9.5, None, None, None,20
None, 217.0, None, 4.0, None,2018-05-20 16:00:00, 12.9, None, None, None,20
None, 217.0, None, None, None,2018-05-20 17:00:00, 14.3, None, None, None,20
None, 217.0, None, None, None,2018-05-20 18:00:00, 12.3, None, None, None,20
None, 217.0, None, None, None,2018-05-20 19:00:00, 19.2, None, None, None,20
None, 217.0, None, None, None,2018-05-20 20:00:00, 18.4, None, None, None,20
None, 217.0, None, None, None,2018-05-20 21:00:00, 17.1, None, None, None,20
None, 217.0, None, None, None,2018-05-20 22:00:00, 17.6, None, None, None,20
None, 217.0, None, None, None,2018-05-20 23:00:00, 16.3, None, None, None,20
