wind_speed,temperature,wind_direction,relative_humidity,time,precipitation,week_of_year
0.0,-3.7,168.0,90.0,2021-01-01 10:00:00,0.0,1
0.0,-2.8,160.0,92.0,2021-01-01 13:00:00,0.0,1
0.0,-2.5,133.0,97.0,2021-01-01 21:00:00,0.0,1
0.0,-1.5,194.0,96.0,2021-01-02 03:00:00,0.0,1
0.3,-2.7,274.0,88.0,2021-01-04 10:00:00,0.0,1
0.5,-1.5,207.0,85.0,2021-01-04 11:00:00,0.0,1
0.0,-1.4,255.0,85.0,2021-01-04 12:00:00,0.0,1
0.0,-1.9,242.0,89.0,2021-01-04 13:00:00,0.0,1
0.0,-2.7,216.0,94.0,2021-01-04 14:00:00,0.0,1
0.1,-3.2,60.0,94.0,2021-01-04 15:00:00,0.0,1
0.0,-3.5,73.0,95.0,2021-01-04 16:00:00,0.0,1
0.0,-3.7,65.0,96.0,2021-01-04 17:00:00,0.0,1
0.0,-3.7,72.0,96.0,2021-01-04 18:00:00,0.0,1
0.0,-3.7,170.0,96.0,2021-01-04 19:00:00,0.0,1
0.0,-3.7,98.0,96.0,2021-01-04 20:00:00,0.0,1
0.0,-3.7,240.0,96.0,2021-01-04 21:00:00,0.0,1
0.0,-3.6,105.0,96.0,2021-01-04 22:00:00,0.0,1
0.0,-3.5,323.0,97.0,2021-01-04 23:00:00,0.0,1
0.0,-3.5,221.0,97.0,2021-01-05 00:00:00,0.0,1
0.0,-3.6,127.0,97.0,2021-01-05 01:00:00,0.0,1
0.0,-4.1,308.0,96.0,2021-01-05 02:00:00,0.0,1
0.0,-3.6,143.0,98.0,2021-01-05 03:00:00,0.0,1
0.0,-5.0,74.0,97.0,2021-01-05 04:00:00,0.0,1
0.0,-5.5,28.0,95.0,2021-01-05 05:00:00,0.0,1
0.0,-5.5,325.0,95.0,2021-01-05 06:00:00,0.0,1
0.0,-4.9,88.0,96.0,2021-01-05 07:00:00,0.0,1
0.0,-4.5,89.0,95.0,2021-01-05 08:00:00,0.0,1
0.0,-3.8,261.0,92.0,2021-01-05 09:00:00,0.0,1
0.0,-3.4,242.0,91.0,2021-01-05 10:00:00,0.0,1
0.0,-2.8,135.0,87.0,2021-01-05 11:00:00,0.0,1
0.0,-2.2,106.0,87.0,2021-01-05 12:00:00,0.0,1
0.0,-2.3,69.0,89.0,2021-01-05 13:00:00,0.0,1
0.0,-3.2,80.0,91.0,2021-01-05 14:00:00,0.0,1
0.0,-4.8,86.0,95.0,2021-01-05 15:00:00,0.0,1
0.0,-4.5,56.0,96.0,2021-01-05 16:00:00,0.0,1
0.0,-4.3,97.0,96.0,2021-01-05 17:00:00,0.0,1
0.0,-4.4,75.0,96.0,2021-01-05 18:00:00,0.0,1
0.0,-4.3,74.0,96.0,2021-01-05 19:00:00,0.0,1
0.0,-4.0,83.0,95.0,2021-01-05 20:00:00,0.0,1
0.0,-3.5,134.0,95.0,2021-01-05 21:00:00,0.0,1
0.0,-3.2,54.0,95.0,2021-01-05 22:00:00,0.0,1
0.0,-3.4,54.0,95.0,2021-01-05 23:00:00,0.0,1
0.0,-3.6,90.0,96.0,2021-01-06 00:00:00,0.0,1
0.0,-3.7,76.0,96.0,2021-01-06 01:00:00,0.0,1
0.0,-3.4,94.0,96.0,2021-01-06 02:00:00,0.0,1
0.0,-3.2,88.0,96.0,2021-01-06 03:00:00,0.0,1
0.0,-3.3,100.0,97.0,2021-01-06 04:00:00,0.0,1
0.0,-3.4,80.0,96.0,2021-01-06 05:00:00,0.0,1
0.0,-3.3,76.0,97.0,2021-01-06 06:00:00,0.0,1
0.0,-3.1,83.0,97.0,2021-01-06 07:00:00,0.0,1
0.0,-2.5,68.0,96.0,2021-01-06 08:00:00,0.0,1
0.0,-1.0,67.0,92.0,2021-01-06 09:00:00,0.0,1
0.0,-0.1,87.0,91.0,2021-01-06 10:00:00,0.0,1
0.0,0.4,53.0,90.0,2021-01-06 11:00:00,0.0,1
1.3,1.0,50.0,88.0,2021-01-06 12:00:00,0.0,1
1.3,1.0,137.0,89.0,2021-01-06 13:00:00,0.0,1
0.4,0.0,58.0,94.0,2021-01-06 14:00:00,0.0,1
0.6,-1.9,85.0,97.0,2021-01-06 15:00:00,0.0,1
2.2,-2.7,115.0,98.0,2021-01-06 16:00:00,0.0,1
2.2,-3.8,99.0,97.0,2021-01-06 17:00:00,0.0,1
0.1,-4.1,93.0,97.0,2021-01-06 18:00:00,0.0,1
0.1,-3.6,91.0,97.0,2021-01-06 19:00:00,0.0,1
0.0,-3.1,120.0,98.0,2021-01-06 20:00:00,0.0,1
0.0,-3.0,89.0,97.0,2021-01-06 21:00:00,0.0,1
0.0,-3.4,322.0,97.0,2021-01-06 22:00:00,0.0,1
0.0,-3.5,107.0,95.0,2021-01-06 23:00:00,0.0,1
0.0,-3.7,188.0,95.0,2021-01-07 00:00:00,0.0,1
0.0,-3.8,220.0,96.0,2021-01-07 01:00:00,0.0,1
0.0,-3.9,128.0,95.0,2021-01-07 02:00:00,0.0,1
0.1,-4.2,26.0,95.0,2021-01-07 03:00:00,0.0,1
0.0,-4.5,52.0,96.0,2021-01-07 04:00:00,0.0,1
1.2,-4.7,82.0,90.0,2021-01-07 05:00:00,0.0,1
2.0,-5.3,90.0,86.0,2021-01-07 06:00:00,0.0,1
2.5,-5.9,102.0,87.0,2021-01-07 07:00:00,0.0,1
1.0,-5.5,90.0,89.0,2021-01-07 08:00:00,0.0,1
0.8,-4.6,108.0,84.0,2021-01-07 09:00:00,0.0,1
0.0,-3.5,82.0,81.0,2021-01-07 10:00:00,0.0,1
0.9,-3.0,114.0,79.0,2021-01-07 11:00:00,0.0,1
0.0,-1.4,237.0,78.0,2021-01-07 12:00:00,0.0,1
0.2,-3.4,120.0,84.0,2021-01-07 13:00:00,0.0,1
0.0,-4.6,134.0,90.0,2021-01-07 14:00:00,0.0,1
0.4,-5.9,102.0,91.0,2021-01-07 15:00:00,0.0,1
0.1,-5.7,76.0,93.0,2021-01-07 16:00:00,0.0,1
0.0,-5.6,97.0,93.0,2021-01-07 17:00:00,0.0,1
0.0,-5.6,103.0,92.0,2021-01-07 18:00:00,0.0,1
0.0,-5.6,38.0,93.0,2021-01-07 19:00:00,0.0,1
0.0,-5.6,196.0,92.0,2021-01-07 20:00:00,0.0,1
0.0,-6.2,212.0,90.0,2021-01-07 21:00:00,0.0,1
0.1,-6.3,219.0,91.0,2021-01-07 22:00:00,0.0,1
0.0,-6.8,163.0,91.0,2021-01-07 23:00:00,0.0,1
