wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,snwfl_amt_pst1hr,stn_pres
207.0, None, None,0.0, None,8.0, None,2.4, None, None, None,69.0,2016-06-16 05:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0, None, None,0.0, None,7.4, None,4.9, None, None, None,56.0,2016-06-16 06:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.0, None, None,0.0, None,6.9, None,6.5, None, None, None,51.0,2016-06-16 07:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.0, None, None,0.0, None,13.6, None,6.6, None, None, None,55.0,2016-06-16 08:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.0, None, None,0.0, None,13.9, None,8.8, None, None, None,49.0,2016-06-16 09:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.0, None, None,0.0, None,12.9, None,9.8, None, None, None,42.0,2016-06-16 10:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.0, None, None,0.0, None,10.7, None,10.6, None, None, None,40.0,2016-06-16 11:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.0, None, None,0.0, None,12.2, None,10.7, None, None, None,39.0,2016-06-16 12:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0, None, None,0.0, None,10.9, None,9.9, None, None, None,37.0,2016-06-16 13:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231.0, None, None,0.0, None,16.8, None,11.6, None, None, None,32.0,2016-06-16 14:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0, None, None,0.0, None,13.5, None,11.2, None, None, None,35.0,2016-06-16 15:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290.0, None, None,0.0, None,15.3, None,10.0, None, None, None,37.0,2016-06-16 16:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0, None, None,0.0, None,16.6, None,9.9, None, None, None,40.0,2016-06-16 17:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.0, None, None,0.0, None,11.1, None,7.8, None, None, None,50.0,2016-06-16 18:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0, None, None,0.0, None,12.8, None,7.2, None, None, None,51.0,2016-06-16 19:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.0, None, None,0.0, None,10.9, None,5.1, None, None, None,59.0,2016-06-16 20:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297.0, None, None,0.0, None,14.4, None,4.1, None, None, None,64.0,2016-06-16 21:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.0, None, None,0.0, None,15.2, None,3.5, None, None, None,67.0,2016-06-16 22:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279.0, None, None,0.0, None,13.0, None,3.1, None, None, None,67.0,2016-06-16 23:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10,24,,9.0,1.3, None, None,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11,24,,3.0,0.3, None, None,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12,24,,0.0,3.1, None, None,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13,24,,4.0,1.8, None, None,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14,24,,0.0,-0.2, None, None,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15,24,,1.0,-1.2, None, None,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-16,24,,0.0,-0.5, None, None,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 00:00:00,24,,, None,,, None,266.0, 2.0, None, None,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 01:00:00,24,,, None,,, None,266.0, 2.0, None, None,8.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 02:00:00,24,,, None,,, None,266.0, 3.0, None, None,8.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 03:00:00,24,,, None,,, None,266.0, 3.0, None, None,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 04:00:00,24,,, None,,, None,266.0, 3.0, None, None,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 05:00:00,24,,, None,,, None,266.0, 3.0, None, None,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 06:00:00,24,,, None,,, None,266.0, 3.0, None, None,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 07:00:00,24,,, None,,, None,266.0, 2.0, None, None,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 08:00:00,24,,, None,,, None,266.0, 2.0, None, None,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 09:00:00,24,,, None,,, None,266.0, 2.0, None, None,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 10:00:00,24,,, None,,, None,266.0, 2.0, None, None,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 11:00:00,24,,, None,,, None,267.0, 2.0, None, None,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 12:00:00,24,,, None,,, None,267.0, 2.0, None, None,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 13:00:00,24,,, None,,, None,267.0, 2.0, None, None,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 14:00:00,24,,, None,,, None,269.0, 2.0, None, None,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 15:00:00,24,,, None,,, None,269.0, 2.0, None, None,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 16:00:00,24,,, None,,, None,270.0, 2.0, 0.0, None,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 17:00:00,24,,, None,,, None,271.0, 2.0, None, None,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 18:00:00,24,,, None,,, None,272.0, 2.0, None, None,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 19:00:00,24,,, None,,, None,275.0, 3.0, None, None,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 20:00:00,24,,, None,,, None,276.0, 3.0, None, None,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 21:00:00,24,,, None,,, None,276.0, 2.0, None, None,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 22:00:00,24,,, None,,, None,276.0, 2.0, None, None,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-10 23:00:00,24,,, None,,, None,276.0, 2.0, None, None,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 00:00:00,24,,, None,,, None,276.0, 2.0, None, None,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 01:00:00,24,,, None,,, None,276.0, 2.0, None, None,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 02:00:00,24,,, None,,, None,276.0, 3.0, None, None,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 03:00:00,24,,, None,,, None,276.0, 3.0, None, None,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 04:00:00,24,,, None,,, None,276.0, 3.0, None, None,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 05:00:00,24,,, None,,, None,276.0, 3.0, None, None,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 06:00:00,24,,, None,,, None,276.0, 3.0, None, None,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 07:00:00,24,,, None,,, None,276.0, 3.0, None, None,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 08:00:00,24,,, None,,, None,276.0, 2.0, None, None,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 09:00:00,24,,, None,,, None,276.0, 2.0, None, None,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 10:00:00,24,,, None,,, None,276.0, 2.0, None, None,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 11:00:00,24,,, None,,, None,276.0, 2.0, None, None,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 12:00:00,24,,, None,,, None,276.0, 2.0, None, None,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 13:00:00,24,,, None,,, None,276.0, 0.0, None, None,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 14:00:00,24,,, None,,, None,276.0, 0.0, None, None,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 15:00:00,24,,, None,,, None,276.0, 1.0, None, None,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 16:00:00,24,,, None,,, None,277.0, 1.0, 0.0, None,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 17:00:00,24,,, None,,, None,277.0, 1.0, None, None,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 18:00:00,24,,, None,,, None,277.0, 1.0, None, None,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 19:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 20:00:00,24,,, None,,, None,279.0, 2.0, None, None,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 21:00:00,24,,, None,,, None,279.0, 2.0, None, None,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 22:00:00,24,,, None,,, None,279.0, 2.0, None, None,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-11 23:00:00,24,,, None,,, None,279.0, 2.0, None, None,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 00:00:00,24,,, None,,, None,279.0, 2.0, None, None,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 01:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 02:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 03:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 04:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 06:00:00,24,,, None,,, None,279.0, 2.0, None, None,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 07:00:00,24,,, None,,, None,279.0, 2.0, None, None,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 08:00:00,24,,, None,,, None,279.0, 2.0, None, None,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 09:00:00,24,,, None,,, None,279.0, 2.0, None, None,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 10:00:00,24,,, None,,, None,279.0, 2.0, None, None,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 11:00:00,24,,, None,,, None,279.0, 2.0, None, None,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 12:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 13:00:00,24,,, None,,, None,279.0, 1.0, None, None,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 14:00:00,24,,, None,,, None,279.0, 1.0, None, None,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 15:00:00,24,,, None,,, None,279.0, 1.0, None, None,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 16:00:00,24,,, None,,, None,279.0, 1.0, 0.0, None,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 17:00:00,24,,, None,,, None,279.0, 0.0, None, None,11.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 18:00:00,24,,, None,,, None,279.0, 0.0, None, None,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 19:00:00,24,,, None,,, None,279.0, 0.0, None, None,14.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 20:00:00,24,,, None,,, None,280.0, 2.0, None, None,13.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 21:00:00,24,,, None,,, None,280.0, 2.0, None, None,14.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 22:00:00,24,,, None,,, None,280.0, 2.0, None, None,12.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-12 23:00:00,24,,, None,,, None,280.0, 2.0, None, None,11.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 00:00:00,24,,, None,,, None,279.0, 2.0, None, None,9.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 01:00:00,24,,, None,,, None,279.0, 3.0, None, None,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 02:00:00,24,,, None,,, None,279.0, 3.0, None, None,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 03:00:00,24,,, None,,, None,279.0, 3.0, None, None,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 04:00:00,24,,, None,,, None,279.0, 3.0, None, None,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 05:00:00,24,,, None,,, None,279.0, 3.0, None, None,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 06:00:00,24,,, None,,, None,279.0, 3.0, None, None,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 07:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 08:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 09:00:00,24,,, None,,, None,279.0, 2.0, None, None,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 10:00:00,24,,, None,,, None,279.0, 2.0, None, None,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 11:00:00,24,,, None,,, None,279.0, 2.0, None, None,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 12:00:00,24,,, None,,, None,279.0, 2.0, None, None,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 13:00:00,24,,, None,,, None,279.0, 1.0, None, None,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 14:00:00,24,,, None,,, None,279.0, 1.0, None, None,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 15:00:00,24,,, None,,, None,279.0, 1.0, None, None,8.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 16:00:00,24,,, None,,, None,280.0, 0.0, 0.0, None,11.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 17:00:00,24,,, None,,, None,280.0, 0.0, None, None,11.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 18:00:00,24,,, None,,, None,281.0, 3.0, None, None,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 19:00:00,24,,, None,,, None,281.0, 2.0, None, None,9.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 20:00:00,24,,, None,,, None,281.0, 2.0, None, None,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 21:00:00,24,,, None,,, None,281.0, 2.0, None, None,11.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 22:00:00,24,,, None,,, None,283.0, 5.0, None, None,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-13 23:00:00,24,,, None,,, None,283.0, 4.0, None, None,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 00:00:00,24,,, None,,, None,283.0, 3.0, None, None,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 01:00:00,24,,, None,,, None,283.0, 3.0, None, None,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 02:00:00,24,,, None,,, None,283.0, 3.0, None, None,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 03:00:00,24,,, None,,, None,283.0, 3.0, None, None,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 04:00:00,24,,, None,,, None,283.0, 3.0, None, None,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 05:00:00,24,,, None,,, None,283.0, 3.0, None, None,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 06:00:00,24,,, None,,, None,283.0, 2.0, None, None,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 07:00:00,24,,, None,,, None,283.0, 2.0, None, None,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 08:00:00,24,,, None,,, None,283.0, 2.0, None, None,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 09:00:00,24,,, None,,, None,283.0, 2.0, None, None,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 10:00:00,24,,, None,,, None,283.0, 2.0, None, None,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 11:00:00,24,,, None,,, None,283.0, 2.0, None, None,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 12:00:00,24,,, None,,, None,283.0, 2.0, None, None,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 13:00:00,24,,, None,,, None,283.0, 1.0, None, None,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 14:00:00,24,,, None,,, None,283.0, 1.0, None, None,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 15:00:00,24,,, None,,, None,283.0, 0.0, None, None,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 16:00:00,24,,, None,,, None,283.0, 0.0, 0.0, None,10.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 17:00:00,24,,, None,,, None,283.0, 0.0, None, None,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 18:00:00,24,,, None,,, None,283.0, 0.0, None, None,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 19:00:00,24,,, None,,, None,283.0, 1.0, None, None,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 20:00:00,24,,, None,,, None,284.0, 2.0, None, None,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 21:00:00,24,,, None,,, None,284.0, 2.0, None, None,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 22:00:00,24,,, None,,, None,284.0, 2.0, None, None,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-14 23:00:00,24,,, None,,, None,284.0, 3.0, None, None,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 00:00:00,24,,, None,,, None,284.0, 3.0, None, None,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 01:00:00,24,,, None,,, None,284.0, 3.0, None, None,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 02:00:00,24,,, None,,, None,284.0, 3.0, None, None,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 03:00:00,24,,, None,,, None,283.0, 3.0, None, None,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 04:00:00,24,,, None,,, None,283.0, 3.0, None, None,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 05:00:00,24,,, None,,, None,283.0, 2.0, None, None,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 06:00:00,24,,, None,,, None,283.0, 2.0, None, None,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 07:00:00,24,,, None,,, None,283.0, 2.0, None, None,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 08:00:00,24,,, None,,, None,283.0, 2.0, None, None,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 09:00:00,24,,, None,,, None,283.0, 2.0, None, None,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 10:00:00,24,,, None,,, None,283.0, 2.0, None, None,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 11:00:00,24,,, None,,, None,283.0, 2.0, None, None,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 12:00:00,24,,, None,,, None,284.0, 2.0, None, None,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 13:00:00,24,,, None,,, None,284.0, 0.0, None, None,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 14:00:00,24,,, None,,, None,284.0, 0.0, None, None,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 15:00:00,24,,, None,,, None,284.0, 0.0, None, None,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 16:00:00,24,,, None,,, None,284.0, 0.0, 0.0, None,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 17:00:00,24,,, None,,, None,284.0, 0.0, None, None,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 18:00:00,24,,, None,,, None,284.0, 0.0, None, None,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 19:00:00,24,,, None,,, None,284.0, 2.0, None, None,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 20:00:00,24,,, None,,, None,284.0, 1.0, None, None,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 21:00:00,24,,, None,,, None,284.0, 1.0, None, None,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 22:00:00,24,,, None,,, None,284.0, 2.0, None, None,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-15 23:00:00,24,,, None,,, None,284.0, 2.0, None, None,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-16 00:00:00,24,,, None,,, None,284.0, 2.0, None, None,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-16 01:00:00,24,,, None,,, None,284.0, 2.0, None, None,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2016-06-16 02:00:00,24,,, None,,, None,284.0, 2.0, None, None,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
