pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,snwfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None, -1.08, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 14:00:00, None, 15.48, None,1
None, None, -0.75, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 15:00:00, None, 15.33, None,1
None, None, -0.646, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 16:00:00, None, 14.98, None,1
None, None, -0.571, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 17:00:00, None, 14.77, None,1
None, None, -0.486, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 18:00:00, None, 14.95, None,1
None, None, -0.448, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 19:00:00, None, 15.02, None,1
None, None, -0.051, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 20:00:00, None, 15.17, None,1
None, None, -0.108, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 21:00:00, None, 15.48, None,1
None, None, 0.232, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 22:00:00, None, 15.46, None,1
None, None, 0.072, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-02 23:00:00, None, 15.67, None,1
None, None, -0.448, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 00:00:00, None, 15.98, None,1
None, None, -1.043, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 01:00:00, None, 15.6, None,1
None, None, -1.364, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 02:00:00, None, 16.12, None,1
None, None, -1.185, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 03:00:00, None, 16.05, None,1
None, None, -0.996, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 04:00:00, None, 16.33, None,1
None, None, -0.93, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 05:00:00, None, 16.32, None,1
None, None, -0.863, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 06:00:00, None, 16.34, None,1
None, None, -0.618, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 08:00:00, None, 16.46, None,1
None, None, -1.053, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 09:00:00, None, 16.57, None,1
None, None, -1.497, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 10:00:00, None, 17.51, None,1
None, None, -1.441, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 11:00:00, None, 16.95, None,1
None, None, -1.838, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 12:00:00, None, 19.53, None,1
None, None, -1.838, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 13:00:00, None, 20.37, None,1
None, None, -1.885, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 14:00:00, None, 22.89, None,1
None, None, -1.857, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 15:00:00, None, 24.3, None,1
None, None, -1.724, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 16:00:00, None, 24.1, None,1
None, None, -1.715, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 17:00:00, None, 26.93, None,1
None, None, -1.715, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 18:00:00, None, 29.57, None,1
None, None, -1.706, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 19:00:00, None, 30.94, None,1
None, None, -1.573, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 20:00:00, None, 35.24, None,1
None, None, -1.498, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 21:00:00, None, 35.16, None,1
None, None, -1.327, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 22:00:00, None, 43.52, None,1
None, None, 0.005, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-03 23:00:00, None, 43.19, None,1
None, None, 0.053, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 00:00:00, None, 43.02, None,1
None, None, -0.013, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 01:00:00, None, 43.32, None,1
None, None, -0.126, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 02:00:00, None, 42.67, None,1
None, None, -0.296, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 03:00:00, None, 42.27, None,1
None, None, -0.419, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 04:00:00, None, 42.02, None,1
None, None, -0.731, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 05:00:00, None, 41.85, None,1
None, None, -0.552, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 06:00:00, None, 41.42, None,1
None, None, -0.43, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 07:00:00, None, 39.9, None,1
None, None, -0.344, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 08:00:00, None, 39.97, None,1
None, None, -0.193, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 09:00:00, None, 38.11, None,1
None, None, -0.079, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 10:00:00, None, 44.66, None,1
None, None, -0.06, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 11:00:00, None, 43.17, None,1
None, None, 0.035, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 12:00:00, None, 44.52, None,1
None, None, 0.073, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 13:00:00, None, 43.37, None,1
None, None, 0.026, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 14:00:00, None, 41.4, None,1
None, None, 0.101, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 15:00:00, None, 49.34, None,1
None, None, 0.139, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 16:00:00, None, 49.13, None,1
None, None, 0.177, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 17:00:00, None, 48.9, None,1
None, None, 0.109, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 18:00:00, None, 48.46, None,1
None, None, 0.384, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 19:00:00, None, 49.06, None,1
None, None, 0.356, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 20:00:00, None, 47.57, None,1
None, None, 0.46, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 21:00:00, None, 47.9, None,1
None, None, 0.346, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 22:00:00, None, 50.43, None,1
None, None, 0.224, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-04 23:00:00, None, 48.57, None,1
None, None, 0.11, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 00:00:00, None, 55.02, None,1
None, None, 0.054, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 01:00:00, None, 55.2, None,1
None, None, 0.261, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 02:00:00, None, 59.2, None,1
None, None, 0.225, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 03:00:00, None, 58.25, None,1
None, None, 0.261, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 04:00:00, None, 57.21, None,1
None, None, 0.186, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 05:00:00, None, 56.45, None,1
None, None, 0.158, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 06:00:00, None, 55.73, None,1
None, None, 0.082, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 07:00:00, None, 55.19, None,1
None, None, 0.252, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 08:00:00, None, 56.5, None,1
None, None, 0.138, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 09:00:00, None, 58.77, None,1
None, None, 0.195, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 10:00:00, None, 58.19, None,1
None, None, 0.233, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 11:00:00, None, 55.17, None,1
None, None, 0.195, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 12:00:00, None, 57.77, None,1
None, None, 0.205, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 13:00:00, None, 58.46, None,1
None, None, 0.169, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 14:00:00, None, 62.31, None,1
None, None, 0.101, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 15:00:00, None, 61.51, None,1
None, None, 0.063, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 16:00:00, None, 68.57, None,1
None, None, 0.149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 17:00:00, None, 71.8, None,1
None, None, 0.205, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 18:00:00, None, 69.19, None,1
None, None, 0.186, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 19:00:00, None, 71.7, None,1
None, None, 0.101, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 20:00:00, None, 72.7, None,1
None, None, 0.025, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 21:00:00, None, 70.5, None,1
None, None, 0.063, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 22:00:00, None, 70.0, None,1
None, None, 0.025, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-05 23:00:00, None, 69.34, None,1
None, None, 0.006, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 00:00:00, None, 68.78, None,1
None, None, 0.034, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 01:00:00, None, 68.24, None,1
None, None, 0.044, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 02:00:00, None, 66.62, None,1
None, None, -0.088, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 03:00:00, None, 68.36, None,1
None, None, -0.249, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 04:00:00, None, 68.04, None,1
None, None, -0.249, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 05:00:00, None, 70.3, None,1
None, None, -0.466, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 06:00:00, None, 69.38, None,1
None, None, -0.513, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 07:00:00, None, 68.65, None,1
None, None, -0.57, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 08:00:00, None, 67.06, None,1
None, None, -0.721, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 09:00:00, None, 68.48, None,1
None, None, -0.589, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 10:00:00, None, 68.09, None,1
None, None, -0.891, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 11:00:00, None, 67.92, None,1
None, None, -0.901, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 12:00:00, None, 67.23, None,1
None, None, -0.739, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 13:00:00, None, 66.43, None,1
None, None, -0.607, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 14:00:00, None, 65.7, None,1
None, None, -0.692, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 15:00:00, None, 65.2, None,1
None, None, -1.051, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 16:00:00, None, 64.84, None,1
None, None, -1.345, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 17:00:00, None, 64.41, None,1
None, None, -1.723, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 18:00:00, None, 63.99, None,1
None, None, -1.667, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 19:00:00, None, 64.16, None,1
None, None, -1.81, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 20:00:00, None, 64.39, None,1
None, None, -1.914, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 21:00:00, None, 66.06, None,1
None, None, -1.772, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 22:00:00, None, 67.81, None,1
None, None, -1.839, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-06 23:00:00, None, 68.01, None,1
None, None, -1.99, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 00:00:00, None, 65.89, None,1
None, None, -2.056, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 01:00:00, None, 66.86, None,1
None, None, -2.151, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 02:00:00, None, 63.59, None,1
None, None, -2.236, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 03:00:00, None, 65.84, None,1
None, None, -2.293, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 04:00:00, None, 65.24, None,1
None, None, -2.445, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 05:00:00, None, 64.81, None,1
None, None, -2.626, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 06:00:00, None, 65.17, None,1
None, None, -2.825, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 07:00:00, None, 64.39, None,1
None, None, -3.08, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 08:00:00, None, 64.2, None,1
None, None, -3.158, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 09:00:00, None, 64.16, None,1
None, None, -3.091, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 10:00:00, None, 63.4, None,1
None, None, -2.691, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 11:00:00, None, 63.34, None,1
None, None, -2.796, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 12:00:00, None, 63.33, None,1
None, None, -2.501, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 13:00:00, None, 63.21, None,1
None, None, -2.615, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 14:00:00, None, 62.92, None,1
None, None, -2.862, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 15:00:00, None, 62.45, None,1
None, None, -3.346, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 16:00:00, None, 62.24, None,1
None, None, -3.748, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 17:00:00, None, 61.92, None,1
None, None, -3.93, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 18:00:00, None, 61.26, None,1
None, None, -3.48, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 19:00:00, None, 61.06, None,1
None, None, -4.083, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 20:00:00, None, 60.6, None,1
None, None, -4.783, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 21:00:00, None, 60.23, None,1
None, None, -5.244, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 22:00:00, None, 60.01, None,1
None, None, -5.168, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-07 23:00:00, None, 59.77, None,1
