station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -3.5, 0.0, 2021-02-09 00:00:00, 5.0, 0.5
0.0, 0.0, -9.5, 0.0, 2021-02-10 00:00:00, 4.0, -4.0
0.0, 0.0, -8.5, 0.0, 2021-02-11 00:00:00, 4.0, -4.0
0.0, 0.0, -6.5, 0.0, 2021-02-12 00:00:00, 3.0, 1.0
0.4, 0.4, -0.5, 0.0, 2021-02-13 00:00:00, 3.0, 4.5
4.6, 4.6, 1.0, 0.0, 2021-02-14 00:00:00, 2.0, 4.0
3.2, 3.2, 3.0, 0.0, 2021-02-15 00:00:00, 0.0, 5.0
0.0, 0.0, 3.0, 0.0, 2021-02-16 00:00:00, 0.0, 5.0
12.0, 12.0, 2.5, 0.0, 2021-02-17 00:00:00, 0.0, 6.0
5.4, 5.4, 2.0, 0.0, 2021-02-18 00:00:00, 0.0, 7.5
2.6, 2.6, 4.0, 0.0, 2021-02-19 00:00:00, 0.0, 6.5
10.4, 10.4, 4.0, 0.0, 2021-02-20 00:00:00, 0.0, 8.0
1.8, 1.8, 6.5, 0.0, 2021-02-21 00:00:00, 0.0, 8.5
1.4, 1.4, 3.5, 0.0, 2021-02-22 00:00:00, 0.0, 6.5
0.0, 0.0, 2.5, 0.0, 2021-02-23 00:00:00, 0.0, 6.0
29.4, 29.4, 2.0, 0.0, 2021-02-24 00:00:00, 0.0, 7.0
4.6, 4.6, 0.0, 0.0, 2021-02-25 00:00:00, 0.0, 7.0
1.8, 1.8, 4.0, 0.0, 2021-02-26 00:00:00, 0.0, 7.0
24.8, 24.8, 4.0, 0.0, 2021-02-27 00:00:00, 0.0, 7.0
18.2, 18.2, 3.5, 0.0, 2021-02-28 00:00:00, 0.0, 7.0
0.6, 0.6, 3.0, 0.0, 2021-03-01 00:00:00, 0.0, 6.0
2.8, 2.8, 3.0, 0.0, 2021-03-02 00:00:00, 0.0, 6.0
11.0, 11.0, 3.0, 0.0, 2021-03-03 00:00:00, 0.0, 6.5
10.6, 10.6, 3.0, 0.0, 2021-03-04 00:00:00, 0.0, 10.0
7.6, 7.6, 3.0, 0.0, 2021-03-05 00:00:00, 0.0, 6.0
10.2, 10.2, 4.0, 0.0, 2021-03-06 00:00:00, 0.0, 7.0
4.2, 4.2, 2.0, 0.0, 2021-03-07 00:00:00, 0.0, 8.0
0.0, 0.0, 3.5, 0.0, 2021-03-08 00:00:00, 0.0, 9.5
0.0, 0.0, 3.0, 0.0, 2021-03-09 00:00:00, 0.0, 8.0
0.0, 0.0, 3.5, 0.0, 2021-03-10 00:00:00, 0.0, 7.0
32.8, 32.8, 3.0, 0.0, 2021-03-11 00:00:00, 0.0, 6.5
34.6, 34.6, 2.0, 0.0, 2021-03-12 00:00:00, 0.0, 7.5
24.0, 18.4, 0.5, 5.6, 2021-03-13 00:00:00, 0.0, 7.5
1.6, 0.0, 0.5, 1.6, 2021-03-14 00:00:00, 0.0, 5.5
7.8, 7.8, 1.0, 0.0, 2021-03-15 00:00:00, 1.0, 7.0
18.4, 18.4, 5.0, 0.0, 2021-03-16 00:00:00, 0.0, 7.0
3.6, 3.6, 4.0, 0.0, 2021-03-17 00:00:00, 0.0, 7.5
8.4, 8.4, 4.0, 0.0, 2021-03-18 00:00:00, 0.0, 7.0
4.2, 4.2, 3.5, 0.0, 2021-03-19 00:00:00, 0.0, 7.0
7.0, 7.0, 2.0, 0.0, 2021-03-20 00:00:00, 0.0, 7.0
3.0, 3.0, 3.0, 0.0, 2021-03-21 00:00:00, 0.0, 7.0
0.8, 0.8, 4.5, 0.0, 2021-03-22 00:00:00, 0.0, 9.0
5.2, 5.2, 5.0, 0.0, 2021-03-23 00:00:00, 0.0, 7.5
0.8, 0.8, 4.5, 0.0, 2021-03-24 00:00:00, 0.0, 6.0
0.8, 0.8, 4.5, 0.0, 2021-03-25 00:00:00, 0.0, 8.0
9.6, 9.6, 4.0, 0.0, 2021-03-26 00:00:00, 0.0, 8.0
3.0, 3.0, 5.0, 0.0, 2021-03-27 00:00:00, 0.0, 8.0
0.8, 0.8, 2.5, 0.0, 2021-03-28 00:00:00, 0.0, 7.0
0.4, 0.4, 4.0, 0.0, 2021-03-29 00:00:00, 0.0, 8.0
0.4, 0.4, 5.0, 0.0, 2021-03-30 00:00:00, 0.0, 8.0
8.2, 8.2, 4.5, 0.0, 2021-03-31 00:00:00, 0.0, 6.0
1.4, 1.4, 2.0, 0.0, 2021-04-01 00:00:00, 0.0, 5.5
4.0, 4.0, 3.0, 0.0, 2021-04-02 00:00:00, 0.0, 7.0
3.4, 3.4, 2.5, 0.0, 2021-04-03 00:00:00, 0.0, 7.0
0.6, 0.6, 4.0, 0.0, 2021-04-04 00:00:00, 0.0, 7.0
4.6, 4.6, 4.5, 0.0, 2021-04-05 00:00:00, 0.0, 8.0
4.6, 4.6, 4.0, 0.0, 2021-04-06 00:00:00, 0.0, 7.0
2.2, 2.2, 2.0, 0.0, 2021-04-07 00:00:00, 0.0, 6.5
1.4, 1.4, 3.5, 0.0, 2021-04-08 00:00:00, 0.0, 6.5
3.2, 3.2, 3.0, 0.0, 2021-04-09 00:00:00, 0.0, 6.5
0.8, 0.8, 1.5, 0.0, 2021-04-10 00:00:00, 0.0, 7.5
0.0, 0.0, 3.5, 0.0, 2021-04-11 00:00:00, 0.0, 8.0
0.0, 0.0, 3.0, 0.0, 2021-04-12 00:00:00, 0.0, 8.0
0.0, 0.0, 4.0, 0.0, 2021-04-13 00:00:00, 0.0, 8.5
0.0, 0.0, 4.0, 0.0, 2021-04-14 00:00:00, 0.0, 11.0
0.0, 0.0, 6.0, 0.0, 2021-04-15 00:00:00, 0.0, 11.0
0.0, 0.0, 4.0, 0.0, 2021-04-16 00:00:00, 0.0, 13.0
0.0, 0.0, 6.0, 0.0, 2021-04-17 00:00:00, 0.0, 13.0
0.0, 0.0, 6.0, 0.0, 2021-04-18 00:00:00, 0.0, 17.5
0.0, 0.0, 8.0, 0.0, 2021-04-19 00:00:00, 0.0, 15.0
0.0, 0.0, 6.5, 0.0, 2021-04-20 00:00:00, 0.0, 10.0
0.0, 0.0, 6.0, 0.0, 2021-04-21 00:00:00, 0.0, 9.5
0.0, 0.0, 6.5, 0.0, 2021-04-22 00:00:00, 0.0, 12.0
0.0, 0.0, 7.0, 0.0, 2021-04-23 00:00:00, 0.0, 9.0
0.0, 0.0, 6.0, 0.0, 2021-04-24 00:00:00, 0.0, 11.5
0.0, 0.0, 5.5, 0.0, 2021-04-25 00:00:00, 0.0, 15.0
0.0, 0.0, 6.5, 0.0, 2021-04-26 00:00:00, 0.0, 13.0
16.8, 16.8, 7.5, 0.0, 2021-04-27 00:00:00, 0.0, 8.5
62.8, 62.8, 7.5, 0.0, 2021-04-28 00:00:00, 0.0, 9.0
21.6, 21.6, 8.0, 0.0, 2021-04-29 00:00:00, 0.0, 8.5
4.4, 4.4, 6.5, 0.0, 2021-04-30 00:00:00, 0.0, 9.0
0.0, 0.0, 7.0, 0.0, 2021-05-01 00:00:00, 0.0, 11.0
7.4, 7.4, 7.0, 0.0, 2021-05-02 00:00:00, 0.0, 10.5
0.0, 0.0, 7.0, 0.0, 2021-05-03 00:00:00, 0.0, 11.5
0.0, 0.0, 6.5, 0.0, 2021-05-04 00:00:00, 0.0, 12.0
0.0, 0.0, 6.5, 0.0, 2021-05-05 00:00:00, 0.0, 13.0
7.0, 7.0, 6.5, 0.0, 2021-05-06 00:00:00, 0.0, 11.0
4.0, 4.0, 6.5, 0.0, 2021-05-07 00:00:00, 0.0, 8.0
14.6, 14.6, 6.0, 0.0, 2021-05-08 00:00:00, 0.0, 8.0
0.6, 0.6, 7.0, 0.0, 2021-05-09 00:00:00, 0.0, 11.0
2.6, 2.6, 6.5, 0.0, 2021-05-10 00:00:00, 0.0, 11.0
0.4, 0.4, 7.0, 0.0, 2021-05-11 00:00:00, 0.0, 11.0
0.0, 0.0, 8.0, 0.0, 2021-05-12 00:00:00, 0.0, 11.5
0.0, 0.0, 7.0, 0.0, 2021-05-13 00:00:00, 0.0, 11.0
8.8, 8.8, 7.0, 0.0, 2021-05-14 00:00:00, 0.0, 11.5
10.6, 10.6, 9.0, 0.0, 2021-05-15 00:00:00, 0.0, 11.0
0.6, 0.6, 6.5, 0.0, 2021-05-16 00:00:00, 0.0, 10.0
0.6, 0.6, 7.0, 0.0, 2021-05-17 00:00:00, 0.0, 11.0
10.0, 10.0, 7.0, 0.0, 2021-05-18 00:00:00, 0.0, 10.5
0.0, 0.0, 6.5, 0.0, 2021-05-19 00:00:00, 0.0, 12.0
0.0, 0.0, 7.5, 0.0, 2021-05-20 00:00:00, 0.0, 12.0
2.2, 2.2, 7.0, 0.0, 2021-05-21 00:00:00, 0.0, 10.0
0.6, 0.6, 7.0, 0.0, 2021-05-22 00:00:00, 0.0, 13.0
0.0, 0.0, 8.0, 0.0, 2021-05-23 00:00:00, 0.0, 13.0
0.0, 0.0, 8.0, 0.0, 2021-05-24 00:00:00, 0.0, 13.5
8.2, 8.2, 7.0, 0.0, 2021-05-25 00:00:00, 0.0, 13.0
26.0, 26.0, 6.0, 0.0, 2021-05-26 00:00:00, 0.0, 8.5
0.6, 0.6, 7.5, 0.0, 2021-05-27 00:00:00, 0.0, 12.0
0.0, 0.0, 7.5, 0.0, 2021-05-28 00:00:00, 0.0, 12.0
12.8, 12.8, 8.5, 0.0, 2021-05-29 00:00:00, 0.0, 12.0
6.0, 6.0, 8.0, 0.0, 2021-05-30 00:00:00, 0.0, 11.0
24.6, 24.6, 10.0, 0.0, 2021-05-31 00:00:00, 0.0, 11.0
24.0, 24.0, 10.5, 0.0, 2021-06-01 00:00:00, 0.0, 11.5
6.2, 6.2, 10.5, 0.0, 2021-06-02 00:00:00, 0.0, 11.0
9.2, 9.2, 8.5, 0.0, 2021-06-03 00:00:00, 0.0, 12.0
9.0, 9.0, 8.5, 0.0, 2021-06-04 00:00:00, 0.0, 10.0
5.4, 5.4, 9.0, 0.0, 2021-06-05 00:00:00, 0.0, 10.5
1.8, 1.8, 9.0, 0.0, 2021-06-06 00:00:00, 0.0, 12.0
0.0, 0.0, 8.5, 0.0, 2021-06-07 00:00:00, 0.0, 14.0
2.8, 2.8, 9.0, 0.0, 2021-06-08 00:00:00, 0.0, 13.5
0.8, 0.8, 9.5, 0.0, 2021-06-09 00:00:00, 0.0, 14.0
1.6, 1.6, 9.0, 0.0, 2021-06-10 00:00:00, 0.0, 14.0
1.2, 1.2, 9.5, 0.0, 2021-06-11 00:00:00, 0.0, 16.0
1.0, 1.0, 10.5, 0.0, 2021-06-12 00:00:00, 0.0, 14.0
6.8, 6.8, 10.0, 0.0, 2021-06-13 00:00:00, 0.0, 15.0
0.0, 0.0, 11.0, 0.0, 2021-06-14 00:00:00, 0.0, 14.5
0.2, 0.2, 10.5, 0.0, 2021-06-15 00:00:00, 0.0, 14.5
1.8, 1.8, 11.0, 0.0, 2021-06-16 00:00:00, 0.0, 15.0
9.6, 9.6, 11.0, 0.0, 2021-06-17 00:00:00, 0.0, 14.5
9.6, 9.6, 10.0, 0.0, 2021-06-18 00:00:00, 0.0, 15.0
0.8, 0.8, 9.5, 0.0, 2021-06-19 00:00:00, 0.0, 16.0
0.0, 0.0, 10.5, 0.0, 2021-06-20 00:00:00, 0.0, 15.5
0.0, 0.0, 11.5, 0.0, 2021-06-21 00:00:00, 0.0, 16.0
0.8, 0.8, 10.5, 0.0, 2021-06-22 00:00:00, 0.0, 15.0
0.4, 0.4, 10.5, 0.0, 2021-06-23 00:00:00, 0.0, 14.5
0.0, 0.0, 11.5, 0.0, 2021-06-24 00:00:00, 0.0, 18.5
0.0, 0.0, 14.5, 0.0, 2021-06-25 00:00:00, 0.0, 20.0
0.0, 0.0, 12.0, 0.0, 2021-06-26 00:00:00, 0.0, 17.0
0.0, 0.0, 11.5, 0.0, 2021-06-27 00:00:00, 0.0, 22.0
0.0, 0.0, 13.0, 0.0, 2021-06-28 00:00:00, 0.0, 19.0
1.4, 1.4, 11.5, 0.0, 2021-06-29 00:00:00, 0.0, 16.0
0.0, 0.0, 10.5, 0.0, 2021-06-30 00:00:00, 0.0, 13.5
0.0, 0.0, 10.5, 0.0, 2021-07-01 00:00:00, 0.0, 14.5
0.0, 0.0, 10.5, 0.0, 2021-07-02 00:00:00, 0.0, 13.5
0.0, 0.0, 10.0, 0.0, 2021-07-03 00:00:00, 0.0, 15.5
0.0, 0.0, 10.5, 0.0, 2021-07-04 00:00:00, 0.0, 15.5
0.0, 0.0, 10.5, 0.0, 2021-07-05 00:00:00, 0.0, 15.5
0.0, 0.0, 10.0, 0.0, 2021-07-06 00:00:00, 0.0, 14.0
0.0, 0.0, 10.5, 0.0, 2021-07-07 00:00:00, 0.0, 16.0
0.0, 0.0, 11.0, 0.0, 2021-07-08 00:00:00, 0.0, 17.0
0.0, 0.0, 12.0, 0.0, 2021-07-09 00:00:00, 0.0, 17.5
0.0, 0.0, 12.0, 0.0, 2021-07-10 00:00:00, 0.0, 17.5
0.0, 0.0, 13.0, 0.0, 2021-07-11 00:00:00, 0.0, 18.0
0.0, 0.0, 12.0, 0.0, 2021-07-12 00:00:00, 0.0, 16.0
0.0, 0.0, 12.5, 0.0, 2021-07-13 00:00:00, 0.0, 16.5
0.0, 0.0, 12.0, 0.0, 2021-07-14 00:00:00, 0.0, 15.0
4.4, 4.4, 12.5, 0.0, 2021-07-15 00:00:00, 0.0, 13.5
11.4, 11.4, 12.0, 0.0, 2021-07-16 00:00:00, 0.0, 16.0
3.8, 3.8, 11.5, 0.0, 2021-07-17 00:00:00, 0.0, 15.5
0.0, 0.0, 13.0, 0.0, 2021-07-18 00:00:00, 0.0, 18.0
1.6, 1.6, 12.0, 0.0, 2021-07-19 00:00:00, 0.0, 18.0
0.4, 0.4, 12.0, 0.0, 2021-07-20 00:00:00, 0.0, 18.0
3.2, 3.2, 13.0, 0.0, 2021-07-21 00:00:00, 0.0, 17.0
9.6, 9.6, 12.0, 0.0, 2021-07-22 00:00:00, 0.0, 16.0
0.6, 0.6, 12.0, 0.0, 2021-07-23 00:00:00, 0.0, 16.5
0.0, 0.0, 13.0, 0.0, 2021-07-24 00:00:00, 0.0, 17.0
13.0, 13.0, 12.5, 0.0, 2021-07-25 00:00:00, 0.0, 16.0
0.4, 0.4, 13.0, 0.0, 2021-07-26 00:00:00, 0.0, 15.0
0.0, 0.0, 13.0, 0.0, 2021-07-27 00:00:00, 0.0, 16.0
2.2, 2.2, 13.0, 0.0, 2021-07-28 00:00:00, 0.0, 17.0
0.4, 0.4, 13.0, 0.0, 2021-07-29 00:00:00, 0.0, 19.0
0.2, 0.2, 12.0, 0.0, 2021-07-30 00:00:00, 0.0, 16.5
0.0, 0.0, 12.0, 0.0, 2021-07-31 00:00:00, 0.0, 15.5
0.0, 0.0, 12.5, 0.0, 2021-08-01 00:00:00, 0.0, 19.5
0.6, 0.6, 13.0, 0.0, 2021-08-02 00:00:00, 0.0, 17.5
14.0, 14.0, 13.0, 0.0, 2021-08-03 00:00:00, 0.0, 16.0
36.4, 36.4, 14.5, 0.0, 2021-08-04 00:00:00, 0.0, 15.5
4.0, 4.0, 14.0, 0.0, 2021-08-05 00:00:00, 0.0, 17.0
8.0, 8.0, 13.0, 0.0, 2021-08-06 00:00:00, 0.0, 14.5
1.0, 1.0, 13.0, 0.0, 2021-08-07 00:00:00, 0.0, 17.0
7.2, 7.2, 14.0, 0.0, 2021-08-08 00:00:00, 0.0, 18.5
1.8, 1.8, 13.0, 0.0, 2021-08-09 00:00:00, 0.0, 17.0
0.4, 0.4, 13.5, 0.0, 2021-08-10 00:00:00, 0.0, 17.5
0.4, 0.4, 13.0, 0.0, 2021-08-11 00:00:00, 0.0, 17.5
0.0, 0.0, 13.0, 0.0, 2021-08-12 00:00:00, 0.0, 18.0
3.2, 3.2, 13.0, 0.0, 2021-08-13 00:00:00, 0.0, 22.0
1.2, 1.2, 13.0, 0.0, 2021-08-14 00:00:00, 0.0, 17.0
0.0, 0.0, 13.0, 0.0, 2021-08-15 00:00:00, 0.0, 17.0
0.0, 0.0, 12.0, 0.0, 2021-08-16 00:00:00, 0.0, 15.5
3.0, 3.0, 12.0, 0.0, 2021-08-17 00:00:00, 0.0, 14.0
7.4, 7.4, 11.5, 0.0, 2021-08-18 00:00:00, 0.0, 15.0
1.4, 1.4, 12.5, 0.0, 2021-08-19 00:00:00, 0.0, 17.5
0.0, 0.0, 12.0, 0.0, 2021-08-20 00:00:00, 0.0, 16.0
0.0, 0.0, 11.5, 0.0, 2021-08-21 00:00:00, 0.0, 15.5
0.0, 0.0, 11.5, 0.0, 2021-08-22 00:00:00, 0.0, 16.0
0.0, 0.0, 11.0, 0.0, 2021-08-23 00:00:00, 0.0, 14.5
9.2, 9.2, 9.0, 0.0, 2021-08-24 00:00:00, 0.0, 13.5
31.0, 31.0, 10.0, 0.0, 2021-08-25 00:00:00, 0.0, 13.0
7.4, 7.4, 12.0, 0.0, 2021-08-26 00:00:00, 0.0, 16.0
10.4, 10.4, 12.5, 0.0, 2021-08-27 00:00:00, 0.0, 16.0
2.0, 2.0, 11.5, 0.0, 2021-08-28 00:00:00, 0.0, 17.5
0.0, 0.0, 12.0, 0.0, 2021-08-29 00:00:00, 0.0, 15.0
0.0, 0.0, 11.0, 0.0, 2021-08-30 00:00:00, 0.0, 14.5
0.0, 0.0, 11.5, 0.0, 2021-08-31 00:00:00, 0.0, 15.5
0.0, 0.0, 10.5, 0.0, 2021-09-01 00:00:00, 0.0, 16.0
33.4, 33.4, 11.0, 0.0, 2021-09-02 00:00:00, 0.0, 14.0
26.6, 26.6, 12.0, 0.0, 2021-09-03 00:00:00, 0.0, 15.5
7.8, 7.8, 12.5, 0.0, 2021-09-04 00:00:00, 0.0, 14.0
10.8, 10.8, 13.0, 0.0, 2021-09-05 00:00:00, 0.0, 14.0
6.2, 6.2, 11.5, 0.0, 2021-09-06 00:00:00, 0.0, 13.5
0.8, 0.8, 12.0, 0.0, 2021-09-07 00:00:00, 0.0, 15.0
0.0, 0.0, 11.0, 0.0, 2021-09-08 00:00:00, 0.0, 16.0
0.4, 0.4, 11.0, 0.0, 2021-09-09 00:00:00, 0.0, 15.0
5.8, 5.8, 11.0, 0.0, 2021-09-10 00:00:00, 0.0, 13.0
1.4, 1.4, 11.0, 0.0, 2021-09-11 00:00:00, 0.0, 14.0
0.0, 0.0, 12.0, 0.0, 2021-09-12 00:00:00, 0.0, 15.0
8.0, 8.0, 11.5, 0.0, 2021-09-13 00:00:00, 0.0, 12.5
3.6, 3.6, 10.0, 0.0, 2021-09-14 00:00:00, 0.0, 14.0
1.6, 1.6, 9.0, 0.0, 2021-09-15 00:00:00, 0.0, 15.0
27.2, 27.2, 9.0, 0.0, 2021-09-16 00:00:00, 0.0, 12.0
26.4, 26.4, 8.0, 0.0, 2021-09-17 00:00:00, 0.0, 13.5
2.0, 2.0, 10.0, 0.0, 2021-09-18 00:00:00, 0.0, 14.5
3.0, 3.0, 10.5, 0.0, 2021-09-19 00:00:00, 0.0, 15.0
37.0, 37.0, 10.5, 0.0, 2021-09-20 00:00:00, 0.0, 14.0
4.2, 4.2, 12.0, 0.0, 2021-09-21 00:00:00, 0.0, 13.5
0.6, 0.6, 10.5, 0.0, 2021-09-22 00:00:00, 0.0, 13.0
66.6, 66.6, 10.5, 0.0, 2021-09-23 00:00:00, 0.0, 13.0
6.6, 6.6, 12.0, 0.0, 2021-09-24 00:00:00, 0.0, 13.0
0.0, 0.0, 9.5, 0.0, 2021-09-25 00:00:00, 0.0, 13.5
24.8, 24.8, 9.5, 0.0, 2021-09-26 00:00:00, 0.0, 12.0
19.0, 19.0, 10.0, 0.0, 2021-09-27 00:00:00, 0.0, 13.0
22.8, 22.8, 9.5, 0.0, 2021-09-28 00:00:00, 0.0, 13.5
26.8, 26.8, 9.0, 0.0, 2021-09-29 00:00:00, 0.0, 12.5
5.3, 5.3, 9.0, 0.0, 2021-09-30 00:00:00, 0.0, 12.5
16.0, 16.0, 10.5, 0.0, 2021-10-01 00:00:00, 0.0, 11.5
1.4, 1.4, 8.0, 0.0, 2021-10-02 00:00:00, 0.0, 11.5
6.0, 6.0, 8.0, 0.0, 2021-10-03 00:00:00, 0.0, 10.0
18.4, 18.4, 5.5, 0.0, 2021-10-04 00:00:00, 0.0, 9.0
0.8, 0.8, 7.5, 0.0, 2021-10-05 00:00:00, 0.0, 11.0
1.2, 1.2, 8.5, 0.0, 2021-10-06 00:00:00, 0.0, 12.0
42.4, 42.4, 7.0, 0.0, 2021-10-07 00:00:00, 0.0, 10.0
12.0, 12.0, 7.5, 0.0, 2021-10-08 00:00:00, 0.0, 11.0
3.0, 3.0, 8.5, 0.0, 2021-10-09 00:00:00, 0.0, 12.0
1.4, 1.4, 7.0, 0.0, 2021-10-10 00:00:00, 0.0, 11.0
30.2, 30.2, 8.5, 0.0, 2021-10-11 00:00:00, 0.0, 10.5
1.8, 1.8, 8.0, 0.0, 2021-10-12 00:00:00, 0.0, 10.5
8.6, 8.6, 8.0, 0.0, 2021-10-13 00:00:00, 0.0, 11.0
9.2, 9.2, 9.0, 0.0, 2021-10-14 00:00:00, 0.0, 10.5
0.0, 0.0, 7.5, 0.0, 2021-10-15 00:00:00, 0.0, 11.0
3.4, 3.4, 5.5, 0.0, 2021-10-16 00:00:00, 0.0, 10.0
0.0, 0.0, 5.5, 0.0, 2021-10-17 00:00:00, 0.0, 11.0
0.0, 0.0, 5.5, 0.0, 2021-10-18 00:00:00, 0.0, 11.5
7.8, 7.8, 9.0, 0.0, 2021-10-19 00:00:00, 0.0, 13.5
10.8, 10.8, 9.0, 0.0, 2021-10-20 00:00:00, 0.0, 12.0
23.2, 23.2, 10.0, 0.0, 2021-10-21 00:00:00, 0.0, 14.0
16.4, 16.4, 8.0, 0.0, 2021-10-22 00:00:00, 0.0, 11.0
4.0, 4.0, 6.5, 0.0, 2021-10-23 00:00:00, 0.0, 10.0
0.0, 0.0, 6.5, 0.0, 2021-10-24 00:00:00, 0.0, 13.0
2.4, 2.4, 8.5, 0.0, 2021-10-25 00:00:00, 0.0, 11.5
12.4, 12.4, 9.0, 0.0, 2021-10-26 00:00:00, 0.0, 10.0
0.2, 0.2, 7.5, 0.0, 2021-10-27 00:00:00, 0.0, 11.0
0.0, 0.0, 6.0, 0.0, 2021-10-28 00:00:00, 0.0, 10.0
2.0, 2.0, 5.0, 0.0, 2021-10-29 00:00:00, 0.0, 8.0
0.0, 0.0, 5.5, 0.0, 2021-10-30 00:00:00, 0.0, 9.5
0.0, 0.0, 4.5, 0.0, 2021-10-31 00:00:00, 0.0, 14.0
11.2, 11.2, 8.0, 0.0, 2021-11-01 00:00:00, 0.0, 16.0
12.0, 12.0, 8.0, 0.0, 2021-11-02 00:00:00, 0.0, 11.5
4.0, 4.0, 8.0, 0.0, 2021-11-03 00:00:00, 0.0, 10.0
30.4, 30.4, 8.5, 0.0, 2021-11-04 00:00:00, 0.0, 10.5
19.2, 19.2, 5.5, 0.0, 2021-11-05 00:00:00, 0.0, 9.5
9.2, 9.2, 4.5, 0.0, 2021-11-06 00:00:00, 0.0, 5.5
15.8, 15.8, 3.0, 0.0, 2021-11-07 00:00:00, 0.0, 7.0
32.6, 32.6, 3.0, 0.0, 2021-11-08 00:00:00, 0.0, 7.5
11.4, 11.4, 3.5, 0.0, 2021-11-09 00:00:00, 0.0, 8.0
8.8, 8.8, 5.0, 0.0, 2021-11-10 00:00:00, 0.0, 10.0
12.8, 12.8, 4.0, 0.0, 2021-11-11 00:00:00, 0.0, 10.0
2.4, 2.4, 7.5, 0.0, 2021-11-12 00:00:00, 0.0, 10.0
12.6, 12.6, 5.0, 0.0, 2021-11-13 00:00:00, 0.0, 8.0
1.4, 1.4, 4.5, 0.0, 2021-11-14 00:00:00, 0.0, 9.0
4.8, 4.8, 3.0, 0.0, 2021-11-15 00:00:00, 0.0, 6.5
6.0, 6.0, 2.5, 0.0, 2021-11-16 00:00:00, 0.0, 9.0
3.4, 3.4, 6.5, 0.0, 2021-11-17 00:00:00, 0.0, 9.0
