WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 0.205796, None,96.0839,2016-01-01 00:00:00,-3.85616,1
None, None, 0.416996, None,95.8059,2016-01-01 01:00:00,-4.34567,1
None, None, 0.556373, None,95.4837,2016-01-01 02:00:00,-4.68171,1
None, None, 0.598756, None,95.2287,2016-01-01 03:00:00,-4.71017,1
None, None, 0.72192, None,95.1227,2016-01-01 04:00:00,-4.47907,1
None, None, 0.619377, None,94.8367,2016-01-01 05:00:00,-4.52466,1
None, None, 0.381298, None,94.5986,2016-01-01 06:00:00,-4.53068,1
None, None, 0.225989, None,94.7572,2016-01-01 07:00:00,-3.82175,1
None, None, 0.494791, None,94.8231,2016-01-01 08:00:00,-3.4913,1
None, None, 0.766151, None,94.5114,2016-01-01 09:00:00,-3.8284,1
None, None, 0.377315, None,91.1019,2016-01-01 10:00:00,-2.37751,1
None, None, 0.343892, None,84.0803,2016-01-01 11:00:00,-0.006907,1
None, None, 0.289849, None,77.3911,2016-01-01 12:00:00,2.25243,1
None, None, 0.656924, None,68.3378,2016-01-01 13:00:00,3.91692,1
None, None, 0.996976, None,64.2047,2016-01-01 14:00:00,4.82978,1
None, None, 0.467341, None,63.819,2016-01-01 15:00:00,4.90821,1
None, None, 0.946488, None,64.8893,2016-01-01 16:00:00,4.68982,1
None, None, 0.69959, None,81.5402,2016-01-01 17:00:00,1.10642,1
None, None, 1.02187, None,91.5873,2016-01-01 18:00:00,-0.989615,1
None, None, 0.587378, None,93.6515,2016-01-01 19:00:00,-1.82484,1
None, None, 0.289137, None,95.4651,2016-01-01 20:00:00,-2.54583,1
None, None, 0.415715, None,95.8644,2016-01-01 21:00:00,-3.07946,1
None, None, 0.505456, None,95.6684,2016-01-01 22:00:00,-3.58331,1
None, None, 0.582542, None,95.495,2016-01-01 23:00:00,-4.07871,1
None, None, 0.247325, None,95.522,2016-01-02 00:00:00,-3.31804,1
None, None, 0.572444, None,94.9278,2016-01-02 01:00:00,-2.56732,1
None, None, 0.647822, None,94.7152,2016-01-02 02:00:00,-1.96992,1
None, None, 0.558649, None,94.3569,2016-01-02 03:00:00,-1.68233,1
None, None, 0.683236, None,94.1797,2016-01-02 04:00:00,-1.32466,1
None, None, 0.731022, None,94.3657,2016-01-02 05:00:00,-1.01871,1
None, None, 0.514985, None,93.1036,2016-01-02 06:00:00,-0.752206,1
None, None, 0.393101, None,92.7473,2016-01-02 07:00:00,-0.534879,1
None, None, 0.512853, None,93.0462,2016-01-02 08:00:00,-0.378037,1
None, None, 0.570738, None,93.5681,2016-01-02 09:00:00,-0.261519,1
None, None, 0.513136, None,91.6116,2016-01-02 10:00:00,0.166538,1
None, None, 0.490666, None,89.1424,2016-01-02 11:00:00,0.737586,1
None, None, 0.725902, None,86.1494,2016-01-02 12:00:00,1.41068,1
None, None, 0.951749, None,83.0184,2016-01-02 13:00:00,1.93904,1
None, None, 0.832427, None,81.4272,2016-01-02 14:00:00,2.5097,1
None, None, 0.901973, None,79.0221,2016-01-02 15:00:00,2.7171,1
None, None, 1.01959, None,74.1397,2016-01-02 16:00:00,2.44333,1
None, None, 1.36135, None,77.263,2016-01-02 17:00:00,1.75402,1
None, None, 1.10293, None,80.07,2016-01-02 18:00:00,1.29376,1
None, None, 0.657491, None,82.3946,2016-01-02 19:00:00,1.16932,1
None, None, 0.177634, None,83.6414,2016-01-02 20:00:00,1.0569,1
None, None, 0.189722, None,84.6468,2016-01-02 21:00:00,0.993691,1
None, None, 0.09984, None,85.8621,2016-01-02 22:00:00,0.904825,1
None, None, 0.418987, None,88.0522,2016-01-02 23:00:00,0.775973,1
None, None, 0.690916, None,89.4834,2016-01-03 00:00:00,0.581758,1
None, None, 0.615252, None,91.858,2016-01-03 01:00:00,0.034134,1
None, None, 0.797724, None,93.2279,2016-01-03 02:00:00,-0.348686,1
None, None, 0.986451, None,93.8528,2016-01-03 03:00:00,-0.62379,1
None, None, 0.671858, None,92.4053,2016-01-03 04:00:00,-0.293114,1
None, None, 0.922451, None,88.1311,2016-01-03 05:00:00,-0.034053,1
None, None, 0.818489, None,85.588,2016-01-03 06:00:00,-0.059624,1
None, None, 0.715662, None,85.6397,2016-01-03 07:00:00,-0.120245,1
None, None, 0.702578, None,84.6562,2016-01-03 08:00:00,0.034887,1
None, None, 1.27403, None,85.4873,2016-01-03 09:00:00,0.204429,1
None, None, 1.4922, None,84.864,2016-01-03 10:00:00,0.51468,1
None, None, 1.4336, None,82.5962,2016-01-03 11:00:00,0.961767,1
None, None, 1.23847, None,78.8708,2016-01-03 12:00:00,1.46347,1
None, None, 0.924018, None,77.4004,2016-01-03 13:00:00,1.79462,1
None, None, 1.12256, None,76.9964,2016-01-03 14:00:00,1.83337,1
None, None, 1.0688, None,73.5231,2016-01-03 15:00:00,2.48051,1
None, None, 0.566896, None,71.9921,2016-01-03 16:00:00,2.7887,1
None, None, 0.483271, None,81.1314,2016-01-03 17:00:00,0.950568,1
None, None, 0.614116, None,89.3323,2016-01-03 18:00:00,-0.401704,1
None, None, 0.566329, None,91.3114,2016-01-03 19:00:00,-0.61646,1
None, None, 0.812231, None,93.6068,2016-01-03 20:00:00,-1.29576,1
None, None, 1.00139, None,95.2254,2016-01-03 21:00:00,-1.79914,1
None, None, 1.04889, None,94.8799,2016-01-03 22:00:00,-1.97739,1
None, None, 0.842096, None,94.7066,2016-01-03 23:00:00,-2.59895,1
None, None, 0.737707, None,95.4716,2016-01-04 00:00:00,-3.19398,1
None, None, 0.607289, None,95.6614,2016-01-04 01:00:00,-3.62675,1
None, None, 0.146347, None,95.2814,2016-01-04 02:00:00,-4.34655,1
None, None, 0.614969, None,95.4053,2016-01-04 03:00:00,-4.58323,1
None, None, 0.851058, None,95.437,2016-01-04 04:00:00,-4.8587,1
None, None, 0.711251, None,94.816,2016-01-04 05:00:00,-4.95088,1
None, None, 0.954595, None,94.2483,2016-01-04 06:00:00,-5.03586,1
None, None, 1.04491, None,94.4055,2016-01-04 07:00:00,-5.32593,1
None, None, 0.896283, None,94.066,2016-01-04 08:00:00,-5.64383,1
None, None, 0.775251, None,93.1764,2016-01-04 09:00:00,-5.52731,1
None, None, 0.247465, None,88.6213,2016-01-04 10:00:00,-3.43967,1
None, None, 0.430649, None,80.9829,2016-01-04 11:00:00,-0.174274,1
None, None, 0.878647, None,69.0131,2016-01-04 12:00:00,1.98454,1
None, None, 1.04533, None,59.6895,2016-01-04 13:00:00,2.84287,1
None, None, 1.29934, None,57.393,2016-01-04 14:00:00,3.28627,1
None, None, 1.07691, None,53.2668,2016-01-04 15:00:00,3.88143,1
None, None, 0.767147, None,51.6362,2016-01-04 16:00:00,3.89974,1
None, None, 0.594914, None,66.4534,2016-01-04 17:00:00,1.22898,1
None, None, 0.713671, None,80.6016,2016-01-04 18:00:00,-1.26028,1
None, None, 0.820338, None,85.9309,2016-01-04 19:00:00,-1.98415,1
None, None, 0.527787, None,89.9404,2016-01-04 20:00:00,-2.89732,1
None, None, 0.716656, None,91.6954,2016-01-04 21:00:00,-3.31862,1
None, None, 0.574293, None,92.3648,2016-01-04 22:00:00,-3.83096,1
None, None, 0.508871, None,93.5475,2016-01-04 23:00:00,-4.25487,1
None, None, 0.836408, None,94.1822,2016-01-05 00:00:00,-4.81424,1
None, None, 0.677262, None,94.0296,2016-01-05 01:00:00,-5.26368,1
None, None, 0.688211, None,94.0857,2016-01-05 02:00:00,-5.63587,1
None, None, 1.05771, None,94.1298,2016-01-05 03:00:00,-5.71347,1
None, None, 0.478861, None,93.8281,2016-01-05 04:00:00,-6.18134,1
None, None, 0.951323, None,94.1132,2016-01-05 05:00:00,-6.41071,1
None, None, 0.625491, None,93.7782,2016-01-05 06:00:00,-6.77965,1
None, None, 0.674987, None,93.7187,2016-01-05 07:00:00,-6.87376,1
None, None, 0.864853, None,93.4542,2016-01-05 08:00:00,-7.08618,1
None, None, 0.563484, None,93.4144,2016-01-05 09:00:00,-6.71345,1
None, None, 0.578418, None,92.7896,2016-01-05 10:00:00,-4.96065,1
None, None, 0.506878, None,91.3689,2016-01-05 11:00:00,-3.71235,1
None, None, 0.465209, None,92.0725,2016-01-05 12:00:00,-2.26985,1
None, None, 0.308479, None,93.8681,2016-01-05 13:00:00,-1.25277,1
None, None, 0.017635, None,94.0672,2016-01-05 14:00:00,-0.760361,1
None, None, None, None,95.1613,2016-01-05 15:00:00,-0.643248,1
None, None, None, None,95.3357,2016-01-05 16:00:00,-0.288507,1
None, None, None, None,95.7307,2016-01-05 17:00:00,-0.133313,1
None, None, None, None,96.1684,2016-01-05 18:00:00,-0.062724,1
None, None, None, None,96.5005,2016-01-05 19:00:00,0.113637,1
None, None, None, None,96.6647,2016-01-05 20:00:00,0.129831,1
None, None, None, None,96.9502,2016-01-05 21:00:00,0.152348,1
None, None, None, None,97.0096,2016-01-05 22:00:00,0.256996,1
None, None, None, None,97.1343,2016-01-05 23:00:00,0.17585,1
None, None, None, None,97.0822,2016-01-06 00:00:00,0.343111,1
None, None, None, None,97.0662,2016-01-06 01:00:00,0.421505,1
None, None, None, None,97.0743,2016-01-06 02:00:00,0.441556,1
None, None, None, None,97.1715,2016-01-06 03:00:00,0.482416,1
None, None, None, None,97.1019,2016-01-06 04:00:00,0.522771,1
None, None, 0.206505, None,97.1604,2016-01-06 05:00:00,0.547097,1
None, None, 0.233954, None,97.2384,2016-01-06 06:00:00,0.538142,1
None, None, 0.221156, None,97.2362,2016-01-06 07:00:00,0.581251,1
None, None, 0.281884, None,97.2361,2016-01-06 08:00:00,0.632852,1
None, None, 0.457387, None,97.2146,2016-01-06 09:00:00,0.734,1
None, None, 0.531198, None,97.0492,2016-01-06 10:00:00,0.963108,1
