wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
6.0, None, None, 0.0, None, 6.0, None, 9.4, None, None, None, 54.0,2021-07-23 00:00:00,30
357.0, None, None, 0.0, None, 5.5, None, 9.6, None, None, None, 58.0,2021-07-23 01:00:00,30
320.0, 54.0, 6.0, 0.0, 0.6, 3.9, 9.4, 9.2, 6.0, 0.0, None, 60.0,2021-07-23 02:00:00,30
78.0, None, None, 0.0, None, 4.7, None, 10.7, None, None, None, 54.0,2021-07-23 03:00:00,30
262.0, None, None, 0.0, None, 3.7, None, 10.0, None, None, None, 58.0,2021-07-23 04:00:00,30
159.0, None, None, 0.0, None, 6.5, None, 11.6, None, None, None, 53.0,2021-07-23 05:00:00,30
220.0, None, None, 0.0, None, 4.8, None, 12.2, None, None, None, 50.0,2021-07-23 06:00:00,30
185.0, 53.0, 6.5, 0.0, 2.4, 6.9, 11.6, 14.1, 159.0, 0.0, 0.0, 47.0,2021-07-23 07:00:00,30
208.0, None, None, 0.0, None, 7.7, None, 14.8, None, None, None, 45.0,2021-07-23 08:00:00,30
178.0, None, None, 0.0, None, 6.6, None, 15.8, None, None, None, 45.0,2021-07-23 09:00:00,30
193.0, None, None, 0.0, None, 8.5, None, 17.9, None, None, None, 40.0,2021-07-23 10:00:00,30
165.0, 45.0, 6.6, 0.0, 3.9, 9.7, 15.8, 19.3, 178.0, 0.0, 0.0, 33.0,2021-07-23 11:00:00,30
183.0, 40.0, 8.5, 0.0, 4.1, 9.3, 17.9, 20.7, 193.0, 0.0, 0.0, 30.0,2021-07-23 12:00:00,30
190.0, None, None, 0.0, None, 8.2, None, 21.8, None, None, None, 28.0,2021-07-23 13:00:00,30
192.0, 30.0, 9.3, 0.0, 2.5, 7.5, 20.7, 20.8, 183.0, 0.0, 0.0, 32.0,2021-07-23 14:00:00,30
174.0, 28.0, 8.2, 0.0, 2.5, 7.3, 21.8, 22.0, 190.0, 0.0, 0.0, 28.0,2021-07-23 15:00:00,30
217.0, None, None, 0.0, None, 4.3, None, 21.9, None, None, None, 28.0,2021-07-23 16:00:00,30
172.0, None, None, 0.0, None, 2.9, None, 22.0, None, None, None, 29.0,2021-07-23 17:00:00,30
5.0, None, None, 0.0, None, 1.7, None, 18.4, None, None, None, 42.0,2021-07-23 18:00:00,30
8.0, 29.0, 2.9, 0.0, 3.2, 5.5, 22.0, 15.8, 172.0, 0.0, 0.0, 50.0,2021-07-23 19:00:00,30
9.0, None, None, 0.0, None, 7.7, None, 14.2, None, None, None, 52.0,2021-07-23 20:00:00,30
13.0, None, None, 0.0, None, 5.1, None, 13.6, None, None, None, 48.0,2021-07-23 21:00:00,30
341.0, 52.0, 7.7, 0.0, 4.5, 6.5, 14.2, 12.6, 9.0, 0.0, 0.0, 54.0,2021-07-23 22:00:00,30
340.0, 48.0, 5.1, 0.0, 2.8, 7.1, 13.6, 12.0, 13.0, 0.0, 0.0, 55.0,2021-07-23 23:00:00,30
354.0, None, None, 0.0, None, 6.3, None, 11.7, None, None, None, 58.0,2021-07-24 00:00:00,30
334.0, None, None, 0.0, None, 4.6, None, 11.4, None, None, None, 62.0,2021-07-24 01:00:00,30
350.0, None, None, 0.0, None, 3.4, None, 12.1, None, None, None, 62.0,2021-07-24 02:00:00,30
325.0, None, None, 0.0, None, 3.0, None, 11.6, None, None, None, 63.0,2021-07-24 03:00:00,30
332.0, None, None, 0.0, None, 3.0, None, 11.1, None, None, None, 68.0,2021-07-24 04:00:00,30
356.0, None, None, 0.0, None, 2.6, None, 11.3, None, None, None, 68.0,2021-07-24 05:00:00,30
197.0, None, None, 0.0, None, 4.4, None, 14.5, None, None, None, 54.0,2021-07-24 06:00:00,30
169.0, None, None, 0.0, None, 4.0, None, 17.1, None, None, None, 48.0,2021-07-24 07:00:00,30
187.0, None, None, 0.0, None, 5.8, None, 17.7, None, None, None, 47.0,2021-07-24 08:00:00,30
192.0, 48.0, 4.0, 0.0, 6.0, 4.9, 17.1, 18.8, 169.0, 0.0, 0.0, 46.0,2021-07-24 09:00:00,30
150.0, None, None, 0.0, None, 6.1, None, 19.9, None, None, None, 42.0,2021-07-24 10:00:00,30
189.0, None, None, 0.0, None, 8.0, None, 21.5, None, None, None, 38.0,2021-07-24 11:00:00,30
159.0, None, None, 0.0, None, 9.7, None, 23.2, None, None, None, 33.0,2021-07-24 12:00:00,30
