wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
330.0, 88.0, 4.2, 0.0, -5.8, 2.2, -4.1, -4.9, 201.0, 0.0, 3.0, 81.0,2020-04-01 00:00:00,14
359.0, 84.0, 4.8, 0.0, -6.9, 4.3, -4.6, -5.2, 226.0, 0.0, 3.0, 77.0,2020-04-01 01:00:00,14
48.0, 81.0, 2.2, 0.0, -7.7, 6.1, -4.9, -6.0, 330.0, 0.0, 3.0, 76.0,2020-04-01 02:00:00,14
240.0, 77.0, 4.3, 0.0, -8.6, 5.5, -5.2, -6.4, 359.0, 0.0, 3.0, 76.0,2020-04-01 03:00:00,14
272.0, 76.0, 6.1, 0.0, -9.5, 4.5, -6.0, -6.8, 48.0, 0.0, 3.0, 78.0,2020-04-01 04:00:00,14
197.0, 76.0, 5.5, 0.0, -9.9, 8.7, -6.4, -7.2, 240.0, 0.0, 3.0, 71.0,2020-04-01 05:00:00,14
169.0, 78.0, 4.5, 0.0, -10.0, 5.0, -6.8, -7.5, 272.0, 0.0, 3.0, 73.0,2020-04-01 06:00:00,14
255.0, 71.0, 8.7, 0.0, -11.6, 3.8, -7.2, -7.4, 197.0, 0.0, 3.0, 69.0,2020-04-01 07:00:00,14
346.0, 73.0, 5.0, 0.0, -11.5, 11.5, -7.5, -8.1, 169.0, 0.0, 3.0, 76.0,2020-04-01 08:00:00,14
210.0, 69.0, 3.8, 0.0, -12.1, 6.5, -7.4, -4.8, 255.0, 0.0, 3.0, 75.0,2020-04-01 09:00:00,14
331.0, 76.0, 11.5, 0.0, -11.6, 8.5, -8.1, -4.5, 346.0, 0.0, 2.8, 65.0,2020-04-01 10:00:00,14
344.0, 75.0, 6.5, 2.0, -8.5, 11.6, -4.8, -1.4, 210.0, 0.0, 1.6, 49.0,2020-04-01 11:00:00,14
353.0, 65.0, 8.5, 0.6, -10.1, 11.4, -4.5, -2.5, 331.0, 0.0, 0.2, 49.0,2020-04-01 12:00:00,14
349.0, 49.0, 11.6, 0.0, -10.7, 10.0, -1.4, -4.4, 344.0, 2.0, 2.2, 54.0,2020-04-01 13:00:00,14
311.0, 49.0, 11.4, 0.0, -11.8, 10.0, -2.5, -2.9, 353.0, 0.6, 2.8, 46.0,2020-04-01 14:00:00,14
