pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
None, None, None, 524.0, None, None, None,2018-04-24 16:00:00, None, None, None, None,17
None, None, None, 524.0, None, None, None,2018-04-24 17:00:00, None, None, None, None,17
None, None, None, 524.0, None, None, None,2018-04-24 18:00:00, None, None, None, None,17
None, None, None, 524.0, None, None, None,2018-04-24 19:00:00, None, None, None, None,17
None, None, None, 525.0, None, None, None,2018-04-24 20:00:00, None, None, None, None,17
None, None, None, 525.0, None, None, None,2018-04-24 21:00:00, None, None, None, None,17
None, None, None, 525.0, None, None, None,2018-04-24 22:00:00, None, None, None, None,17
None, None, None, 525.0, None, None, None,2018-04-24 23:00:00, None, None, None, None,17
None, None, None, 525.0, None, None, None,2018-04-25 00:00:00, None, None, None, None,17
None, None, None, 525.0, None, None, None,2018-04-25 01:00:00, None, None, None, None,17
None, None, None, 524.0, None, None, None,2018-04-25 02:00:00, None, None, None, None,17
None, None, None, 522.0, None, None, None,2018-04-25 03:00:00, None, None, None, None,17
None, None, None, 519.0, None, None, None,2018-04-25 04:00:00, None, None, None, None,17
None, None, None, 518.0, None, None, None,2018-04-25 05:00:00, None, None, None, None,17
None, None, None, 515.0, None, None, None,2018-04-25 14:00:00, None, None, None, None,17
None, None, None, 512.0, None, None, None,2018-04-25 15:00:00, None, None, None, None,17
None, None, None, 502.0, None, None, None,2018-04-25 16:00:00, None, None, None, None,17
None, None, None, 503.0, None, None, None,2018-04-25 17:00:00, None, None, None, None,17
None, None, None, 506.0, None, None, None,2018-04-25 18:00:00, None, None, None, None,17
None, None, None, 509.0, None, None, None,2018-04-25 19:00:00, None, None, None, None,17
None, None, None, 510.0, None, None, None,2018-04-25 20:00:00, None, None, None, None,17
None, None, None, 510.0, None, None, None,2018-04-25 21:00:00, None, None, None, None,17
None, None, None, 510.0, None, None, None,2018-04-25 22:00:00, None, None, None, None,17
None, None, None, 511.0, None, None, None,2018-04-25 23:00:00, None, None, None, None,17
None, None, None, 511.0, None, None, None,2018-04-26 00:00:00, None, None, None, None,17
None, None, None, 511.0, None, None, None,2018-04-26 01:00:00, None, None, None, None,17
None, None, None, 511.0, None, None, None,2018-04-26 02:00:00, None, None, None, None,17
None, None, None, 508.0, None, None, None,2018-04-26 03:00:00, None, None, None, None,17
None, None, None, 504.0, None, None, None,2018-04-26 04:00:00, None, None, None, None,17
None, None, None, 502.0, None, None, None,2018-04-26 05:00:00, None, None, None, None,17
None, None, None, 500.0, None, None, None,2018-04-26 06:00:00, None, None, None, None,17
None, None, None, 500.0, None, None, None,2018-04-26 07:00:00, None, None, None, None,17
None, None, None, 500.0, None, None, None,2018-04-26 08:00:00, None, None, None, None,17
None, None, None, 499.0, None, None, None,2018-04-26 09:00:00, None, None, None, None,17
None, None, None, 500.0, None, None, None,2018-04-26 10:00:00, None, None, None, None,17
None, None, None, 500.0, None, None, None,2018-04-26 11:00:00, None, None, None, None,17
None, None, None, 500.0, None, None, None,2018-04-26 12:00:00, None, None, None, None,17
None, None, None, 499.0, None, None, None,2018-04-26 13:00:00, None, None, None, None,17
None, None, None, 494.0, None, None, None,2018-04-26 14:00:00, None, None, None, None,17
None, None, None, 493.0, None, None, None,2018-04-26 15:00:00, None, None, None, None,17
None, None, None, 493.0, None, None, None,2018-04-26 16:00:00, None, None, None, None,17
None, None, None, 494.0, None, None, None,2018-04-26 17:00:00, None, None, None, None,17
None, None, None, 496.0, None, None, None,2018-04-26 18:00:00, None, None, None, None,17
None, None, None, 497.0, None, None, None,2018-04-26 19:00:00, None, None, None, None,17
None, None, None, 498.0, None, None, None,2018-04-26 20:00:00, None, None, None, None,17
None, None, None, 499.0, None, None, None,2018-04-26 21:00:00, None, None, None, None,17
None, None, None, 498.0, None, None, None,2018-04-26 22:00:00, None, None, None, None,17
None, None, None, 498.0, None, None, None,2018-04-26 23:00:00, None, None, None, None,17
None, None, None, 499.0, None, None, None,2018-04-27 00:00:00, None, None, None, None,17
None, None, None, 497.0, None, None, None,2018-04-27 01:00:00, None, None, None, None,17
None, None, None, 494.0, None, None, None,2018-04-27 02:00:00, None, None, None, None,17
None, None, None, 491.0, None, None, None,2018-04-27 03:00:00, None, None, None, None,17
None, None, None, 487.0, None, None, None,2018-04-27 04:00:00, None, None, None, None,17
None, None, None, 484.0, None, None, None,2018-04-27 05:00:00, None, None, None, None,17
None, None, None, 483.0, None, None, None,2018-04-27 06:00:00, None, None, None, None,17
None, None, None, 482.0, None, None, None,2018-04-27 07:00:00, None, None, None, None,17
None, None, None, 482.0, None, None, None,2018-04-27 08:00:00, None, None, None, None,17
None, None, None, 482.0, None, None, None,2018-04-27 09:00:00, None, None, None, None,17
None, None, None, 482.0, None, None, None,2018-04-27 10:00:00, None, None, None, None,17
None, None, None, 482.0, None, None, None,2018-04-27 11:00:00, None, None, None, None,17
None, None, None, 482.0, None, None, None,2018-04-27 12:00:00, None, None, None, None,17
None, None, None, 481.0, None, None, None,2018-04-27 13:00:00, None, None, None, None,17
None, None, None, 480.0, None, None, None,2018-04-27 14:00:00, None, None, None, None,17
None, None, None, 477.0, None, None, None,2018-04-27 15:00:00, None, None, None, None,17
None, None, None, 475.0, None, None, None,2018-04-27 16:00:00, None, None, None, None,17
None, None, None, 475.0, None, None, None,2018-04-27 17:00:00, None, None, None, None,17
None, None, None, 478.0, None, None, None,2018-04-27 18:00:00, None, None, None, None,17
None, None, None, 479.0, None, None, None,2018-04-27 19:00:00, None, None, None, None,17
None, None, None, 479.0, None, None, None,2018-04-27 20:00:00, None, None, None, None,17
None, None, None, 479.0, None, None, None,2018-04-27 21:00:00, None, None, None, None,17
None, None, None, 478.0, None, None, None,2018-04-27 22:00:00, None, None, None, None,17
None, None, None, 478.0, None, None, None,2018-04-27 23:00:00, None, None, None, None,17
None, None, None, 477.0, None, None, None,2018-04-28 00:00:00, None, None, None, None,17
None, None, None, 475.0, None, None, None,2018-04-28 01:00:00, None, None, None, None,17
None, None, None, 471.0, None, None, None,2018-04-28 02:00:00, None, None, None, None,17
None, None, None, 469.0, None, None, None,2018-04-28 03:00:00, None, None, None, None,17
None, None, None, 465.0, None, None, None,2018-04-28 04:00:00, None, None, None, None,17
None, None, None, 463.0, None, None, None,2018-04-28 05:00:00, None, None, None, None,17
None, None, None, 462.0, None, None, None,2018-04-28 06:00:00, None, None, None, None,17
None, None, None, 461.0, None, None, None,2018-04-28 07:00:00, None, None, None, None,17
None, None, None, 459.0, None, None, None,2018-04-28 08:00:00, None, None, None, None,17
None, None, None, 458.0, None, None, None,2018-04-28 09:00:00, None, None, None, None,17
None, None, None, 457.0, None, None, None,2018-04-28 10:00:00, None, None, None, None,17
None, None, None, 455.0, None, None, None,2018-04-28 11:00:00, None, None, None, None,17
None, None, None, 455.0, None, None, None,2018-04-28 12:00:00, None, None, None, None,17
None, None, None, 455.0, None, None, None,2018-04-28 13:00:00, None, None, None, None,17
None, None, None, 455.0, None, None, None,2018-04-28 14:00:00, None, None, None, None,17
None, None, None, 452.0, None, None, None,2018-04-28 15:00:00, None, None, None, None,17
None, None, None, 445.0, None, None, None,2018-04-28 16:00:00, None, None, None, None,17
None, None, None, 445.0, None, None, None,2018-04-28 17:00:00, None, None, None, None,17
None, None, None, 446.0, None, None, None,2018-04-28 18:00:00, None, None, None, None,17
None, None, None, 446.0, None, None, None,2018-04-28 19:00:00, None, None, None, None,17
None, None, None, 446.0, None, None, None,2018-04-28 20:00:00, None, None, None, None,17
None, None, None, 446.0, None, None, None,2018-04-28 21:00:00, None, None, None, None,17
None, None, None, 446.0, None, None, None,2018-04-28 22:00:00, None, None, None, None,17
None, None, None, 445.0, None, None, None,2018-04-28 23:00:00, None, None, None, None,17
None, None, None, 444.0, None, None, None,2018-04-29 00:00:00, None, None, None, None,17
None, None, None, 443.0, None, None, None,2018-04-29 01:00:00, None, None, None, None,17
None, None, None, 443.0, None, None, None,2018-04-29 02:00:00, None, None, None, None,17
None, None, None, 441.0, None, None, None,2018-04-29 03:00:00, None, None, None, None,17
None, None, None, 440.0, None, None, None,2018-04-29 04:00:00, None, None, None, None,17
None, None, None, 438.0, None, None, None,2018-04-29 05:00:00, None, None, None, None,17
None, None, None, 437.0, None, None, None,2018-04-29 06:00:00, None, None, None, None,17
None, None, None, 437.0, None, None, None,2018-04-29 07:00:00, None, None, None, None,17
None, None, None, 437.0, None, None, None,2018-04-29 08:00:00, None, None, None, None,17
None, None, None, 437.0, None, None, None,2018-04-29 09:00:00, None, None, None, None,17
None, None, None, 436.0, None, None, None,2018-04-29 10:00:00, None, None, None, None,17
None, None, None, 436.0, None, None, None,2018-04-29 11:00:00, None, None, None, None,17
None, None, None, 436.0, None, None, None,2018-04-29 12:00:00, None, None, None, None,17
None, None, None, 436.0, None, None, None,2018-04-29 13:00:00, None, None, None, None,17
None, None, None, 436.0, None, None, None,2018-04-29 14:00:00, None, None, None, None,17
None, None, None, 435.0, None, None, None,2018-04-29 15:00:00, None, None, None, None,17
None, None, None, 425.0, None, None, None,2018-04-29 16:00:00, None, None, None, None,17
None, None, None, 423.0, None, None, None,2018-04-29 17:00:00, None, None, None, None,17
None, None, None, 425.0, None, None, None,2018-04-29 18:00:00, None, None, None, None,17
None, None, None, 430.0, None, None, None,2018-04-29 19:00:00, None, None, None, None,17
None, None, None, 433.0, None, None, None,2018-04-29 20:00:00, None, None, None, None,17
None, None, None, 434.0, None, None, None,2018-04-29 21:00:00, None, None, None, None,17
None, None, None, 433.0, None, None, None,2018-04-29 22:00:00, None, None, None, None,17
None, None, None, 433.0, None, None, None,2018-04-29 23:00:00, None, None, None, None,17
