AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
1.5, 0.0,0.0,10.7, 0.018,2020-01-01 22:00:00,359.0,92.0,1
1.3, None,0.0,8.4, None,2020-01-01 22:15:00,359.0,93.0,1
0.9, None,0.0,6.0, None,2020-01-01 22:30:00,359.0,97.0,1
0.4, None,0.0,4.1, None,2020-01-01 22:45:00,359.0,99.0,1
0.2, 0.0,0.0,5.1, 0.018,2020-01-01 23:00:00,359.0,100.0,1
0.6, None,0.0,10.2, None,2020-01-01 23:15:00,359.0,95.0,1
0.9, None,0.0,8.4, None,2020-01-01 23:30:00,359.0,96.0,1
0.7, None,0.0,7.7, None,2020-01-01 23:45:00,359.0,97.0,1
0.7, 0.0,0.0,9.8, 0.019,2020-01-02 00:00:00,359.0,95.0,1
0.6, None,0.0,8.1, None,2020-01-02 00:15:00,359.0,96.0,1
0.3, None,0.0,4.4, None,2020-01-02 00:30:00,359.0,99.0,1
0.0, None,0.0,5.5, None,2020-01-02 00:45:00,359.0,100.0,1
-0.3, 1.0,0.0,2.9, 0.018,2020-01-02 01:00:00,359.0,100.0,1
-0.6, None,0.0,3.6, None,2020-01-02 01:15:00,359.0,100.0,1
-0.8, None,0.0,3.9, None,2020-01-02 01:30:00,359.0,100.0,1
-1.0, None,0.0,1.6, None,2020-01-02 01:45:00,359.0,100.0,1
-1.2, 0.0,0.0,3.7, 0.016,2020-01-02 02:00:00,359.0,100.0,1
-1.2, None,0.0,3.0, None,2020-01-02 02:15:00,359.0,100.0,1
-1.1, None,0.0,1.6, None,2020-01-02 02:30:00,359.0,100.0,1
-0.9, None,0.0,1.4, None,2020-01-02 02:45:00,359.0,100.0,1
-0.8, 0.0,0.0,1.4, 0.02,2020-01-02 03:00:00,359.0,100.0,1
-0.7, None,0.0,2.6, None,2020-01-02 03:15:00,359.0,100.0,1
-0.5, None,0.0,3.2, None,2020-01-02 03:30:00,359.0,100.0,1
-0.4, None,0.0,2.1, None,2020-01-02 03:45:00,359.0,100.0,1
-0.4, 0.0,0.0,2.0, 0.018,2020-01-02 04:00:00,359.0,100.0,1
-0.3, None,0.0,2.7, None,2020-01-02 04:15:00,359.0,100.0,1
-0.3, None,0.0,2.4, None,2020-01-02 04:30:00,359.0,100.0,1
-0.3, None,0.0,4.1, None,2020-01-02 04:45:00,359.0,100.0,1
-0.3, 0.0,0.0,5.1, 0.02,2020-01-02 05:00:00,359.0,100.0,1
-0.4, None,0.0,5.4, None,2020-01-02 05:15:00,359.0,100.0,1
-0.5, None,0.0,2.5, None,2020-01-02 05:30:00,359.0,100.0,1
-0.3, None,0.0,2.4, None,2020-01-02 05:45:00,359.0,100.0,1
0.0, 0.0,0.0,5.3, 0.02,2020-01-02 06:00:00,359.0,95.0,1
-0.1, None,0.0,4.0, None,2020-01-02 06:15:00,359.0,99.0,1
0.3, None,0.0,6.6, None,2020-01-02 06:30:00,359.0,92.0,1
0.6, None,0.0,7.0, None,2020-01-02 06:45:00,359.0,92.0,1
0.7, 0.0,0.0,4.9, 0.017,2020-01-02 07:00:00,359.0,92.0,1
0.7, None,0.0,4.0, None,2020-01-02 07:15:00,359.0,95.0,1
0.7, None,0.0,6.2, None,2020-01-02 07:30:00,359.0,91.0,1
0.7, None,0.0,4.1, None,2020-01-02 07:45:00,359.0,94.0,1
0.4, 0.0,0.0,1.7, 0.016,2020-01-02 08:00:00,359.0,100.0,1
0.1, None,0.0,1.9, None,2020-01-02 08:15:00,359.0,100.0,1
0.0, None,0.0,3.4, None,2020-01-02 08:30:00,359.0,100.0,1
0.1, None,0.0,2.0, None,2020-01-02 08:45:00,359.0,100.0,1
0.2, 0.0,0.0,0.5, 0.019,2020-01-02 09:00:00,359.0,100.0,1
0.2, None,0.0,1.3, None,2020-01-02 09:15:00,359.0,100.0,1
0.2, None,0.0,2.4, None,2020-01-02 09:30:00,359.0,100.0,1
0.2, None,0.0,2.6, None,2020-01-02 09:45:00,359.0,100.0,1
0.2, 0.0,0.0,2.6, 0.019,2020-01-02 10:00:00,359.0,100.0,1
0.4, None,0.0,4.1, None,2020-01-02 10:15:00,359.0,100.0,1
0.5, None,0.0,4.0, None,2020-01-02 10:30:00,359.0,100.0,1
0.4, None,0.0,5.0, None,2020-01-02 10:45:00,359.0,100.0,1
0.3, 0.0,0.0,4.6, 0.018,2020-01-02 11:00:00,359.0,100.0,1
0.3, None,0.0,5.0, None,2020-01-02 11:15:00,359.0,100.0,1
0.4, None,0.0,1.5, None,2020-01-02 11:30:00,359.0,100.0,1
0.5, None,0.0,2.1, None,2020-01-02 11:45:00,359.0,100.0,1
0.6, 2.0,0.0,2.9, 0.015,2020-01-02 12:00:00,359.0,100.0,1
0.4, None,0.0,4.5, None,2020-01-02 12:15:00,359.0,100.0,1
0.3, None,0.0,5.7, None,2020-01-02 12:30:00,359.0,100.0,1
0.4, None,0.0,5.3, None,2020-01-02 12:45:00,359.0,100.0,1
0.4, 0.0,0.0,7.5, 0.015,2020-01-02 13:00:00,359.0,100.0,1
0.4, None,0.0,7.3, None,2020-01-02 13:15:00,359.0,100.0,1
0.4, None,0.0,7.1, None,2020-01-02 13:30:00,359.0,100.0,1
0.4, None,0.0,7.9, None,2020-01-02 13:45:00,359.0,100.0,1
0.3, 1.0,0.0,7.0, 0.011,2020-01-02 14:00:00,359.0,100.0,1
0.3, None,0.0,5.6, None,2020-01-02 14:15:00,359.0,100.0,1
0.2, None,0.0,8.6, None,2020-01-02 14:30:00,359.0,100.0,1
0.3, None,0.0,8.4, None,2020-01-02 14:45:00,359.0,100.0,1
0.3, 1.0,0.0,6.3, 0.026,2020-01-02 15:00:00,359.0,100.0,1
0.3, None,0.0,3.6, None,2020-01-02 15:15:00,359.0,100.0,1
0.3, None,0.0,5.2, None,2020-01-02 15:30:00,359.0,100.0,1
0.3, None,0.0,6.5, None,2020-01-02 15:45:00,359.0,100.0,1
0.2, 1.0,0.0,5.4, 0.036,2020-01-02 16:00:00,359.0,100.0,1
0.2, None,0.0,2.0, None,2020-01-02 16:15:00,359.0,100.0,1
0.2, None,0.0,2.5, None,2020-01-02 16:30:00,359.0,100.0,1
0.3, None,0.0,1.8, None,2020-01-02 16:45:00,359.0,100.0,1
0.3, 2.0,0.0,3.1, 0.079,2020-01-02 17:00:00,359.0,100.0,1
0.2, None,0.0,1.3, None,2020-01-02 17:15:00,359.0,100.0,1
0.2, None,0.0,1.5, None,2020-01-02 17:30:00,359.0,100.0,1
0.3, None,0.0,4.8, None,2020-01-02 17:45:00,359.0,100.0,1
0.2, 2.0,0.0,6.0, 0.078,2020-01-02 18:00:00,359.0,100.0,1
0.3, None,0.0,7.7, None,2020-01-02 18:15:00,359.0,100.0,1
0.3, None,0.0,8.5, None,2020-01-02 18:30:00,359.0,100.0,1
0.4, None,0.508,6.7, None,2020-01-02 18:45:00,359.0,100.0,1
0.4, 1.0,0.254,4.4, 0.068,2020-01-02 19:00:00,359.0,100.0,1
0.4, None,0.508,3.5, None,2020-01-02 19:15:00,359.0,100.0,1
0.4, None,0.254,1.9, None,2020-01-02 19:30:00,359.0,100.0,1
0.5, None,0.509,2.2, None,2020-01-02 19:45:00,359.0,100.0,1
0.5, 2.0,0.508,4.1, 0.063,2020-01-02 20:00:00,359.0,100.0,1
0.6, None,0.508,4.4, None,2020-01-02 20:15:00,359.0,100.0,1
0.7, None,0.762,4.0, None,2020-01-02 20:30:00,359.0,100.0,1
1.0, None,1.017,2.1, None,2020-01-02 20:45:00,359.0,100.0,1
0.7, 3.0,1.016,1.2, 0.044,2020-01-02 21:00:00,359.0,100.0,1
1.4, None,1.016,5.0, None,2020-01-02 21:15:00,359.0,100.0,1
2.5, None,0.763,8.0, None,2020-01-02 21:30:00,359.0,100.0,1
4.0, None,0.254,12.5, None,2020-01-02 21:45:00,359.0,100.0,1
4.5, 2.0,1.016,13.7, 0.041,2020-01-02 22:00:00,359.0,100.0,1
4.8, None,1.524,13.5, None,2020-01-02 22:15:00,359.0,100.0,1
5.0, None,1.777,12.1, None,2020-01-02 22:30:00,359.0,100.0,1
5.2, None,1.778,10.3, None,2020-01-02 22:45:00,359.0,100.0,1
5.2, 1.0,2.286,11.3, 0.031,2020-01-02 23:00:00,359.0,100.0,1
4.9, None,1.524,8.4, None,2020-01-02 23:15:00,359.0,100.0,1
5.5, None,1.523,9.0, None,2020-01-02 23:30:00,359.0,100.0,1
5.8, None,1.271,12.1, None,2020-01-02 23:45:00,359.0,100.0,1
6.3, 2.0,1.016,13.4, 0.023,2020-01-03 00:00:00,359.0,100.0,1
6.6, None,1.016,15.3, None,2020-01-03 00:15:00,359.0,100.0,1
6.8, None,0.509,21.1, None,2020-01-03 00:30:00,359.0,100.0,1
6.9, None,0.254,18.8, None,2020-01-03 00:45:00,359.0,100.0,1
7.0, 0.0,0.254,19.9, 0.019,2020-01-03 01:00:00,359.0,100.0,1
7.1, None,0.508,18.5, None,2020-01-03 01:15:00,359.0,100.0,1
7.5, None,0.508,18.0, None,2020-01-03 01:30:00,359.0,100.0,1
7.5, None,1.017,12.8, None,2020-01-03 01:45:00,359.0,100.0,1
7.5, 2.0,0.762,14.0, 0.022,2020-01-03 02:00:00,359.0,100.0,1
7.6, None,1.27,14.9, None,2020-01-03 02:15:00,359.0,100.0,1
8.0, None,0.763,20.5, None,2020-01-03 02:30:00,359.0,100.0,1
8.1, None,1.016,20.9, None,2020-01-03 02:45:00,359.0,100.0,1
7.9, 2.0,1.016,18.1, 0.021,2020-01-03 03:00:00,359.0,100.0,1
7.8, None,0.763,26.0, None,2020-01-03 03:15:00,359.0,100.0,1
8.1, None,1.016,25.8, None,2020-01-03 03:30:00,359.0,100.0,1
7.9, None,1.27,18.8, None,2020-01-03 03:45:00,359.0,100.0,1
7.9, 6.0,1.271,23.2, 0.022,2020-01-03 04:00:00,359.0,100.0,1
8.0, None,0.508,25.7, None,2020-01-03 04:15:00,359.0,100.0,1
7.9, None,1.017,21.7, None,2020-01-03 04:30:00,359.0,100.0,1
7.8, None,1.27,20.5, None,2020-01-03 04:45:00,359.0,100.0,1
7.8, 4.0,1.271,19.0, 0.022,2020-01-03 05:00:00,359.0,100.0,1
7.6, None,1.27,20.9, None,2020-01-03 05:15:00,359.0,100.0,1
7.6, None,1.524,21.8, None,2020-01-03 05:30:00,359.0,100.0,1
7.5, None,1.777,17.1, None,2020-01-03 05:45:00,359.0,100.0,1
7.5, 5.0,0.508,18.7, 0.021,2020-01-03 06:00:00,359.0,100.0,1
7.4, None,0.0,23.2, None,2020-01-03 06:15:00,359.0,100.0,1
7.8, None,0.509,30.9, None,2020-01-03 06:30:00,359.0,100.0,1
7.9, None,0.0,34.0, None,2020-01-03 06:45:00,359.0,94.0,1
7.9, -1.0,0.0,33.8, 0.02,2020-01-03 07:00:00,359.0,91.0,1
8.0, None,0.0,33.7, None,2020-01-03 07:15:00,359.0,83.0,1
8.2, None,0.0,36.4, None,2020-01-03 07:30:00,359.0,76.0,1
8.3, None,0.0,33.3, None,2020-01-03 07:45:00,359.0,70.0,1
8.6, -2.0,0.0,41.8, 0.017,2020-01-03 08:00:00,359.0,68.0,1
8.5, None,0.0,39.0, None,2020-01-03 08:15:00,359.0,69.0,1
8.3, None,0.0,35.1, None,2020-01-03 08:30:00,359.0,75.0,1
8.0, None,0.0,29.0, None,2020-01-03 08:45:00,359.0,79.0,1
8.1, -2.0,0.0,34.1, 0.018,2020-01-03 09:00:00,359.0,79.0,1
8.0, None,0.0,34.9, None,2020-01-03 09:15:00,359.0,81.0,1
8.1, None,0.0,31.9, None,2020-01-03 09:30:00,359.0,83.0,1
8.0, None,0.0,30.2, None,2020-01-03 09:45:00,359.0,86.0,1
7.9, 6.0,0.0,21.2, 0.02,2020-01-03 10:00:00,359.0,87.0,1
8.1, None,0.0,17.3, None,2020-01-03 10:15:00,359.0,87.0,1
8.3, None,0.0,28.9, None,2020-01-03 10:30:00,359.0,86.0,1
8.5, None,0.0,21.9, None,2020-01-03 10:45:00,359.0,85.0,1
8.7, 0.0,0.0,21.2, 0.02,2020-01-03 11:00:00,359.0,85.0,1
9.2, None,0.0,27.0, None,2020-01-03 11:15:00,359.0,83.0,1
9.3, None,0.0,20.4, None,2020-01-03 11:30:00,359.0,82.0,1
9.2, None,0.0,19.6, None,2020-01-03 11:45:00,359.0,84.0,1
9.2, 0.0,0.0,13.8, 0.02,2020-01-03 12:00:00,359.0,86.0,1
9.3, None,0.0,15.2, None,2020-01-03 12:15:00,359.0,85.0,1
9.3, None,0.0,11.2, None,2020-01-03 12:30:00,359.0,87.0,1
9.3, None,0.0,11.3, None,2020-01-03 12:45:00,359.0,87.0,1
9.4, 0.0,0.0,12.0, 0.02,2020-01-03 13:00:00,359.0,87.0,1
9.6, None,0.0,16.7, None,2020-01-03 13:15:00,359.0,85.0,1
9.5, None,0.0,13.2, None,2020-01-03 13:30:00,359.0,90.0,1
9.3, None,0.0,15.7, None,2020-01-03 13:45:00,359.0,90.0,1
8.8, 1.0,0.762,14.6, 0.02,2020-01-03 14:00:00,359.0,98.0,1
8.6, None,0.762,19.7, None,2020-01-03 14:15:00,359.0,97.0,1
8.3, None,0.254,13.6, None,2020-01-03 14:30:00,359.0,100.0,1
8.4, None,1.524,18.3, None,2020-01-03 14:45:00,359.0,100.0,1
8.3, 2.0,0.254,13.0, 0.021,2020-01-03 15:00:00,359.0,100.0,1
8.6, None,0.0,17.5, None,2020-01-03 15:15:00,359.0,98.0,1
8.6, None,0.0,17.5, None,2020-01-03 15:30:00,359.0,97.0,1
8.4, None,0.0,12.8, None,2020-01-03 15:45:00,359.0,98.0,1
8.3, 0.0,0.0,15.9, 0.02,2020-01-03 16:00:00,359.0,98.0,1
8.3, None,0.0,15.5, None,2020-01-03 16:15:00,359.0,97.0,1
8.2, None,0.0,15.8, None,2020-01-03 16:30:00,359.0,97.0,1
8.1, None,0.0,11.4, None,2020-01-03 16:45:00,359.0,99.0,1
8.0, 1.0,0.0,10.3, 0.02,2020-01-03 17:00:00,359.0,100.0,1
7.9, None,0.254,12.8, None,2020-01-03 17:15:00,359.0,100.0,1
7.8, None,1.016,11.2, None,2020-01-03 17:30:00,359.0,100.0,1
7.7, None,0.509,12.6, None,2020-01-03 17:45:00,359.0,100.0,1
7.7, 2.0,1.777,14.7, 0.021,2020-01-03 18:00:00,359.0,100.0,1
7.7, None,1.778,14.3, None,2020-01-03 18:15:00,359.0,100.0,1
7.8, None,1.524,29.4, None,2020-01-03 18:30:00,359.0,94.0,1
6.7, None,0.762,23.5, None,2020-01-03 18:45:00,359.0,100.0,1
6.0, 3.0,0.508,14.3, 0.02,2020-01-03 19:00:00,359.0,100.0,1
5.5, None,0.508,16.7, None,2020-01-03 19:15:00,359.0,100.0,1
5.0, None,0.763,15.7, None,2020-01-03 19:30:00,359.0,100.0,1
4.7, None,0.762,17.9, None,2020-01-03 19:45:00,359.0,100.0,1
4.8, 4.0,0.508,18.6, 0.021,2020-01-03 20:00:00,359.0,99.0,1
4.7, None,0.762,16.1, None,2020-01-03 20:15:00,359.0,100.0,1
4.6, None,0.763,16.7, None,2020-01-03 20:30:00,359.0,100.0,1
4.2, None,1.016,15.7, None,2020-01-03 20:45:00,359.0,99.0,1
3.9, 4.0,1.016,10.2, 0.02,2020-01-03 21:00:00,359.0,100.0,1
4.0, None,0.763,13.1, None,2020-01-03 21:15:00,359.0,100.0,1
4.2, None,0.762,14.5, None,2020-01-03 21:30:00,359.0,100.0,1
4.1, None,0.762,13.5, None,2020-01-03 21:45:00,359.0,100.0,1
3.9, 3.0,0.254,9.9, 0.02,2020-01-03 22:00:00,359.0,100.0,1
3.6, None,0.508,15.3, None,2020-01-03 22:15:00,359.0,100.0,1
3.4, None,0.255,11.4, None,2020-01-03 22:30:00,359.0,100.0,1
3.2, None,0.254,10.1, None,2020-01-03 22:45:00,359.0,100.0,1
3.2, 2.0,0.508,11.7, 0.019,2020-01-03 23:00:00,359.0,100.0,1
2.3, None,1.523,10.6, None,2020-01-03 23:15:00,359.0,100.0,1
2.1, None,0.0,6.3, None,2020-01-03 23:30:00,359.0,100.0,1
2.0, None,0.763,9.2, None,2020-01-03 23:45:00,359.0,100.0,1
1.8, 3.0,1.016,6.1, 0.02,2020-01-04 00:00:00,359.0,100.0,1
1.8, None,0.508,10.2, None,2020-01-04 00:15:00,359.0,100.0,1
2.5, None,0.0,18.0, None,2020-01-04 00:30:00,359.0,100.0,1
3.0, None,0.0,20.1, None,2020-01-04 00:45:00,359.0,99.0,1
3.0, 1.0,0.254,22.7, 0.019,2020-01-04 01:00:00,359.0,99.0,1
2.9, None,0.255,20.4, None,2020-01-04 01:15:00,359.0,99.0,1
2.6, None,0.0,20.4, None,2020-01-04 01:30:00,359.0,92.0,1
2.1, None,0.0,23.7, None,2020-01-04 01:45:00,359.0,91.0,1
2.1, 0.0,0.0,13.5, 0.02,2020-01-04 02:00:00,359.0,96.0,1
2.0, None,0.254,18.1, None,2020-01-04 02:15:00,359.0,94.0,1
1.7, None,0.0,17.3, None,2020-01-04 02:30:00,359.0,88.0,1
1.9, None,0.0,17.7, None,2020-01-04 02:45:00,359.0,90.0,1
2.1, -1.0,0.0,22.4, 0.018,2020-01-04 03:00:00,359.0,90.0,1
1.8, None,0.0,16.8, None,2020-01-04 03:15:00,359.0,93.0,1
1.7, None,0.0,18.4, None,2020-01-04 03:30:00,359.0,84.0,1
1.9, None,0.0,23.0, None,2020-01-04 03:45:00,359.0,77.0,1
2.0, 1.0,0.0,23.9, 0.017,2020-01-04 04:00:00,359.0,77.0,1
1.3, None,0.0,18.8, None,2020-01-04 04:15:00,359.0,93.0,1
1.4, None,0.0,16.2, None,2020-01-04 04:30:00,359.0,84.0,1
1.5, None,0.0,17.4, None,2020-01-04 04:45:00,359.0,89.0,1
0.8, 0.0,0.0,12.6, 0.018,2020-01-04 05:00:00,359.0,98.0,1
0.7, None,0.0,14.9, None,2020-01-04 05:15:00,359.0,100.0,1
0.9, None,0.0,17.2, None,2020-01-04 05:30:00,359.0,96.0,1
1.2, None,0.0,19.8, None,2020-01-04 05:45:00,359.0,94.0,1
0.9, 2.0,0.0,11.8, 0.015,2020-01-04 06:00:00,359.0,99.0,1
0.4, None,0.0,13.6, None,2020-01-04 06:15:00,359.0,100.0,1
0.5, None,0.0,15.6, None,2020-01-04 06:30:00,359.0,100.0,1
0.7, None,0.0,21.8, None,2020-01-04 06:45:00,359.0,100.0,1
0.3, 1.0,0.0,13.1, 0.02,2020-01-04 07:00:00,359.0,100.0,1
0.7, None,0.0,19.2, None,2020-01-04 07:15:00,359.0,96.0,1
0.2, None,0.0,13.2, None,2020-01-04 07:30:00,359.0,100.0,1
0.2, None,0.0,10.7, None,2020-01-04 07:45:00,359.0,100.0,1
0.1, 1.0,0.0,3.6, 0.023,2020-01-04 08:00:00,359.0,100.0,1
0.1, None,0.0,5.9, None,2020-01-04 08:15:00,359.0,100.0,1
0.3, None,0.0,7.0, None,2020-01-04 08:30:00,359.0,100.0,1
0.5, None,0.0,11.2, None,2020-01-04 08:45:00,359.0,100.0,1
0.9, 0.0,0.0,11.1, 0.029,2020-01-04 09:00:00,359.0,100.0,1
0.7, None,0.0,8.7, None,2020-01-04 09:15:00,359.0,100.0,1
0.5, None,0.0,6.7, None,2020-01-04 09:30:00,359.0,100.0,1
0.5, None,0.0,5.6, None,2020-01-04 09:45:00,359.0,100.0,1
0.7, 2.0,0.0,2.5, 0.035,2020-01-04 10:00:00,359.0,100.0,1
1.9, None,0.0,4.7, None,2020-01-04 10:15:00,359.0,100.0,1
1.9, None,0.0,7.3, None,2020-01-04 10:30:00,359.0,99.0,1
1.6, None,0.0,3.5, None,2020-01-04 10:45:00,359.0,100.0,1
1.2, 0.0,0.0,2.1, 0.035,2020-01-04 11:00:00,359.0,100.0,1
1.3, None,0.0,4.8, None,2020-01-04 11:15:00,359.0,100.0,1
1.2, None,0.0,2.4, None,2020-01-04 11:30:00,359.0,100.0,1
1.5, None,0.0,1.2, None,2020-01-04 11:45:00,359.0,100.0,1
1.8, 1.0,0.0,13.2, 0.029,2020-01-04 12:00:00,359.0,99.0,1
2.1, None,0.762,5.9, None,2020-01-04 12:15:00,359.0,99.0,1
2.3, None,1.27,15.7, None,2020-01-04 12:30:00,359.0,98.0,1
1.7, None,1.017,15.1, None,2020-01-04 12:45:00,359.0,100.0,1
1.9, 0.0,0.508,11.1, 0.028,2020-01-04 13:00:00,359.0,100.0,1
1.6, None,0.762,19.7, None,2020-01-04 13:15:00,359.0,99.0,1
