wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
337.0, None, None, 0.0, None, 0.0, None, -14.1, None, None, None, 83.0,2020-01-17 00:00:00,3
306.0, None, None, 0.0, None, 0.7, None, -13.8, None, None, None, 84.0,2020-01-17 01:00:00,3
305.0, None, None, 0.0, None, 1.0, None, -14.1, None, None, None, 83.0,2020-01-17 02:00:00,3
311.0, None, None, 0.0, None, 0.5, None, -14.5, None, None, None, 82.0,2020-01-17 03:00:00,3
321.0, None, None, 0.0, None, 0.4, None, -14.6, None, None, None, 82.0,2020-01-17 04:00:00,3
321.0, None, None, 0.0, None, 0.5, None, -14.9, None, None, None, 82.0,2020-01-17 05:00:00,3
22.0, None, None, 0.0, None, 0.0, None, -14.2, None, None, None, 83.0,2020-01-17 06:00:00,3
345.0, None, None, 0.0, None, 0.0, None, -15.5, None, None, None, 81.0,2020-01-17 07:00:00,3
343.0, None, None, 0.0, None, 0.0, None, -15.9, None, None, None, 81.0,2020-01-17 08:00:00,3
262.0, None, None, 0.0, None, 0.3, None, -13.6, None, None, None, 83.0,2020-01-17 09:00:00,3
231.0, None, None, 0.0, None, 0.2, None, -10.5, None, None, None, 86.0,2020-01-17 10:00:00,3
212.0, None, None, 0.0, None, 0.1, None, -8.3, None, None, None, 87.0,2020-01-17 11:00:00,3
41.0, None, None, 0.0, None, 1.0, None, -7.2, None, None, None, 91.0,2020-01-19 02:00:00,3
32.0, None, None, 0.0, None, 1.4, None, -7.0, None, None, None, 91.0,2020-01-19 03:00:00,3
51.0, None, None, 0.0, None, 1.0, None, -7.0, None, None, None, 91.0,2020-01-19 04:00:00,3
88.0, None, None, 0.0, None, 1.1, None, -6.6, None, None, None, 92.0,2020-01-19 05:00:00,3
41.0, None, None, 0.0, None, 1.2, None, -6.7, None, None, None, 91.0,2020-01-19 06:00:00,3
69.0, None, None, 0.0, None, 1.2, None, -5.6, None, None, None, 92.0,2020-01-19 08:00:00,3
101.0, None, None, 0.0, None, 0.5, None, 0.0, None, None, None, 96.0,2020-01-20 14:00:00,3
50.0, None, None, 0.0, None, 0.0, None, -0.6, None, None, None, 95.0,2020-01-20 15:00:00,3
43.0, None, None, 0.0, None, 0.0, None, -2.5, None, None, None, 96.0,2020-01-20 16:00:00,3
56.0, None, None, 0.0, None, 0.0, None, -2.6, None, None, None, 96.0,2020-01-20 17:00:00,3
52.0, None, None, 0.0, None, 0.0, None, -2.5, None, None, None, 96.0,2020-01-20 18:00:00,3
42.0, None, None, 0.0, None, 0.0, None, -2.6, None, None, None, 96.0,2020-01-20 19:00:00,3
31.0, None, None, 0.0, None, 0.0, None, -2.6, None, None, None, 96.0,2020-01-20 20:00:00,3
39.0, None, None, 0.0, None, 0.0, None, -2.6, None, None, None, 96.0,2020-01-20 21:00:00,3
44.0, None, None, 0.0, None, 0.0, None, -2.8, None, None, None, 96.0,2020-01-20 22:00:00,3
47.0, None, None, 0.0, None, 0.0, None, -2.9, None, None, None, 95.0,2020-01-20 23:00:00,3
41.0, None, None, 0.0, None, 0.0, None, -2.8, None, None, None, 96.0,2020-01-21 00:00:00,3
64.0, None, None, 0.0, None, 0.0, None, -3.0, None, None, None, 95.0,2020-01-21 01:00:00,3
54.0, None, None, 0.0, None, 0.0, None, -3.2, None, None, None, 95.0,2020-01-21 02:00:00,3
47.0, None, None, 0.0, None, 0.0, None, -3.3, None, None, None, 95.0,2020-01-21 03:00:00,3
26.0, None, None, 0.0, None, 0.0, None, -3.3, None, None, None, 95.0,2020-01-21 04:00:00,3
48.0, None, None, 0.0, None, 0.0, None, -3.3, None, None, None, 95.0,2020-01-21 05:00:00,3
97.0, None, None, 0.0, None, 0.0, None, -3.3, None, None, None, 95.0,2020-01-21 06:00:00,3
105.0, None, None, 0.0, None, 0.0, None, -3.0, None, None, None, 95.0,2020-01-21 07:00:00,3
100.0, None, None, 0.0, None, 0.0, None, -3.0, None, None, None, 95.0,2020-01-21 08:00:00,3
82.0, None, None, 0.0, None, 0.0, None, -2.9, None, None, None, 95.0,2020-01-21 09:00:00,3
90.0, None, None, 0.0, None, 0.0, None, -2.8, None, None, None, 95.0,2020-01-21 10:00:00,3
136.0, None, None, 0.0, None, 0.0, None, -2.1, None, None, None, 96.0,2020-01-21 11:00:00,3
157.0, None, None, 0.0, None, 0.0, None, -1.7, None, None, None, 96.0,2020-01-21 12:00:00,3
172.0, None, None, 0.0, None, 0.0, None, -1.5, None, None, None, 96.0,2020-01-21 13:00:00,3
144.0, None, None, 0.0, None, 0.0, None, -1.4, None, None, None, 96.0,2020-01-21 14:00:00,3
169.0, None, None, 0.0, None, 0.0, None, -1.9, None, None, None, 96.0,2020-01-21 15:00:00,3
77.0, None, None, 0.0, None, 0.0, None, -3.0, None, None, None, 95.0,2020-01-21 16:00:00,3
48.0, None, None, 0.0, None, 0.0, None, -3.6, None, None, None, 94.0,2020-01-21 17:00:00,3
106.0, None, None, 0.0, None, 0.0, None, -3.6, None, None, None, 94.0,2020-01-21 18:00:00,3
61.0, None, None, 0.0, None, 0.0, None, -3.6, None, None, None, 95.0,2020-01-21 19:00:00,3
40.0, None, None, 0.0, None, 0.0, None, -3.7, None, None, None, 94.0,2020-01-21 20:00:00,3
98.0, None, None, 0.0, None, 0.0, None, -3.6, None, None, None, 95.0,2020-01-21 21:00:00,3
119.0, None, None, 0.0, None, 0.0, None, -3.7, None, None, None, 94.0,2020-01-21 22:00:00,3
93.0, None, None, 0.0, None, 0.0, None, -3.8, None, None, None, 94.0,2020-01-21 23:00:00,3
